beneficiary_id,query_country_code,query_country,query_type,query_state,query_region,query_county,query_city,query_postal_code,query_address,result_country,result_region,result_county,result_city,result_postal_code,result_street,result_number,result_full_address,result_lat,result_long,geocoded,lau
κωνσταντινοσ κωνσταντινου,CY,Cyprus,project,,,,,,,Cyprus,Limassol,,Agios Konstantinos,,,,"Agios Konstantinos, Cyprus",34.8669453,33.06553660000001,True,5143
ctrl ltd,CY,Cyprus,project,,,,,,,Cyprus,,,Girne,9932,,,"Karaoğlanoğlu Caddesi No:285 Alsancak, Girne 9932",35.2346001,33.6711561,True,3222
n.x plastics ltd,CY,Cyprus,project,,,,,,,Cyprus,Ammochostos,,Frenaros,5350,Kavallou,1,"Kavallou 1, Frenaros 5350, Cyprus",35.0364124,33.9107043,True,3105
n. x. plastics ltd,CY,Cyprus,project,,,,,,,Cyprus,Ammochostos,,Frenaros,5350,Kavallou,1,"Kavallou 1, Frenaros 5350, Cyprus",35.0364124,33.9107043,True,3105
l.s.g. prime microbrewery,CY,Cyprus,project,,,,,,,Cyprus,Ammochostos,,Strovolos,,Sotira,,"Sotira, Strovolos, Cyprus",35.0184885,33.9337701,True,3103
p & y orphanides ltd,CY,Cyprus,project,,,,,,,Cyprus,Ammochostos,,Deryneia,5280,,,"Alexandrou Graham Bell 14, Deryneia 5280, Cyprus",35.052061,33.963592,True,3102
a.a. purple real estate ltd,CY,Cyprus,project,,,,,,,Cyprus,Ammochostos,,Paralimni,5295,Leoforos Protara - Kavo Gkreko,284,"Leoforos Protara - Kavo Gkreko 284, Paralimni 5295, Cyprus",35.024054,34.037725,True,3101
crystal springs hotel,CY,Cyprus,project,,,,,,,Cyprus,Ammochostos,,Protaras,5295,Vrysoudion Street,95,"Vrysoudion Street 95, Protaras 5295, Cyprus",35.0432842,34.0300174,True,3101
αντωνίου & χρίστου (ηλιακά συστήματα) λτδ,CY,Cyprus,project,,,,,,,Cyprus,Ammochostos,,Paralimni,5292,Αγίου Παντελεήμονα,24,"5292,, Αγίου Παντελεήμονα 24, Paralimni 5292, Cyprus",35.03365490000001,33.9952316,True,3101
σταύρος νεοφύτου & υιοί λτδ,CY,Cyprus,project,,,,,,,Cyprus,Famagusta,,Paralimni,,,,"Paralimni, Cyprus",35.0120828,33.9886529,True,3101
γεωργιοσ χαραλαμπουσ,CY,Cyprus,project,,,,,,,Cyprus,Ammochostos,,Paralimni,,Ayiou Georgiou,,"Ayiou Georgiou, Paralimni, Cyprus",35.0394411,33.9827527,True,3101
yianna marie hotels ltd,CY,Cyprus,project,,,,,,,Cyprus,Famagusta,,Protaras,,,,"Protaras, Cyprus",35.0201794,34.0510506,True,3101
the golden coast hotel,CY,Cyprus,project,,,,,,,Cyprus,Gazimağusa,,Παραλίμνι,5295,,,"64 Pinias Street, Παραλίμνι 5295, Cyprus",35.037456,34.037347,True,3101
j.p.s. eurobakers ltd,CY,Cyprus,project,,,,,,,Cyprus,Famagusta,,Paralimni,,,,"Paralimni, Cyprus",35.0467625,33.996888,True,3101
a.n. victoros ltd,CY,Cyprus,project,,,,,,,Cyprus,Gazimağusa,,Paralimni,,Σταδίου,,"52, CY, 5280, Σταδίου, Paralimni, Cyprus",35.034797,33.982547,True,3101
anonymous beach hotel,CY,Cyprus,project,,,,,,,Cyprus,Ammochostos,,Ayia Napa,5330,Nissi Avenue,65,"Nissi Ave 65, Ayia Napa 5330, Cyprus",34.9879895,33.9796517,True,3100
