project_id,project_description,beneficiary,total_amount,eu_cofinancing_amount,member_state_amount,paid_eu_funding,project_title,operational_program,fund_acronym,nuts3,lau2,start_date,management_authority,priority_label,source,beneficiary_url
2432,JAVNI RAZPIS ZA SOFINANCIRANJE NOVE TEHNOLOŠKE OPREME V LETIH 2013 - 2014,POLYCOM D.O.O.,193469,164448.65,29020.35,,NAKUP OPREME ZA ORODJARNO IN ODDELEK BRIZGANJA TERMOPLASTOV (DVA ORODJARSKA STROJA IN STROJ ZA BRIZGANJE PLASTIKE),OP RR,ESRR,GORENJSKA,ŠKOFJA LOKA,2013,JAVNI RAZPIS,KONKURENČNOST PODJETIJ IN RAZISKOVALNA ODLIČNOST,OU,
2433,JAVNI RAZPIS ZA SOFINANCIRANJE NAKUPA NOVE TEHNOLOŠKE OPREME V LETU 2009,"ALPMETAL & CO, D.O.O.",193246,164259.1,28986.9,,LIVARSKA LINIJA Z OPREMO,OP RR,ESRR,GORENJSKA,ŽELEZNIKI,2008,JAVNI RAZPIS,KONKURENČNOST PODJETIJ IN RAZISKOVALNA ODLIČNOST,OU,
2434,JAVNI RAZPIS ZA SOFINANCIRANJE NAKUPA NOVE TEHNOLOŠKE OPREME V LETU 2009-2011,RODEX D.O.O.,192766.56,163851.58,28914.98,,NABAVA OPREME ZA PROIZVODNJO IN OBDELAVO IZDELKOV,OP RR,ESRR,GORENJSKA,KRANJ,2009,JAVNI RAZPIS,KONKURENČNOST PODJETIJ IN RAZISKOVALNA ODLIČNOST,OU,
2435,JAVNI RAZPIS RAZISKOVALNI VAVČER,"SILVAPRODUKT PODJETJE ZA PROIZVODNJO IN PRODAJO SREDSTEV ZA ZAŠČITO MATERIALOV, D.O.O.",45500,38675,6825,,POSTAVITEV SISTEMA ZA VREDNOTENJE ŽIVLJENJSKE DOBE Z BAKROVIMI PRIPRAVKI IMPREGNIRANEGA LESA IN TERMIČNO MODIFICIRANEGA LESA,OP RR,ESRR,OSREDNJESLOVENSKA,LJUBLJANA,2012,JAVNI RAZPIS,KONKURENČNOST PODJETIJ IN RAZISKOVALNA ODLIČNOST,OU,
2436,JAVNI RAZPIS RAZISKOVALNI VAVČER,SMART COM D.O.O.,48000,40800,7200,,"TRŽENJSKA ANALIZA POTENCIALA INTERAKTIVNE STORITVENE PLATFORME BEENIUS ZA HOTELE IN MOŽNOSTI NJENE NADGRADNJE NA TRGIH SLOVENIJE, HRVAŠKE IN ČRNE GORE",OP RR,ESRR,OSREDNJESLOVENSKA,LJUBLJANA,2012,JAVNI RAZPIS,KONKURENČNOST PODJETIJ IN RAZISKOVALNA ODLIČNOST,OU,
2437,JAVNI RAZPIS RAZISKOVALNI VAVČER,SOLVERA LYNX D.D.,41300,35105,6195,,ANALIZA ENERGETSKIH KAZALNIKOV IN AVTOMATSKO PREPOZNAVANJE VZORCEV RABE ENERGIJE V GOSPODINJSTVIH,OP RR,ESRR,OSREDNJESLOVENSKA,LJUBLJANA,2012,JAVNI RAZPIS,KONKURENČNOST PODJETIJ IN RAZISKOVALNA ODLIČNOST,OU,
2438,JAVNI RAZPIS RAZISKOVALNI VAVČER,SONCE ENERGIJA OBNOVLJIVI VIRI D.O.O.,39000,33150,5850,,SISTEM ZA STIKALNE MANIPULACIJE PV GENERATORJA,OP RR,ESRR,OSREDNJESLOVENSKA,LJUBLJANA,2012,JAVNI RAZPIS,KONKURENČNOST PODJETIJ IN RAZISKOVALNA ODLIČNOST,OU,
2439,JAVNI RAZPIS RAZISKOVALNI VAVČER,STELEM D.O.O. ŽUŽEMBERK,38815,32992.75,5822.25,,RAZISKAVA IN RAZVOJ POLPREVODNE KERAMIKE S PTC EFEKTOM BREZ OKOLJU ŠKODLJIVEGA SVINČEVEGA OKSIDA,OP RR,ESRR,JUGOVZHODNA SLOVENIJA,ŽUŽEMBERK,2012,JAVNI RAZPIS,KONKURENČNOST PODJETIJ IN RAZISKOVALNA ODLIČNOST,OU,
2440,JAVNI RAZPIS RAZISKOVALNI VAVČER,"STIL INVESTICIJE, PODJETJE ZA RAZVOJ, GRADNJO IN TRŽENJE NEPREMIČNINSKIH PROJEKTOV, D.O.O.",30000,25500,4500,,"IZVEDBA RAZISKAVE IN ANALIZA TRGA, KONKURENČNIH PONUDNIKOV TER ANALIZA TRENDA",OP RR,ESRR,OSREDNJESLOVENSKA,BREZOVICA PRI LJUBLJANI,2012,JAVNI RAZPIS,KONKURENČNOST PODJETIJ IN RAZISKOVALNA ODLIČNOST,OU,
2441,JAVNI RAZPIS RAZISKOVALNI VAVČER,STIROLAB D.O.O.,30000,25500,4500,,RAZISKAVE MERILNIH METOD ZA DOLOČANJE KAKOVOSTI VAKUUMSKEGA IZOLACIJSKEGA PANELA V SKLADU Z OSNUTKOM ISO STANDARDA,OP RR,ESRR,OBALNO-KRAŠKA,SEŽANA,2012,JAVNI RAZPIS,KONKURENČNOST PODJETIJ IN RAZISKOVALNA ODLIČNOST,OU,
