"Date","Price","Open","High","Low","Change %"
"Jul 11, 2013","4.4265","4.4293","4.4461","4.4042","-0.16%"
"Jul 10, 2013","4.4337","4.4376","4.4479","4.4222","-0.17%"
"Jul 09, 2013","4.4414","4.4461","4.4597","4.4319","-0.23%"
"Jul 08, 2013","4.4516","4.4463","4.4615","4.4367","0.04%"
"Jul 05, 2013","4.4496","4.4323","4.4582","4.4160","0.32%"
"Jul 04, 2013","4.4354","4.4353","4.4522","4.4267","-0.12%"
"Jul 03, 2013","4.4409","4.4349","4.4639","4.4298","0.05%"
"Jul 02, 2013","4.4389","4.4449","4.4514","4.4271","-0.21%"
"Jul 01, 2013","4.4484","4.4629","4.4716","4.4267","-0.30%"
"Jun 28, 2013","4.4617","4.4538","4.4717","4.4361","0.09%"
"Jun 27, 2013","4.4575","4.4381","4.4647","4.4207","0.31%"
"Jun 26, 2013","4.4438","4.4824","4.4865","4.4043","-0.92%"
"Jun 25, 2013","4.4851","4.5277","4.5415","4.4642","-1.01%"
"Jun 24, 2013","4.5309","4.5415","4.5510","4.5180","-0.34%"
"Jun 21, 2013","4.5465","4.5260","4.5486","4.5091","0.30%"
"Jun 20, 2013","4.5330","4.5246","4.5518","4.5012","0.11%"
"Jun 19, 2013","4.5282","4.4840","4.5321","4.4769","0.85%"
"Jun 18, 2013","4.4902","4.4515","4.5041","4.4426","0.80%"
"Jun 17, 2013","4.4544","4.4484","4.4612","4.4354","0.01%"
"Jun 14, 2013","4.4539","4.4684","4.4737","4.4409","-0.39%"
"Jun 13, 2013","4.4714","4.4867","4.4973","4.4588","-0.42%"
"Jun 12, 2013","4.4904","4.5132","4.5225","4.4776","-0.59%"
"Jun 11, 2013","4.5169","4.5165","4.5326","4.5012","-0.11%"
"Jun 10, 2013","4.5218","4.5048","4.5461","4.4965","0.25%"
"Jun 07, 2013","4.5107","4.5324","4.5841","4.5027","-0.54%"
"Jun 06, 2013","4.5354","4.4597","4.5475","4.4465","1.62%"
"Jun 05, 2013","4.4633","4.3981","4.4672","4.3913","1.49%"
"Jun 04, 2013","4.3979","4.4095","4.4212","4.3865","-0.34%"
"Jun 03, 2013","4.4127","4.3411","4.4292","4.3411","0.46%"
"May 31, 2013","4.3924","4.3510","4.3970","4.3437","0.86%"
"May 30, 2013","4.3548","4.3483","4.3602","4.3193","0.06%"
"May 29, 2013","4.3521","4.3292","4.3556","4.3221","0.45%"
"May 28, 2013","4.3327","4.3361","4.3468","4.3189","-0.18%"
"May 27, 2013","4.3407","4.3411","4.3574","4.3288","-0.29%"
"May 24, 2013","4.3533","4.3529","4.3678","4.3408","-0.06%"
"May 23, 2013","4.3559","4.3440","4.3682","4.3413","0.19%"
"May 22, 2013","4.3475","4.3448","4.3577","4.3368","-0.03%"
"May 21, 2013","4.3488","4.3464","4.3562","4.3386","-0.03%"
"May 20, 2013","4.3503","4.3291","4.3535","4.3229","0.24%"
"May 17, 2013","4.3401","4.3344","4.3443","4.3297","0.05%"
"May 16, 2013","4.3379","4.3361","4.3462","4.3258","-0.09%"
"May 15, 2013","4.3417","4.3304","4.3488","4.3229","0.24%"
"May 14, 2013","4.3314","4.3220","4.3375","4.3127","0.14%"
"May 13, 2013","4.3253","4.3191","4.3323","4.3109","-0.06%"
"May 10, 2013","4.3281","4.3236","4.3369","4.3148","0.02%"
"May 09, 2013","4.3271","4.3160","4.3339","4.3082","0.17%"
"May 08, 2013","4.3196","4.3102","4.3273","4.3010","0.13%"
"May 07, 2013","4.3138","4.3037","4.3263","4.2891","0.20%"
"May 06, 2013","4.3050","4.2946","4.3217","4.2925","0.03%"
"May 03, 2013","4.3036","4.3091","4.3224","4.2857","-0.25%"
"May 02, 2013","4.3146","4.3151","4.3470","4.3029","-0.09%"
"May 01, 2013","4.3185","4.3240","4.3350","4.3086","-0.21%"
"Apr 30, 2013","4.3277","4.3140","4.3338","4.3103","0.23%"
"Apr 29, 2013","4.3177","4.3370","4.3467","4.3051","-0.55%"
"Apr 26, 2013","4.3415","4.3408","4.3506","4.3284","-0.07%"
"Apr 25, 2013","4.3445","4.3549","4.3635","4.3368","-0.31%"
"Apr 24, 2013","4.3581","4.3462","4.3638","4.3369","0.19%"
"Apr 23, 2013","4.3497","4.3501","4.3607","4.3379","-0.06%"
"Apr 22, 2013","4.3523","4.3648","4.3736","4.3459","-0.28%"
"Apr 19, 2013","4.3646","4.3741","4.3859","4.3540","-0.31%"
"Apr 18, 2013","4.3781","4.3647","4.3832","4.3592","0.22%"
"Apr 17, 2013","4.3685","4.3666","4.3760","4.3564","0.05%"
"Apr 16, 2013","4.3665","4.3789","4.3876","4.3613","-0.35%"
"Apr 15, 2013","4.3818","4.3759","4.3897","4.3697","0.04%"
"Apr 12, 2013","4.3800","4.3874","4.4019","4.3740","-0.26%"
"Apr 11, 2013","4.3914","4.3830","4.3986","4.3804","0.07%"
"Apr 10, 2013","4.3883","4.3920","4.4021","4.3780","-0.17%"
"Apr 09, 2013","4.3956","4.3997","4.4146","4.3865","-0.18%"
"Apr 08, 2013","4.4035","4.4131","4.4225","4.3952","-0.22%"
"Apr 05, 2013","4.4133","4.4160","4.4311","4.4050","-0.13%"
"Apr 04, 2013","4.4190","4.4233","4.4338","4.4044","-0.17%"
"Apr 03, 2013","4.4265","4.4184","4.4322","4.4124","0.11%"
"Apr 02, 2013","4.4217","4.4146","4.4250","4.4044","0.09%"
"Apr 01, 2013","4.4177","4.4130","4.4261","4.4046","0.00%"
"Mar 29, 2013","4.4177","4.4130","4.4238","4.4049","0.03%"
"Mar 28, 2013","4.4162","4.4106","4.4242","4.4063","-0.00%"
"Mar 27, 2013","4.4164","4.4094","4.4227","4.3903","0.16%"
"Mar 26, 2013","4.4092","4.4098","4.4227","4.4012","-0.18%"
"Mar 25, 2013","4.4170","4.4243","4.4334","4.4025","-0.23%"
"Mar 22, 2013","4.4271","4.4185","4.4353","4.4116","0.09%"
"Mar 21, 2013","4.4229","4.4190","4.4269","4.4072","0.02%"
"Mar 20, 2013","4.4222","4.4172","4.4314","4.4072","0.20%"
"Mar 19, 2013","4.4135","4.4067","4.4337","4.3987","0.03%"
"Mar 18, 2013","4.4122","4.3899","4.4236","4.3826","0.45%"
"Mar 15, 2013","4.3924","4.3915","4.4012","4.3846","-0.08%"
"Mar 14, 2013","4.3959","4.3937","4.4020","4.3858","-0.04%"
"Mar 13, 2013","4.3978","4.3709","4.4022","4.3689","0.46%"
"Mar 12, 2013","4.3777","4.3697","4.3864","4.3634","0.14%"
"Mar 11, 2013","4.3716","4.3507","4.3780","4.3469","0.38%"
"Mar 08, 2013","4.3552","4.3509","4.3649","4.3374","0.04%"
"Mar 07, 2013","4.3536","4.3551","4.3678","4.3414","-0.11%"
"Mar 06, 2013","4.3582","4.3522","4.3666","4.3457","0.07%"
"Mar 05, 2013","4.3553","4.3559","4.3681","4.3461","-0.15%"
"Mar 04, 2013","4.3620","4.3576","4.3724","4.3535","0.02%"
"Mar 01, 2013","4.3613","4.3543","4.3706","4.3492","0.09%"
"Feb 28, 2013","4.3575","4.3647","4.3762","4.3500","-0.32%"
"Feb 27, 2013","4.3713","4.3829","4.3880","4.3607","-0.34%"
