Date,Price,Open,High,Low,Change %
"Jan 11, 2013",1.2088,1.2184,1.2189,1.2061,-0.78%
"Jan 10, 2013",1.2183,1.2267,1.228,1.2173,-0.69%
"Jan 09, 2013",1.2268,1.2271,1.2298,1.2246,-0.02%
"Jan 08, 2013",1.2271,1.2283,1.229,1.2248,-0.14%
"Jan 07, 2013",1.2288,1.2286,1.2338,1.2261,-0.03%
"Jan 04, 2013",1.2292,1.2339,1.2351,1.2273,-0.37%
"Jan 03, 2013",1.2338,1.2324,1.237,1.2309,0.10%
"Jan 02, 2013",1.2326,1.2301,1.2345,1.226,0.09%
"Jan 01, 2013",1.2315,1.2306,1.2346,1.2296,0.09%
"Dec 31, 2012",1.2304,1.2237,1.2342,1.2211,0.61%
"Dec 28, 2012",1.2229,1.2161,1.2245,1.2153,0.54%
"Dec 27, 2012",1.2163,1.2201,1.2218,1.2154,-0.31%
"Dec 26, 2012",1.2201,1.2226,1.2245,1.2177,-0.21%
"Dec 25, 2012",1.2227,1.2222,1.2248,1.2055,-0.01%
"Dec 24, 2012",1.2228,1.2258,1.2274,1.2212,-0.29%
"Dec 21, 2012",1.2264,1.2291,1.2323,1.2257,-0.23%
"Dec 20, 2012",1.2292,1.2277,1.232,1.2247,0.12%
"Dec 19, 2012",1.2277,1.2284,1.2308,1.2238,-0.09%
"Dec 18, 2012",1.2288,1.2309,1.2321,1.2273,-0.16%
"Dec 17, 2012",1.2308,1.2271,1.2328,1.2261,0.22%
"Dec 14, 2012",1.2281,1.2317,1.2348,1.2272,-0.31%
"Dec 13, 2012",1.2319,1.2348,1.2364,1.231,-0.29%
"Dec 12, 2012",1.2355,1.2389,1.2406,1.2341,-0.27%
"Dec 11, 2012",1.2389,1.2417,1.2433,1.2373,-0.23%
"Dec 10, 2012",1.2418,1.2439,1.2449,1.2405,0.10%
"Dec 07, 2012",1.2406,1.2374,1.2432,1.2367,0.24%
"Dec 06, 2012",1.2376,1.2311,1.2399,1.2303,0.55%
"Dec 05, 2012",1.2308,1.229,1.2329,1.2269,0.11%
"Dec 04, 2012",1.2294,1.2324,1.2346,1.2282,-0.28%
"Dec 03, 2012",1.2329,1.2334,1.2344,1.2294,0.08%
