location_bg,country,nuts1,nuts2,nuts3,lau1
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Южен централен, Пазарджик, Батак",Bulgaria,South-Western and South-Central Bulgaria,Southern Central,Pazardjik Province,Batak
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Южен централен, Хасково, Любимец",Bulgaria,South-Western and South-Central Bulgaria,Southern Central,Haskovo Province,Lyubimets
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Югоизточен, Сливен",Bulgaria,Northern and Eastern Bulgaria,Southeastern,Sliven Province,
Нидерландия,The Netherlands,,,,
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Южен централен, Пловдив, Стамболийски",Bulgaria,South-Western and South-Central Bulgaria,Southern Central,Plovdiv Province,Stamboliyski
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Югозападен, София област, Своге",Bulgaria,South-Western and South-Central Bulgaria,Southwestern,Sofia Province,Svoge
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Северен централен, Габрово, Габрово",Bulgaria,Northern and Eastern Bulgaria,Northern Central,Gabrovo Province,Gabrovo
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Южен централен, Пловдив, Брезово",Bulgaria,South-Western and South-Central Bulgaria,Southern Central,Plovdiv Province,Brezovo
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Югоизточен, Бургас",Bulgaria,Northern and Eastern Bulgaria,Southeastern,Bourgas Province,
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Южен централен, Смолян, Баните",Bulgaria,South-Western and South-Central Bulgaria,Southern Central,Smolyan Province,Banite
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Южен централен, Кърджали",Bulgaria,South-Western and South-Central Bulgaria,Southern Central,Kardjali Province,
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Североизточен",Bulgaria,Northern and Eastern Bulgaria,Northeastern,,
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Югозападен, София област, Долна баня",Bulgaria,South-Western and South-Central Bulgaria,Southwestern,Sofia Province,Dolna banya
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Северозападен, Ловеч, Угърчин",Bulgaria,Northern and Eastern Bulgaria,Northwestern,Lovech Province,Ugarchin
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Югозападен",Bulgaria,South-Western and South-Central Bulgaria,Southwestern,,
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Югозападен, Благоевград, Якоруда",Bulgaria,South-Western and South-Central Bulgaria,Southwestern,Blagoevgrad Province,Yakoruda
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Северозападен",Bulgaria,Northern and Eastern Bulgaria,Northwestern,,
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Южен централен, Пловдив",Bulgaria,South-Western and South-Central Bulgaria,Southern Central,Plovdiv Province,
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Югозападен, Перник, Трън",Bulgaria,South-Western and South-Central Bulgaria,Southwestern,Pernik Province,Trun
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Северозападен, Видин, Ново село",Bulgaria,Northern and Eastern Bulgaria,Northwestern,Vidin Province,Novo selo
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Югозападен, София област, Копривщица",Bulgaria,South-Western and South-Central Bulgaria,Southwestern,Sofia Province,Koprivshtitsa
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Югозападен, Кюстендил, Бобов дол",Bulgaria,South-Western and South-Central Bulgaria,Southwestern,Kyustendil Province,Bobov dol
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Северен централен, Русе",Bulgaria,Northern and Eastern Bulgaria,Northern Central,Rousse Province,
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Югозападен, София област, Елин Пелин",Bulgaria,South-Western and South-Central Bulgaria,Southwestern,Sofia Province,Elin Pelin
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Югозападен, Перник",Bulgaria,South-Western and South-Central Bulgaria,Southwestern,Pernik Province,
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Северен централен, Силистра, Дулово",Bulgaria,Northern and Eastern Bulgaria,Northern Central,Silistra Province,Dulovo
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Североизточен, Шумен, Смядово",Bulgaria,Northern and Eastern Bulgaria,Northeastern,Shoumen Province,Smyadovo
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Северозападен, Плевен, Искър",Bulgaria,Northern and Eastern Bulgaria,Northwestern,Pleven Province,Iskar
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Южен централен, Смолян, Чепеларе",Bulgaria,South-Western and South-Central Bulgaria,Southern Central,Smolyan Province,Chepelare
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Южен централен, Пловдив, Асеновград",Bulgaria,South-Western and South-Central Bulgaria,Southern Central,Plovdiv Province,Asenovgrad
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Югозападен, Благоевград, Банско",Bulgaria,South-Western and South-Central Bulgaria,Southwestern,Blagoevgrad Province,Bansko
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Северен централен, Русе, Ценово",Bulgaria,Northern and Eastern Bulgaria,Northern Central,Rousse Province,Tsenovo
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Югоизточен, Стара Загора, Раднево",Bulgaria,Northern and Eastern Bulgaria,Southeastern,Stara Zagora Province,Radnevo
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Южен централен, Смолян, Златоград",Bulgaria,South-Western and South-Central Bulgaria,Southern Central,Smolyan Province,Zlatograd
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Северен централен, Велико Търново, Златарица",Bulgaria,Northern and Eastern Bulgaria,Northern Central,Veliko Turnovo Province,Zlataritsa
България,Bulgaria,,,,
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Северозападен, Враца, Бяла Слатина",Bulgaria,Northern and Eastern Bulgaria,Northwestern,Vratsa Province,Byala Slatina
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Североизточен, Добрич, Крушари",Bulgaria,Northern and Eastern Bulgaria,Northeastern,Dobrich Province,Krushari
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Южен централен, Хасково, Минерални бани",Bulgaria,South-Western and South-Central Bulgaria,Southern Central,Haskovo Province,Mineralni bani
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Югоизточен, Сливен, Твърдица",Bulgaria,Northern and Eastern Bulgaria,Southeastern,Sliven Province,Tvarditsa
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Югоизточен, Бургас, Поморие",Bulgaria,Northern and Eastern Bulgaria,Southeastern,Bourgas Province,Pomorie
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Южен централен, Хасково, Тополовград",Bulgaria,South-Western and South-Central Bulgaria,Southern Central,Haskovo Province,Topolovgrad
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Югозападен, Благоевград, Разлог",Bulgaria,South-Western and South-Central Bulgaria,Southwestern,Blagoevgrad Province,Razlog
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Югозападен, Благоевград, Петрич",Bulgaria,South-Western and South-Central Bulgaria,Southwestern,Blagoevgrad Province,Petrich
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Северозападен, Плевен, Гулянци",Bulgaria,Northern and Eastern Bulgaria,Northwestern,Pleven Province,Gulyantsi
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Североизточен, Шумен",Bulgaria,Northern and Eastern Bulgaria,Northeastern,Shoumen Province,
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Южен централен, Хасково, Маджарово",Bulgaria,South-Western and South-Central Bulgaria,Southern Central,Haskovo Province,Madjarovo
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Южен централен, Пазарджик, Септември",Bulgaria,South-Western and South-Central Bulgaria,Southern Central,Pazardjik Province,Septemvri
