NUTS_3_2013_CODE;NUTS_3_2010_CODE;LAU1_NAT_CODE;LAU2_NAT_CODE;CHANGE;NAME_1;NAME_2_LAT;POP;AREA;DEGURBA
FR412;FR412;5506;55076;no;Bréhéville;Bréhéville;182;18330000;3
FR412;FR412;5506;55107;no;Chaumont-devant-Damvillers;Chaumont-devant-Damvillers;49;5350000;3
FR412;FR412;5506;55145;no;Damvillers;Damvillers;655;18330000;3
FR412;FR412;5506;55149;no;Delut;Delut;105;9180000;3
FR412;FR412;5506;55156;no;Dombras;Dombras;139;11270000;3
FR412;FR412;5506;55170;no;Écurey-en-Verdunois;Écurey-en-Verdunois;140;6920000;3
FR412;FR412;5506;55183;no;Étraye;Étraye;43;7990000;3
FR412;FR412;5506;55218;no;Gremilly;Gremilly;26;17810000;3
FR412;FR412;5506;55297;no;Lissey;Lissey;135;9970000;3
FR412;FR412;5506;55336;no;Merles-sur-Loison;Merles-sur-Loison;166;11450000;3
FR412;FR412;5506;55341;no;Moirey-Flabas-Crépion;Moirey-Flabas-Crépion;133;14620000;3
FR412;FR412;5506;55403;no;Peuvillers;Peuvillers;64;4860000;3
FR412;FR412;5506;55428;no;Réville-aux-Bois;Réville-aux-Bois;122;11030000;3
FR412;FR412;5506;55437;no;Romagne-sous-les-Côtes;Romagne-sous-les-Côtes;112;14190000;3
FR412;FR412;5506;55450;no;Rupt-sur-Othain;Rupt-sur-Othain;56;5530000;3
FR412;FR412;5506;55556;no;Ville-devant-Chaumont;Ville-devant-Chaumont;56;4210000;3
FR412;FR412;5506;55572;no;Vittarville;Vittarville;87;8150000;3
FR412;FR412;5506;55580;no;Wavrille;Wavrille;43;5310000;3
FR412;FR412;5507;55004;no;Aincreville;Aincreville;85;9110000;3
FR412;FR412;5507;55078;no;Brieulles-sur-Meuse;Brieulles-sur-Meuse;331;24050000;3
FR412;FR412;5507;55118;no;Cléry-le-Grand;Cléry-le-Grand;78;7180000;3
FR412;FR412;5507;55119;no;Cléry-le-Petit;Cléry-le-Petit;191;4580000;3
FR412;FR412;5507;55165;no;Doulcon;Doulcon;448;8570000;3
FR412;FR412;5507;55167;no;Dun-sur-Meuse;Dun-sur-Meuse;720;6410000;3
FR412;FR412;5507;55192;no;Fontaines-Saint-Clair;Fontaines-Saint-Clair;51;6230000;3
FR412;FR412;5507;55292;no;Liny-devant-Dun;Liny-devant-Dun;190;10900000;3
FR412;FR412;5507;55293;no;Lion-devant-Dun;Lion-devant-Dun;173;15510000;3
FR412;FR412;5507;55338;no;Milly-sur-Bradon;Milly-sur-Bradon;173;10400000;3
FR412;FR412;5507;55345;no;Mont-devant-Sassey;Mont-devant-Sassey;120;8220000;3
FR412;FR412;5507;55349;no;Montigny-devant-Sassey;Montigny-devant-Sassey;133;9720000;3
FR412;FR412;5507;55365;no;Murvaux;Murvaux;148;14210000;3
FR412;FR412;5507;55469;no;Sassey-sur-Meuse;Sassey-sur-Meuse;108;4330000;3
FR412;FR412;5507;55471;no;Saulmory-et-Villefranche;Saulmory-et-Villefranche;107;6850000;3
FR412;FR412;5507;55561;no;Villers-devant-Dun;Villers-devant-Dun;60;7970000;3
FR412;FR412;5507;55571;no;Vilosnes-Haraumont;Vilosnes-Haraumont;204;15410000;3
FR412;FR412;5508;55002;no;Abaucourt-Hautecourt;Abaucourt-Hautecourt;99;9680000;3
FR412;FR412;5508;55055;no;Blanzée;Blanzée;20;3390000;3
FR412;FR412;5508;55057;no;Boinville-en-Woëvre;Boinville-en-Woëvre;70;5650000;3
FR412;FR412;5508;55072;no;Braquis;Braquis;94;4950000;3
FR412;FR412;5508;55094;no;Buzy-Darmont;Buzy-Darmont;568;12380000;3
FR412;FR412;5508;55105;no;Châtillon-sous-les-Côtes;Châtillon-sous-les-Côtes;164;10680000;3
FR412;FR412;5508;55143;no;Damloup;Damloup;150;5280000;3
FR412;FR412;5508;55153;no;Dieppe-sous-Douaumont;Dieppe-sous-Douaumont;180;15060000;3
FR412;FR412;5508;55171;no;Eix;Eix;248;12060000;3
FR412;FR412;5508;55181;no;Étain;Étain;3 808;19640000;3
FR412;FR412;5508;55191;no;Foameix-Ornel;Foameix-Ornel;195;11070000;3
FR412;FR412;5508;55201;no;Fromezey;Fromezey;53;5960000;3
FR412;FR412;5508;55211;no;Gincrey;Gincrey;63;9690000;3
FR412;FR412;5508;55219;no;Grimaucourt-en-Woëvre;Grimaucourt-en-Woëvre;106;5690000;3
FR412;FR412;5508;55222;no;Gussainville;Gussainville;34;10480000;3
FR412;FR412;5508;55244;no;Herméville-en-Woëvre;Herméville-en-Woëvre;236;14640000;3
FR412;FR412;5508;55280;no;Lanhères;Lanhères;65;4600000;3
FR412;FR412;5508;55325;no;Maucourt-sur-Orne;Maucourt-sur-Orne;60;6430000;3
FR412;FR412;5508;55339;no;Mogeville;Mogeville;74;6370000;3
FR412;FR412;5508;55356;no;Moranville;Moranville;132;6800000;3
FR412;FR412;5508;55357;no;Morgemoulin;Morgemoulin;104;6850000;3
FR412;FR412;5508;55361;no;Moulainville;Moulainville;147;11150000;3
FR412;FR412;5508;55400;no;Parfondrupt;Parfondrupt;52;8530000;3
FR412;FR412;5508;55443;no;Rouvres-en-Woëvre;Rouvres-en-Woëvre;771;16740000;3
FR412;FR412;5508;55458;no;Saint-Jean-lès-Buzy;Saint-Jean-lès-Buzy;322;10340000;3
FR412;FR412;5508;55578;no;Warcq;Warcq;215;4990000;3
FR412;FR412;5509;55021;no;Avillers-Sainte-Croix;Avillers-Sainte-Croix;63;5500000;3
FR412;FR412;5509;55060;no;Bonzée;Bonzée;364;21140000;3
FR412;FR412;5509;55121;no;Combres-sous-les-Côtes;Combres-sous-les-Côtes;114;5060000;3
FR412;FR412;5509;55157;no;Dommartin-la-Montagne;Dommartin-la-Montagne;67;6770000;3
FR412;FR412;5509;55163;no;Doncourt-aux-Templiers;Doncourt-aux-Templiers;73;6180000;3
FR412;FR412;5509;55172;no;Les Éparges;Les Éparges;75;9520000;3
FR412;FR412;5509;55198;no;Fresnes-en-Woëvre;Fresnes-en-Woëvre;744;9080000;3
FR412;FR412;5509;55228;no;Hannonville-sous-les-Côtes;Hannonville-sous-les-Côtes;632;15710000;3
FR412;FR412;5509;55232;no;Harville;Harville;111;5540000;3
FR412;FR412;5509;55237;no;Haudiomont;Haudiomont;235;9300000;3
FR412;FR412;5509;55242;no;Hennemont;Hennemont;129;10820000;3
FR412;FR412;5509;55243;no;Herbeuville;Herbeuville;180;6710000;3
FR412;FR412;5509;55265;no;Labeuville;Labeuville;140;9580000;3
FR412;FR412;5509;55281;no;Latour-en-Woëvre;Latour-en-Woëvre;74;6740000;3
FR412;FR412;5509;55311;no;Maizeray;Maizeray;35;3870000;3
FR412;FR412;5509;55317;no;Manheulles;Manheulles;153;10450000;3
FR412;FR412;5509;55320;no;Marchéville-en-Woëvre;Marchéville-en-Woëvre;79;5630000;3
FR412;FR412;5509;55360;no;Mouilly;Mouilly;108;10960000;3
FR412;FR412;5509;55363;no;Moulotte;Moulotte;118;5530000;3
FR412;FR412;5509;55399;no;Pareid;Pareid;119;7020000;3
FR412;FR412;5509;55406;no;Pintheville;Pintheville;93;5180000;3
FR412;FR412;5509;55429;no;Riaville;Riaville;45;3360000;3
FR412;FR412;5509;55439;no;Ronvaux;Ronvaux;92;2630000;3
FR412;FR412;5509;55457;no;Saint-Hilaire-en-Woëvre;Saint-Hilaire-en-Woëvre;192;11120000;3
FR412;FR412;5509;55465;no;Saint-Remy-la-Calonne;Saint-Remy-la-Calonne;81;8040000;3
FR412;FR412;5509;55473;no;Saulx-lès-Champlon;Saulx-lès-Champlon;133;7810000;3
FR412;FR412;5509;55507;no;Thillot;Thillot;256;3650000;3
FR412;FR412;5509;55515;no;Trésauvaux;Trésauvaux;86;3950000;3
FR412;FR412;5509;55557;no;Ville-en-Woëvre;Ville-en-Woëvre;134;14180000;3
FR412;FR412;5509;55565;no;Villers-sous-Pareid;Villers-sous-Pareid;64;6120000;3
FR412;FR412;5509;55579;no;Watronville;Watronville;109;6390000;3
FR412;FR412;5509;55583;no;Woël;Woël;173;13210000;3
FR412;FR412;5510;55001;no;Abainville;Abainville;298;13670000;3
FR412;FR412;5510;55005;no;Amanty;Amanty;45;11170000;3
FR412;FR412;5510;55026;no;Badonvilliers-Gérauvilliers;Badonvilliers-Gérauvilliers;140;21030000;3
FR412;FR412;5510;55030;no;Baudignécourt;Baudignécourt;77;6280000;3
FR412;FR412;5510;55059;no;Bonnet;Bonnet;215;29060000;3
FR412;FR412;5510;55104;no;Chassey-Beaupré;Chassey-Beaupré;119;14110000;3
FR412;FR412;5510;55142;no;Dainville-Bertheléville;Dainville-Bertheléville;157;40300000;3
FR412;FR412;5510;55148;no;Delouze-Rosières;Delouze-Rosières;130;15080000;3
FR412;FR412;5510;55150;no;Demange-aux-Eaux;Demange-aux-Eaux;545;24860000;3
FR412;FR412;5510;55215;no;Gondrecourt-le-Château;Gondrecourt-le-Château;1 198;51330000;3
