nuts1_name,nuts1_code,nuts2_name,nuts2_code,nuts3_name,nuts3_code,lau1_name,lau1_code,lau2_name,lau2_code,population,territory,density
Ostösterreich,AT1,Burgenland,AT11,Nordburgenland,AT112,Nordburgenland,AT112,Zagersdorf,AT112_10323,1656,8.52,194.29
Ostösterreich,AT1,Burgenland,AT11,Nordburgenland,AT112,Nordburgenland,AT112,Draßburg,AT112_10601,1172,11.84,99.01
Ostösterreich,AT1,Burgenland,AT11,Nordburgenland,AT112,Nordburgenland,AT112,Forchtenstein,AT112_10602,2786,20.0,139.32
Ostösterreich,AT1,Burgenland,AT11,Nordburgenland,AT112,Nordburgenland,AT112,Hirm,AT112_10603,840,3.54,237.51
Ostösterreich,AT1,Burgenland,AT11,Nordburgenland,AT112,Nordburgenland,AT112,Loipersbach im Burgenland,AT112_10604,1116,9.95,112.13
Ostösterreich,AT1,Burgenland,AT11,Nordburgenland,AT112,Nordburgenland,AT112,Marz,AT112_10605,2671,21.08,126.71
Ostösterreich,AT1,Burgenland,AT11,Nordburgenland,AT112,Nordburgenland,AT112,Mattersburg,AT112_10606,6862,33.4,205.47
Ostösterreich,AT1,Burgenland,AT11,Nordburgenland,AT112,Nordburgenland,AT112,Neudörfl,AT112_10607,4026,10.91,368.87
Ostösterreich,AT1,Burgenland,AT11,Nordburgenland,AT112,Nordburgenland,AT112,Pöttelsdorf,AT112_10608,786,9.07,86.67
Ostösterreich,AT1,Burgenland,AT11,Nordburgenland,AT112,Nordburgenland,AT112,Pöttsching,AT112_10609,3043,29.51,103.13
Ostösterreich,AT1,Burgenland,AT11,Nordburgenland,AT112,Nordburgenland,AT112,Rohrbach bei Mattersburg,AT112_10610,1998,18.51,107.92
Ostösterreich,AT1,Burgenland,AT11,Nordburgenland,AT112,Nordburgenland,AT112,Bad Sauerbrunn,AT112_10611,1086,2.76,393.49
Ostösterreich,AT1,Burgenland,AT11,Nordburgenland,AT112,Nordburgenland,AT112,Schattendorf,AT112_10612,2328,15.0,155.19
Ostösterreich,AT1,Burgenland,AT11,Nordburgenland,AT112,Nordburgenland,AT112,Sieggraben,AT112_10613,1303,21.25,61.31
Ostösterreich,AT1,Burgenland,AT11,Nordburgenland,AT112,Nordburgenland,AT112,Sigleß,AT112_10614,1119,11.9,94.0
Ostösterreich,AT1,Burgenland,AT11,Nordburgenland,AT112,Nordburgenland,AT112,Wiesen,AT112_10615,3334,23.14,144.11
Ostösterreich,AT1,Burgenland,AT11,Nordburgenland,AT112,Nordburgenland,AT112,Antau,AT112_10616,551,11.0,50.07
Ostösterreich,AT1,Burgenland,AT11,Nordburgenland,AT112,Nordburgenland,AT112,Baumgarten,AT112_10617,735,8.28,88.78
Ostösterreich,AT1,Burgenland,AT11,Nordburgenland,AT112,Nordburgenland,AT112,Zemendorf-Stöttera,AT112_10618,1363,15.57,87.55
Ostösterreich,AT1,Burgenland,AT11,Nordburgenland,AT112,Nordburgenland,AT112,Krensdorf,AT112_10619,605,9.53,63.49
Ostösterreich,AT1,Burgenland,AT11,Nordburgenland,AT112,Nordburgenland,AT112,Andau,AT112_10701,2433,57.21,42.53
Ostösterreich,AT1,Burgenland,AT11,Nordburgenland,AT112,Nordburgenland,AT112,Apetlon,AT112_10702,1807,98.41,18.36
Ostösterreich,AT1,Burgenland,AT11,Nordburgenland,AT112,Nordburgenland,AT112,Bruckneudorf,AT112_10703,2770,44.5,62.25
Ostösterreich,AT1,Burgenland,AT11,Nordburgenland,AT112,Nordburgenland,AT112,Deutsch Jahrndorf,AT112_10704,556,32.52,17.1
Ostösterreich,AT1,Burgenland,AT11,Nordburgenland,AT112,Nordburgenland,AT112,Frauenkirchen,AT112_10705,2844,38.21,74.43
Ostösterreich,AT1,Burgenland,AT11,Nordburgenland,AT112,Nordburgenland,AT112,Gattendorf,AT112_10706,1047,30.02,34.87
Ostösterreich,AT1,Burgenland,AT11,Nordburgenland,AT112,Nordburgenland,AT112,Gols,AT112_10707,3563,51.56,69.11
Ostösterreich,AT1,Burgenland,AT11,Nordburgenland,AT112,Nordburgenland,AT112,Halbturn,AT112_10708,1910,66.46,28.74
Ostösterreich,AT1,Burgenland,AT11,Nordburgenland,AT112,Nordburgenland,AT112,Illmitz,AT112_10709,2454,109.99,22.31
Ostösterreich,AT1,Burgenland,AT11,Nordburgenland,AT112,Nordburgenland,AT112,Jois,AT112_10710,1475,31.46,46.89
Ostösterreich,AT1,Burgenland,AT11,Nordburgenland,AT112,Nordburgenland,AT112,Kittsee,AT112_10711,2071,22.74,91.06
Ostösterreich,AT1,Burgenland,AT11,Nordburgenland,AT112,Nordburgenland,AT112,Mönchhof,AT112_10712,2290,40.15,57.04
Ostösterreich,AT1,Burgenland,AT11,Nordburgenland,AT112,Nordburgenland,AT112,Neusiedl am See,AT112_10713,5811,68.61,84.69
Ostösterreich,AT1,Burgenland,AT11,Nordburgenland,AT112,Nordburgenland,AT112,Nickelsdorf,AT112_10714,1489,72.76,20.46
