beneficiary,beneficiary_address,project_title,project_description,total_amount,status,funding_agency
ALU SOMMER GmbH.,"7344 Stoob, Industriestraße 6",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Englisch technisch,2352,A,Arbeitsmarktservice Burgenland
ALU SOMMER GmbH.,"7344 Stoob, Industriestraße 6",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: Der motivierende Leader,616,A,Arbeitsmarktservice Burgenland
ALU SOMMER GmbH.,"7344 Stoob, Industriestraße 6",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: Ausbildung und Zertifizierung von Schweißern,1001,A,Arbeitsmarktservice Burgenland
ALU SOMMER GmbH.,"7344 Stoob, Industriestraße 6",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: Der teArbeitsmarktservice Burgenlandteuernde Leader,2464,A,Arbeitsmarktservice Burgenland
ALU SOMMER GmbH.,"7344 Stoob, Industriestraße 6",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Auto CAD,2107,A,Arbeitsmarktservice Burgenland
ALU SOMMER GmbH.,"7344 Stoob, Industriestraße 6",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Sicherheitstechnische Ausbildung,1400,A,Arbeitsmarktservice Burgenland
ALU SOMMER GmbH.,"7344 Stoob, Industriestraße 6",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Schweißerausbildung,8246,A,Arbeitsmarktservice Burgenland
ALU SOMMER GmbH.,"7344 Stoob, Industriestraße 6",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: Fahrerqualifikation,392,A,Arbeitsmarktservice Burgenland
ALU-SOMMER GmbH,"7344 Stoob, Industriestraße 6","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften",Lehrgang Projektmanagement - Modul A,2044,A,Wirtschaft Burgenland GmbH
ALU-SOMMER GmbH,"7344 Stoob, Industriestraße 6","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften",Ausbildung und Zertifizierung von Schweißern gem. EN 287- 1 bzw. EN ISO 9606-2,796.25,A,Wirtschaft Burgenland GmbH
ALU-SOMMER GmbH,"7344 Stoob, Industriestraße 6","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften","Teillehrgang I ""Der motivierende Leader""",462,A,Wirtschaft Burgenland GmbH
amberANTs Service Gmbh.,"7000 Eisenstadt, TZL/Th.A.Edisonstr. 2",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: ICND1 Netzwerktechnik,1653.75,A,Arbeitsmarktservice Burgenland
amberANTs Service Gmbh.,"7000 Eisenstadt, TZL/Th.A.Edisonstr. 2",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: ITIL V3 Foundation inkl. Prüfung,605.5,A,Arbeitsmarktservice Burgenland
Aminger Anna,"7210 Mattersburg, Bachgasse 5","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften",Diplomlehrgang Energetik und ganzheitliche Gesundheitsberatung,1687.5,A,Wirtschaft Burgenland GmbH
Aminger Helmut,"7301 Deutschkreutz, Wettergasse 27","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften",Diplom Lehrgang Online Marketing,1125,A,Wirtschaft Burgenland GmbH
Amminger Marco DI,"7312 Horitschon, Günser Straße 8","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften","Seminar ""Process Communication Model""; Ausbildung zum ""Process Communication Model-Trainer""",3290.25,A,Wirtschaft Burgenland GmbH
