beneficiary,beneficiary_address,project_title,project_description,total_amount,status,funding_agency
KASTNER ABHOLMARKT und Gastrodienst GesmbH,"7000 Eisenstadt, Industriestrasse 12",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: Aktiver Telefonverkauf,175,A,Arbeitsmarktservice Burgenland
KASTNER ABHOLMARKT und Gastrodienst GesmbH,"7000 Eisenstadt, Industriestrasse 12",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: Projektmanagement Ausbildung,262.5,A,Arbeitsmarktservice Burgenland
KASTNER ABHOLMARKT und Gastrodienst GesmbH,"7000 Eisenstadt, Industriestrasse 12",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: Außendienst- Training,550,A,Arbeitsmarktservice Burgenland
KASTNER ABHOLMARKT und Gastrodienst GesmbH,"7000 Eisenstadt, Industriestrasse 12",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: Ausbildertraining,252,A,Arbeitsmarktservice Burgenland
KASTNER ABHOLMARKT und Gastrodienst GesmbH,"7000 Eisenstadt, Industriestrasse 12",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: Ausbildung zur Sicherheitsvertrauensperson,182,A,Arbeitsmarktservice Burgenland
KASTNER ABHOLMARKT und Gastrodienst GesmbH,"7000 Eisenstadt, Industriestrasse 12",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: Von der Kollegin/Vom Kollegen zur Führungskraft,127.17,A,Arbeitsmarktservice Burgenland
KASTNER ABHOLMARKT und Gastrodienst GesmbH,"7000 Eisenstadt, Industriestrasse 12",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: Außendienst- Training,703.56,A,Arbeitsmarktservice Burgenland
KASTNER ABHOLMARKT und Gastrodienst GesmbH,"7000 Eisenstadt, Industriestrasse 12",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: Von der Kollegin/Vom Kollegen zur Führungskraft,127.17,A,Arbeitsmarktservice Burgenland
KASTNER ABHOLMARKT und Gastrodienst GesmbH,"7000 Eisenstadt, Industriestrasse 12",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: Aufbauseminar 1 Weinseminar,507.32,A,Arbeitsmarktservice Burgenland
KASTNER ABHOLMARKT und Gastrodienst GesmbH,"7000 Eisenstadt, Industriestrasse 12",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: Ausbildung zur Sicherheitsvertrauensperson,192.5,A,Arbeitsmarktservice Burgenland
KASTNER ABHOLMARKT und Gastrodienst GesmbH,"7000 Eisenstadt, Industriestrasse 12",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: Aktiver Verkauf im Abholmarkt,1483.79,A,Arbeitsmarktservice Burgenland
KASTNER ABHOLMARKT und Gastrodienst GesmbH,"7000 Eisenstadt, Industriestrasse 12",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: Ausbildung zum Staplerfahrer,154,A,Arbeitsmarktservice Burgenland
KASTNER ABHOLMARKT und Gastrodienst GesmbH,"7000 Eisenstadt, Industriestrasse 12",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: Von der Kollegin/Vom Kollegen zur Führungskraft,433.84,A,Arbeitsmarktservice Burgenland
Kastovsky-Leithner Doris,"7210 Mattersburg, Michael Koch-Straße 24","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften","Universitätslehrgang ""Mentalcoaching""",6250,A,Wirtschaft Burgenland GmbH
Kastovsky-Leithner Doris,"7210 Mattersburg, Michael Koch-Straße 24","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften",Ausbildungslehrgang zur FarbtypberaterIn,750,A,Wirtschaft Burgenland GmbH
Kasumovic Rusmir,"7423 Pinkafeld, Wiesfleckerstraße 15","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften",Ausbilder-Training,270,A,Wirtschaft Burgenland GmbH
Kattun Möbelerzeugungs GmbH,"8383 Eisenberg/R., Kirchenzipf 19",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: Englisch Spezialkurs Tischlerei,3676.16,A,Arbeitsmarktservice Burgenland
Kattun Möbelerzeugungs GmbH,"8383 Eisenberg/R., Kirchenzipf 19",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: Schulung über maschinelle Schleiftechniken und Schleifmittel,3507.08,A,Arbeitsmarktservice Burgenland
Katzbeck FensterGmbH Austria,"7571 Rudersdorf (Bgld.), Teichweg 6",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: Crashkurs Office English,637.5,A,Arbeitsmarktservice Burgenland
Katzbeck FensterGmbH Austria,"7571 Rudersdorf (Bgld.), Teichweg 6",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: FIT FOR SALES Workshop,8863.72,A,Arbeitsmarktservice Burgenland
Katzbeck FensterGmbH Austria,"7571 Rudersdorf (Bgld.), Teichweg 6",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: FIT FOR SALES Workshop,2769.3,A,Arbeitsmarktservice Burgenland
Katzbeck FensterGmbH Austria,"7571 Rudersdorf (Bgld.), Teichweg 6",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: FIT FOR SALES Workshop,2600,A,Arbeitsmarktservice Burgenland
Katzbeck FensterGmbH Austria,"7571 Rudersdorf (Bgld.), Teichweg 6",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: FIT FOR SALES Workshop,2749.97,A,Arbeitsmarktservice Burgenland
Katzbeck GmbH,"7571 Rudersdorf, Teichweg 6","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften","Seminar ""Effektiv planen und budgetieren""",637.5,A,Wirtschaft Burgenland GmbH
Katzbeck GmbH,"7571 Rudersdorf, Teichweg 6","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften","Lehrgang ""BMD Controllerdiplom""",2092.5,A,Wirtschaft Burgenland GmbH
Katzbeck GmbH & Co KG,"7571 Rudersdorf, Teichweg 6","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften","Seminar ""Zeitmanagement""",1275,A,Wirtschaft Burgenland GmbH
KEMETEC GesmbH,"7531 Kemeten, Steinbrückl 5",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: Lasertechnologie,1650,A,Arbeitsmarktservice Burgenland
KEMETEC GesmbH,"7531 Kemeten, Steinbrückl 5",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: Ungarisch Auffrischungskurs,202.5,A,Arbeitsmarktservice Burgenland
Kemmer Gabriela,"7431 Bad Tatzmannsdorf, Am Kurpark 3",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: Manuelle Lymphdrainaige nach Dr. Vodder,780.99,A,Arbeitsmarktservice Burgenland
Kempfer Doris,"2491 Neufeld an der Leitha, Landeggerstraße 5B/3/24","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften",Ausbildung zur Visagistin und zum Make-up Artisten,4125,A,Wirtschaft Burgenland GmbH
Kern KEG,"7000 Eisenstadt, Kasernenstraße 32","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften","Aktiopädie - PATH Creative Therapie, Modul 2-6",1815,A,Wirtschaft Burgenland GmbH
Kern KG,"7000 Eisenstadt, Kasernenstraße 32/10","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften","Ausbildung zum/zur Mental-, Intuitions- und Bewusstseinstrainer/in",1950,A,Wirtschaft Burgenland GmbH
Kern KG,"7000 Eisenstadt, Kasernenstraße 32/10","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften","Fortsetzungslehrgang I+II für diplomierte Mental-, Intuitions- und BewusstseinstrainerInnen",937.5,A,Wirtschaft Burgenland GmbH
Kern KG,"7000 Eisenstadt, Kasernenstraße 32/10","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften",Grundausbildung Heilende Kraft des Singens - Heilsames und gesundheitsförderndes Singen,937.5,A,Wirtschaft Burgenland GmbH
Kern KG,"7000 Eisenstadt, Kasernenstraße 32/10","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften",Wanderführerausbildung (Grund- und Intensivmodul),495,A,Wirtschaft Burgenland GmbH
Kernbauer Peter,"7091 Breitenbrunn, Bruckergasse 1 a","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften",Ausbildertraining,292.5,A,Wirtschaft Burgenland GmbH
Kernbauer Peter,"7091 Breitenbrunn, Bruckergasse 1 a","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften",Vorbereitungskurs Meisterprüfung KFZ-Techniker/in - Teil 1- 3; Grundschulung § 57 a - Wiederkehrende Begutachtung,2895,A,Wirtschaft Burgenland GmbH
K-ET GmbH,"7023 Zemendorf, Hauptstr. 38",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: Staplerkurs,2596.5,A,Arbeitsmarktservice Burgenland
K-ET GmbH,"7023 Zemendorf, Hauptstr. 38",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Persönlichkeitsbildung,1169,A,Arbeitsmarktservice Burgenland
K-ET GmbH,"7023 Zemendorf, Hauptstr. 38",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Elektrotechnische Ausbildung,1358,A,Arbeitsmarktservice Burgenland
K-ET GmbH,"7023 Zemendorf, Hauptstraße 38","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften",Leading your Team - Erfolgreiche Mitarbeiterführung (LYT),1995,A,Wirtschaft Burgenland GmbH
K-ET GmbH,"7023 Zemendorf, Hauptstraße 38","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften",Vorbereitungskurs auf die Befähigungsprüfung im Gewerbe Elektrotechnik,2662.5,A,Wirtschaft Burgenland GmbH
K-ET Verwaltungs GmbH,"7023 Zemendorf, Hauptstraße 38","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften",Leading your Team - Erfolgreiche Mitarbeiterführung (LYT),1995,A,Wirtschaft Burgenland GmbH
Kettner Bau GmbH.,"7132 Frauenkirchen, Franziskanerstr. 51",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: Personalverrechnung Teil 1,547.5,A,Arbeitsmarktservice Burgenland
Kettner Herbert,"7132 Frauenkirchen, Weiße Kreuzgasse 19","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften",Eisenarbeiten in der Denkmalpflege/Klassische Schmiedetechniken - Teil 1+2,645,A,Wirtschaft Burgenland GmbH
KFZ - GRUSZO,"7534 Olbendorf, Bergen 134",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: EDV Grundkurs,1056,A,Arbeitsmarktservice Burgenland
KFZ - Reparaturwerkstätte G ottfried Kappel Ges.m.b.H,"7433 Mariasdorf, Mariasdorf 131",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: Grundkurs Qualitätsmanagement,3983.08,A,Arbeitsmarktservice Burgenland
KFZ - Reparaturwerkstätte G ottfried Kappel Ges.m.b.H,"7433 Mariasdorf, Mariasdorf 131",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: Grundkurs Qualitätsmanagement,3983.08,A,Arbeitsmarktservice Burgenland
KFZ - Reparaturwerkstätte G ottfried Kappel Ges.m.b.H,"7433 Mariasdorf, Mariasdorf 131",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: Aufbaukurs Qualitätsmanagement,3983.08,A,Arbeitsmarktservice Burgenland
KFZ-Profis GmbH,"7142 Illmitz, Friedhofgasse 9","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften",Ausbildung zum/zur zertifiziertem Schadensbegutachter,1635,A,Wirtschaft Burgenland GmbH
KFZ-Profis GmbH,"7142 Illmitz, Friedhofgasse 9","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften","Seminar ""Motoren - Teil 1-3""",958.5,A,Wirtschaft Burgenland GmbH
KFZ-Profis GmbH,"7142 Illmitz, Friedhofgasse 9","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften",Weiterbildung für LKW Lenker/innen Modul 1-5,367.5,A,Wirtschaft Burgenland GmbH
Kfz-Technik Madl und Co OG,"7082 Donnerskirchen, Industriegelände 1","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften",Vorbereitung für fachliche Meisterprüfung - KFZ-Technik; Grundausbildung nach 57a - Wiederkehrende Begutachtung; Schweißen für die KFZ-TechnikerInnen; KFZ-,2398.5,A,Wirtschaft Burgenland GmbH
KICO Marketing e.U. - Ing. Johann Pfneiszl,"7372 Draßmarkt, Am Anger 4","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften",Adobe Illustrator-Grundkurs - Zeichnen und Gestalten,510,A,Wirtschaft Burgenland GmbH
KIENZL Adalbert DI GmbH & Co KG,"7000 Eisenstadt, Lobäckerstrasse 63",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Thermische Althaussanierung,1254.41,A,Arbeitsmarktservice Burgenland
KIENZL Adalbert DI GmbH & Co KG,"7000 Eisenstadt, Lobäckerstrasse 63",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Stress- u. Zeitmanagement,400.41,A,Arbeitsmarktservice Burgenland
KIENZL Adalbert DI GmbH & Co KG,"7000 Eisenstadt, Lobäckerstrasse 63",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Polier- u. FacharbeiterInnenschulung,1508.73,A,Arbeitsmarktservice Burgenland
KIENZL Adalbert DI GmbH & Co KG,"7000 Eisenstadt, Lobäckerstrasse 63",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Bauschadenabwicklung,1017.91,A,Arbeitsmarktservice Burgenland
KIENZL Adalbert DI GmbH & Co KG,"7000 Eisenstadt, Lobäckerstrasse 63",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Passivhausbau 1 - Grundlagen,1029,A,Arbeitsmarktservice Burgenland
KIENZL Adalbert DI GmbH & Co KG,"7000 Eisenstadt, Lobäckerstrasse 63",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: OIB-Richtlinien,609,A,Arbeitsmarktservice Burgenland
KIENZL Adalbert DI GmbH & Co KG,"7000 Eisenstadt, Lobäckerstrasse 63",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Passivhausbau 2,686,A,Arbeitsmarktservice Burgenland
KIENZL Adalbert DI GmbH & Co KG,"7000 Eisenstadt, Lobäckerstrasse 63",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Kostenrechnung,420,A,Arbeitsmarktservice Burgenland
KIENZL Adalbert DI GmbH & Co KG,"7000 Eisenstadt, Lobäckerstrasse 63",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Budgetierung und Controlling,420,A,Arbeitsmarktservice Burgenland
Kinderdorf Pöttsching,"7033 Pöttsching, Kinderdorfstraße",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: Fachbetreuer für Sozialpädagogik,3391.75,A,Arbeitsmarktservice Burgenland
Kinderdorf Pöttsching,"7033 Pöttsching, Kinderdorfstraße",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: Diplom Sozialpädagogin,577.72,A,Arbeitsmarktservice Burgenland
Kinderdorf Pöttsching,"7033 Pöttsching, Kinderdorfstraße",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: Diplom Sozialpädagoge 1. Teil,3697.3,A,Arbeitsmarktservice Burgenland
Kinderdorf Pöttsching,"7033 Pöttsching, Kinderdorfstraße",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: Diplom Sozialpädagoge 2. Teil,3466.22,A,Arbeitsmarktservice Burgenland
Kinderdorf Pöttsching,"7033 Pöttsching, Kinderdorfstraße",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: Diplom Sozialpädagogin Teil 2,1964.17,A,Arbeitsmarktservice Burgenland
Kinderdorf Pöttsching,"7033 Pöttsching, Kinderdorfstraße",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: Diplom Sozialpädagogin Teil 3,1733.1,A,Arbeitsmarktservice Burgenland
Kinderdorf Pöttsching,"7033 Pöttsching, Kinderdorfstraße",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: Sozialpädagogische Fachbetreuung Teil 1,1604.16,A,Arbeitsmarktservice Burgenland
Kinderdorf Pöttsching,"7033 Pöttsching, Kinderdorfstraße 1",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: Sozialpädagogische Fachbetreuung Teil 2,1020.84,A,Arbeitsmarktservice Burgenland
Kinderdorf Pöttsching,"7033 Pöttsching, Kinderdorfstraße 1",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: Diplomsozialpädagogin,613.84,A,Arbeitsmarktservice Burgenland
Kinderdorf Pöttsching,"7033 Pöttsching, Kinderdorfstraße 1",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: Diplomsozialpädagogin Teil 2,1739.23,A,Arbeitsmarktservice Burgenland
Kinderdorf Pöttsching,"7033 Pöttsching, Kinderdorfstraße 1",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: Diplomsozialpädagoge,1636.92,A,Arbeitsmarktservice Burgenland
Kinderhotel SEMI GmbH,"7361 Lutzmannsburg, Thermenplatz 3","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften",Ausbildung in Kinesiologie - Touch for Health Modul 1-5,1162.5,A,Wirtschaft Burgenland GmbH
Kinzel Norbert,"7123 Mönchhof, Josef Haydngasse 15","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften",Adobe Photoshop,273.75,A,Wirtschaft Burgenland GmbH
KIRISITS Dr. Eva Maria,"7400 Oberwart, Linkes Pinkaufer 12",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: Die professionelle Arztassistentin,795.07,A,Arbeitsmarktservice Burgenland
KIRISITS Dr. Hans,"7400 Oberwart, Linkes Pinkaufer",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: Lehrgang staatlich geprüfte Ordinationsgehilfin,644,A,Arbeitsmarktservice Burgenland
Kirnbauer Peter,"7301 Deutschkreutz, Bahngasse 2","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften",Energieausweis für Wohngebäude,435,A,Wirtschaft Burgenland GmbH
KIRNBAUER Sandra,"7471 Rechnitz, Hauptplatz 25",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: Trendhaarschnitte und Hochsteckfrisuren,227.5,A,Arbeitsmarktservice Burgenland
Kirschner & Zechmeister GmbH,"7123 Mönchhof, Bahngasse 69","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften","Vorbereitungskurs auf die Befähigungsprüfung für das Baumeistergewerbe, Modul 2+3",2835,A,Wirtschaft Burgenland GmbH
Kirschner & Zechmeister GmbH.,"7123 Mönchhof, Bahngasse 69",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Fahrerqualifikationen,1831.9,A,Arbeitsmarktservice Burgenland
Kirschner & Zechmeister GmbH.,"7123 Mönchhof, Bahngasse 69",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Fahrerqualifikation,339.5,A,Arbeitsmarktservice Burgenland
Kirschner & Zechmeister GmbH.,"7123 Mönchhof, Bahngasse 69",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Fahrerqualifikationen,1294.4,A,Arbeitsmarktservice Burgenland
Kirschner & Zechmeister GmbH.,"7123 Mönchhof, Bahngasse 69",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Fahrerqualifikation,1271.5,A,Arbeitsmarktservice Burgenland
Kirschner & Zechmeister GmbH.,"7123 Mönchhof, Bahngasse 69",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Fahrerqualifikation,1159.6,A,Arbeitsmarktservice Burgenland
Kiss Alfred,"7311 Neckenmarkt, Wirtschaftspark 4",Qualifizierungsförderung für Beschäftigte in Kurzarbeit,Qualifizierungsförderung für Beschäftigte in Kurzarbeit: Staplerführer mit Fahrgenehmigungsprüfung,315,A,Arbeitsmarktservice Burgenland
Kiss Alfred,"7311 Neckenmarkt, Wirtschaftspark 4",Qualifizierungsförderung für Beschäftigte in Kurzarbeit,Qualifizierungsförderung für Beschäftigte in Kurzarbeit: WIG Schweißen 1 Grundausbildung,735,A,Arbeitsmarktservice Burgenland
Kiss Irene,"7093 Jois, Untere Weinberggasse 7","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften",Ausbildung zum diplomierten Freizeit- und Outdoor-Guide,1650,A,Wirtschaft Burgenland GmbH
Kiss Wolfgang,"7212 Forchtenstein, Mida Huber-Straße 3","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften",Diplomlehrgang - Train the Trainer,993.75,A,Wirtschaft Burgenland GmbH
Kitzwögerer GmbH,"7343 Neutal, Industriegelände 4","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften",Vorbereitungslehrgang auf die Personalverrechner-Prüfung,967.5,A,Wirtschaft Burgenland GmbH
Klee Christoph,"7000 Eisenstadt, Fanny- Elßler-Gasse 6",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: Makeup Artist,2349.13,A,Arbeitsmarktservice Burgenland
Klee Christoph,"7000 Eisenstadt, Fanny- Elßler-Gasse 6",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: Einfach schnittig,578.36,A,Arbeitsmarktservice Burgenland
Klee Christoph,"7000 Eisenstadt, Fanny- Elßler-Gasse 6",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: Head Work,669.36,A,Arbeitsmarktservice Burgenland
KLEE Robert The Concept of Beauty,"7000 Eisenstadt, Reichlgasse 12",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: Emotionale Intelligenz,1736.7,A,Arbeitsmarktservice Burgenland
Kleinrath Erich,"7453 Steinberg, Fasangasse 6","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften",Unternehmertraining,870,A,Wirtschaft Burgenland GmbH
KLEINRATH Josef,"7312 Horitschon, Hauptstraße 70",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: Dellen und Klebekurs,1021.95,A,Arbeitsmarktservice Burgenland
KLEINRATH Josef,"7312 Horitschon, Hauptstraße 70",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: STO 1-3,4025.04,A,Arbeitsmarktservice Burgenland
Klepits Walter,"7400 Oberwart, Rechte Bachgasse 37 a","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften",Weiterbildung für LKW Lenker/innen Modul 1-5,367.5,A,Wirtschaft Burgenland GmbH
Klikovics Eva Christina,"7011 Siegendorf im Burgenland, Flurgasse 4","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften",Diplomlehrgang zum/r ganzheitlichen EnergetikerIn,2406.25,A,Wirtschaft Burgenland GmbH
Klikovits René,"7212 Forchtenstein, Stauseestraße 46","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften",Unternehmertraining,870,A,Wirtschaft Burgenland GmbH
Klikovits Werner Alten- Wohn- und Pflegeheim,"7011 Zagersdorf, Waldgasse 1",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Modul 1 Führungskräftetraining,513.91,A,Arbeitsmarktservice Burgenland
Klikovits Werner Alten- Wohn- und Pflegeheim,"7011 Zagersdorf, Waldgasse 1",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Führungskräftetraining Modul 2,513.91,A,Arbeitsmarktservice Burgenland
Klikovits Werner Alten- Wohn- und Pflegeheim,"7011 Zagersdorf, Waldgasse 1",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,"Qualifizierungsförderung für Beschäftigte: Krankheit, Sterben, Tod und Trauer",921.7,A,Arbeitsmarktservice Burgenland
Klikovits Werner Alten- Wohn- und Pflegeheim,"7011 Zagersdorf, Waldgasse 1",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Hebe- und Lagerungstechnik,472.83,A,Arbeitsmarktservice Burgenland
Klikovits Werner Alten- Wohn- und Pflegeheim,"7011 Zagersdorf, Waldgasse 1",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Führungskräftetraining III,488.91,A,Arbeitsmarktservice Burgenland
Klikovits Werner Alten- Wohn- und Pflegeheim,"7011 Zagersdorf, Waldgasse 1",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Kinästhetik Grundkurs,826.24,A,Arbeitsmarktservice Burgenland
Klikovits Werner Alten- Wohn- und Pflegeheim,"7011 Zagersdorf, Waldgasse 1",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Kinästhetik Aufbaukurs,442.5,A,Arbeitsmarktservice Burgenland
Klikovits Werner Alten- Wohn- und Pflegeheim,"7011 Zagersdorf, Waldgasse 1",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Validation,150.5,A,Arbeitsmarktservice Burgenland
Klikovits Werner Alten- Wohn- und Pflegeheim,"7011 Zagersdorf, Waldgasse 1",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Diagnose Schmerz - Ursachen und Therapie,266,A,Arbeitsmarktservice Burgenland
Klikovits Werner Alten- Wohn- und Pflegeheim,"7011 Zagersdorf, Waldgasse 1",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Kinästhetik Aufbaukurs,413,A,Arbeitsmarktservice Burgenland
Klikovits Werner Alten- Wohn- und Pflegeheim,"7011 Zagersdorf, Waldgasse 1",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Umgang mit Sterbenden und Ihren Angehörigen,115.5,A,Arbeitsmarktservice Burgenland
