beneficiary_id,query_country_code,query_country,query_type,query_state,query_region,query_county,query_city,query_postal_code,query_address,result_country,result_region,result_county,result_city,result_postal_code,result_street,result_number,result_full_address,result_lat,result_long,geocoded,lau
stredna zdravotnicka skola sv. bazi,SK,Slovakia,project,,,,,,,Slovakia,Prešovský kraj,Prešov,,080 01,Kmeťovo stromoradie,1,"Kmeťovo stromoradie 1, 080 01 Prešov, Slovakia",48.9967633,21.245574,True,524140
"strojarne sk, s.r.o.",SK,Slovakia,project,,,,,,,Slovakia,Prešovský kraj,Bardejov,Kružlov,086 04,,,"Kružlov 177, 086 04 Kružlov, Slovakia",49.318372,21.1349522,True,519421
strojcad,SK,Slovakia,project,,,,,,,Slovakia,Košický kraj,Michalovce,,071 01,Lastomírska,2,"Lastomírska 835/2, 071 01 Michalovce, Slovakia",48.7404299,21.924696,True,522279
"strojlab, s.r.o.",SK,Slovakia,project,,,,,,,Slovakia,Prešovský kraj,Medzilaborce,,068 01,Čsl.Armády,7,"Čsl.Armády 140/7, 068 01 Medzilaborce, Slovakia",49.26584880000001,21.9042626,True,520471
strom zivota,SK,Slovakia,project,,,,,,,Slovakia,Bratislavský kraj,Bratislava I,,811 05,Jelenia,7,"Jelenia 3141/7, 811 05 Bratislava, Slovakia",48.15686789999999,17.1109378,True,528595
"stroptel, s.r.o.",SK,Slovakia,project,,,,,,,Slovakia,Prešovský kraj,Stropkov,,091 01,Ciolkovského,1,"Ciolkovského 1270/1, 091 01 Stropkov, Slovakia",49.1936995,21.6563989,True,527840
stylos - interier s. r. o.,SK,Slovakia,project,,,,,,,Slovakia,Bratislavský kraj,Bratislava II,,821 02,Sabinovská,10,"Sabinovská 62/10, 821 02 Bratislava, Slovakia",48.1614117,17.1474969,True,529320
sucharda s.r.o.,SK,Slovakia,project,,,,,,,Slovakia,Nitriansky kraj,Nové Zámky,,940 51,Nitrianska cesta,13,"Nitrianska cesta 840/13, 940 51 Nové Zámky, Slovakia",47.99128229999999,18.1586131,True,503011
sukromna hotel. akademia.,SK,Slovakia,project,,,,,,,Slovakia,Bratislavský kraj,Bratislava II,,821 06,Biskupická,21,"Biskupická 21, 821 06 Bratislava, Slovakia",48.1269528,17.2091015,True,529311
sukromna pedagogicka a socialna akademia,SK,Slovakia,project,,,,,,,Slovakia,Košický kraj,Košice IV,,040 01,Požiarnická,1,"Požiarnická 1496/1, 040 01 Košice, Slovakia",48.7131394,21.26243059999999,True,599824
"sukromna skolska jedalen, n.o.",SK,Slovakia,project,,,,,,,Slovakia,Prešovský kraj,Prešov,,080 01,Mirka Nešpora,2,"Mirka Nešpora 4887/2, 080 01 Prešov, Slovakia",49.0145013,21.2212128,True,524140
sukromna stredna odborna skola ,SK,Slovakia,project,,,,,,,Slovakia,Bratislavský kraj,Bratislava V,,851 01,Vranovská,2708/4,"Vranovská 2708/4, 851 01 Petržalka, Slovakia",48.12458350000001,17.091921,True,529460
sukromna stredna odborna skola sez kromp,SK,Slovakia,project,,,,,,,Slovakia,Košický kraj,Spišská Nová Ves,,053 42,Maurerova,55,"Maurerova 1139/55, 053 42 Krompachy, Slovakia",48.9129094,20.8800913,True,543268
sukromna stredna odborna skola technicka,SK,Slovakia,project,,,,,,,Slovakia,Banskobystrický kraj,Žiar nad Hronom,,965 01,Doktor Janského,10,"Doktor Janského 906/10, 965 01 Žiar nad Hronom, Slovakia",48.59299719999999,18.8460327,True,516589
sukromne gymnazium esprit,SK,Slovakia,project,,,,,,,Slovakia,Bratislavský kraj,Bratislava IV,,841 05,Majerníkova,62,"Majerníkova 3101/62, 841 05 Karlova Ves, Slovakia",48.155026,17.0469413,True,529397
