"query_country_code","nuts3_code","sum"
RO,RO225,287731165
PT,PT11E,287597743
LT,LT001,284621383
SI,SI024,284590772
RO,RO112,281068523
IT,ITG18,278074763
UK,UKD72,277697898
UK,UKI12,276841835
DE,DED2C,276720989
DE,DED45,274879290
GR,EL307,273226137
LT,LT005,270618061
GR,EL434,270172870
FI,FI1D7,267102221
UK,UKN01,261898331
FI,FI1D3,259732417
RO,RO124,258994616
GR,EL515,256979154
FR,FR813,251460659
DE,DED42,250976683
PT,PT11B,250375915
LT,LT009,248528352
RO,RO413,248315091
UK,UKF14,244538939
GR,EL302,244074292
RO,RO312,243617572
IT,ITH55,243243924
RO,RO115,243164312
BG,BG423,242617605
RO,RO412,240707939
BG,BG422,238917680
UK,UKL18,238610061
GR,EL433,236929740
GR,EL532,236516266
GR,EL642,235211279
UK,UKL14,231861488
LT,LT004,228993530
ES,ES708,226696194
BG,BG321,225872943
DE,DEA2D,225462161
FR,FR724,225454657
IT,ITG25,224870590
BG,BG342,223126835
DE,DE600,221473301
DE,DEE02,220414666
BG,BG413,219740108
NL,NL310,219552484
NL,NL332,218627635
LT,LT008,217542228
FI,FI1D1,217484799
ES,ES513,216917128
RO,RO317,214098517
DE,DE714,212101408
IT,ITC33,212040235
IT,ITI21,211824161
AT,AT312,210196589
NL,NL326,208634915
FR,FR824,207965871
DE,DED2D,207466788
FI,FI1B1,205893152
UK,UKG31,203112030
UK,UKE32,202731680
PT,PT16H,202405739
GR,EL422,201536894
DE,DEG0F,201121671
IT,ITH35,197934538
BG,BG314,197910315
GR,EL641,197632810
FR,FR413,197387701
DE,DE404,195271823
GR,EL514,193667163
GR,EL633,192873997
FR,FR106,192165090
LT,LT007,192096310
IE,IE021,188192443
UK,UKL22,187222704
DE,DE932,187140063
BG,BG323,186991800
GR,EL645,186535657
ES,ES414,185150028
BG,BG343,184902140
DE,DEA23,184615187
ES,ES419,184176766
ES,ES411,183266231
DE,DED2E,182602987
ES,ES211,180831367
FR,FR251,179880081
FR,FR523,179593030
DE,DE804,179266649
FR,FR714,178174407
DE,DEG02,176489426
FR,FR411,174927687
UK,UKE31,174906233
RO,RO314,174132959
IT,ITG16,173913037
UK,UKL15,173419042
UK,UKL17,173119691
DE,DE935,172058379
DE,DE403,171229884
ES,ES416,170598543
GR,EL304,170271479
BG,BG322,170141218
AT,AT221,169520319
IT,ITF52,169493050
GR,EL533,169094256
FR,FR421,168716719
GR,EL521,167883645
RO,RO116,164743468
FI,FI193,164605422
ES,ES230,164083343
DE,DE406,163983262
FI,FI197,162699214
UK,UKL16,161628127
DE,DEG0B,161499868
DE,DED52,160813655
BG,BG333,159197412
DE,DEF03,155849724
BG,BG313,155625449
UK,UKN02,153460481
FR,FR223,152384813
DE,DEG05,152239194
SI,SI013,151637925
DE,DEA13,151420576
FR,FR512,151359321
FR,FR522,151254138
SE,SE331,150628652
DE,DE402,148879827
DE,DE929,148102305
DE,DEG06,147300351
DE,DEE09,146412307
UK,UKN03,145387092
DE,DEA52,145228899
GR,EL526,144864303
DE,DED2F,144731292
DE,DE40A,142206506
GR,EL306,142080569
GR,EL512,142011717
DE,DEF02,141948042
ES,ES704,139919964
BG,BG315,139689640
BG,BG425,139073725
UK,UKM25,136579579
FR,FR615,135971653
FI,FI1D4,135953695
ES,ES241,135523973
FR,FR431,135268738
GR,EL432,134324614
DE,DEE0C,134157435
BG,BG332,133505331
IT,ITG26,133435674
AT,AT211,131591713
FI,FI1C1,131576265
FR,FR532,131169245
GR,EL622,129873278
FR,FR633,129655038
SE,SE332,129077379
DE,DEC01,127740961
SI,SI018,127337822
IT,ITF22,126017844
DE,DE271,125791404
FR,FR246,125561499
DE,DEG0C,125036837
FR,FR812,124321833
UK,UKH12,123145699
UK,UKC21,121865792
SI,SI016,121457672
DE,DEA22,121280300
DK,DK50,121088808
IT,ITH36,120705407
UK,UKE44,120269097
BG,BG312,119280552
DE,DEE08,119120511
FR,FR534,119064641
IT,ITI17,118945246
SE,SE321,118364479
UK,UKL12,118354021
FR,FR422,117868076
FI,FI196,117302898
DE,DE40C,116352559
ES,ES707,115963745
BE,BE332,115254434
GR,EL413,114700029
UK,UKC22,114444300
BG,BG424,113990493
FR,FR222,113409717
UK,UKN05,113396048
DE,DE731,112093954
BG,BG414,112067299
BG,BG324,111859591
ES,ES630,111599476
UK,UKL23,111063304
RO,RO315,110975868
DE,DED53,110749272
DE,DEA51,110684307
GR,EL542,110269866
IE,IE025,109828314
FR,FR252,109691314
IT,ITH32,109527900
FR,FR213,109277032
DE,DEE05,109120589
GR,EL524,108439295
UK,UKN04,108369209
DE,DE809,108160769
IT,ITH31,108041840
IT,ITC16,107566116
DE,DE939,105913101
DE,DE40E,105513539
IT,ITH20,105502734
DE,DEE0B,105432589
SE,SE232,105416122
IT,ITH42,104979347
IT,ITF11,104908895
BG,BG415,104736589
IT,ITI32,104601196
SE,SE224,104518641
NL,NL113,104154202
GR,EL523,103981327
ES,ES417,103945629
ES,ES640,103745367
AT,AT122,103459730
IT,ITG28,103205082
UK,UKD43,103073742
FR,FR831,102433994
DE,DE80A,102072595
UK,UKM34,101764221
BE,BE322,101434317
DE,DE713,101343702
DE,DEA12,100699964
FR,FR524,99519273
NL,NL226,99152507
IT,ITI44,97863216
BE,BE323,97019841
DE,DEA33,96594806
DE,DE40H,96377743
DE,DE405,96005863
FR,FR221,95620532
UK,UKD61,95495643
IT,ITH10,95403043
FR,FR263,95261382
BG,BG325,94952202
UK,UKL13,94107720
UK,UKE42,93956132
DE,DEG09,93861325
DE,DEG0P,93390840
FR,FR231,92616883
BG,BG334,91281774
AT,AT332,91229453
DE,DE801,91023005
DE,DEG0I,90919006
DE,DE232,90483464
GR,EL621,90280311
FI,FI1C3,90108919
FR,FR514,88202319
UK,UKL21,88157718
FR,FR103,88029565
FR,FR832,87490684
FR,FR261,87337607
DE,DE409,86628838
GR,EL624,86523379
IT,ITH34,86330814
FR,FR244,86245470
HR,HR04E,86215276
HR,HR036,84548699
FR,FR715,84517024
HR,HR041,84066216
FI,FI1C4,83753543
FI,FI194,83705811
IT,ITI45,83253341
DE,DE40D,82797261
SE,SE322,82717926
DE,DEE0A,81850798
SE,SE311,81028993
DE,DE80B,80882204
DE,DE40B,80763825
DE,DEA26,80680362
FR,FR611,80602778
NL,NL339,80586684
DE,DE802,80316366
IE,IE013,80236761
BG,BG311,79642906
HR,HR04B,79555661
ES,ES242,79540185
FR,FR718,79495956
IT,ITG29,79199605
DE,DE80F,79031051
FR,FR613,78629913
SI,SI015,78593410
FR,FR713,78415172
HR,HR04A,78323988
DE,DEF08,77594048
AT,AT127,77106530
SE,SE312,76970037
IT,ITG2C,76880748
DE,DEE07,76837297
IT,ITC47,76239058
UK,UKM62,75750238
DE,DE80E,75637434
DE,DE408,75392860
FR,FR211,75248386
DE,DE502,74904049
AT,AT224,74613896
DE,DE401,74263135
GR,EL412,74161659
IT,ITI18,74016391
UK,UKI23,73980652
DE,DEA36,73441017
DE,DE222,72871239
FR,FR627,72565709
FR,FR717,72246711
AT,AT342,71680624
DE,DE111,71433456
IT,ITI12,70976229
IT,ITI16,70673360
IT,ITI22,69968742
FR,FR533,69842360
DK,DK011,69410088
UK,UKF21,69353142
FR,FR107,69126511
DE,DEG07,69117593
FR,FR823,69000430
DE,DE937,68970296
DE,DEG0L,68724527
FR,FR515,68406649
DE,DE934,68176778
DE,DEE0E,68036442
FR,FR711,68030193
HR,HR04C,67989104
FI,FI1D5,67832234
HR,HR031,67292681
IT,ITI19,67176492
UK,UKH23,67142281
FR,FR104,66839447
AT,AT311,66023794
IT,ITF14,65876285
NL,NL221,65814898
DK,DK042,65621389
FR,FR811,65461320
DE,DEG0K,65234724
DE,DEE0D,64861553
AT,AT323,64796703
IT,ITC46,64769036
FR,FR212,64555841
FR,FR721,64527936
DE,DE40I,64434725
DE,DE40F,64239044
IT,ITC20,63865855
IT,ITF13,62470313
DE,DEG0M,62156992
FR,FR614,61923098
IT,ITC18,61849207
IT,ITF21,61847987
DE,DE931,61831978
AT,AT123,61353616
AT,AT225,61337508
DE,DEE04,61299147
NL,NL213,61081092
AT,AT124,61059426
UK,UKJ24,60993478
FR,FR626,60270663
FR,FR815,60058473
ES,ES531,59998603
DE,DEE01,59983522
DE,DEG0H,59802564
DE,DEF07,59764543
DE,DE806,59760934
FI,FI1C5,59743797
UK,UKD32,59722209
DK,DK032,59501960
DE,DE80C,59002853
DE,DEG0A,58757951
DE,DEF05,58700528
AT,AT213,58589716
FI,FI195,58508790
FR,FR712,58164752
DE,DEA58,58135823
FR,FR531,58007474
DE,DE254,57993126
UK,UKC14,57893558
SE,SE313,57237558
FR,FR262,57187500
IT,ITI41,56719955
FR,FR631,55829961
DE,DE80H,55635071
UK,UKI21,55389648
IT,ITC32,55276647
AT,AT121,55001438
AT,AT126,54787623
FR,FR105,54566832
DE,DEF01,54476107
DE,DE93B,54374611
IT,ITF12,54234995
IT,ITH44,54181326
IE,IE023,53964513
MT,MT002,53938869
DE,DE721,53859526
DE,DEF0B,53815392
IT,ITI13,53440910
UK,UKI22,53411191
DE,DE242,53394782
IT,ITC34,53364883
FR,FR622,53093459
DE,DEF0C,52788864
DE,DEG0N,52628919
FI,FI1C2,52502579
UK,UKJ42,52399715
IT,ITI1A,52363666
FR,FR264,52253173
IT,ITG2B,52073006
IT,ITI15,51822780
BE,BE211,51480294
DK,DK031,51348102
FR,FR826,51193239
FR,FR521,51163773
FR,FR214,50718520
IT,ITH54,50576715
DE,DEG0E,50575370
FR,FR108,50429060
FR,FR242,50421619
DE,DEA41,50204714
NL,NL230,49948188
FR,FR241,49608302
AT,AT223,49560092
FR,FR414,49448233
FR,FR432,49428964
IT,ITC4D,49384332
IT,ITC15,48848597
DE,DE938,48719734
NL,NL338,48491633
UK,UKM63,48484291
BE,BE327,48261744
IT,ITI31,48172231
IT,ITC41,47948358
ES,ES533,47938749
DE,DE807,47922220
IE,IE024,47822984
DE,DEE06,47680053
IT,ITH41,47261946
DE,DE711,47164559
GR,ELZZZ,47086474
FR,FR723,47014016
DE,DE252,46947834
FR,FR434,46873952
DE,DE113,46713762
DE,DEG0G,46597164
UK,UKE22,46448152
UK,UKE11,46389817
BE,BE352,46095591
DE,DE933,46080414
DE,DE263,46001473
FR,FR513,45973999
UK,UKE41,45804766
DE,DEG04,45711526
DE,DEA32,45149207
DE,DEG0J,44868857
IT,ITH53,44492543
IT,ITI11,44489860
DE,DE23A,44396601
UK,UKG39,44182480
DE,DEF0D,44136605
DE,DEA59,43966231
DE,DE80D,43790654
IT,ITI33,43766250
UK,UKM32,43586479
DE,DE805,43505899
FR,FR621,43283395
DE,DEF0E,43270051
FR,FR102,43003929
FR,FR628,42926433
FR,FR245,42605233
NL,NL423,41902209
DE,DEG0D,41830832
DE,DEA1A,41509920
DE,DEA28,41349751
SE,SE110,40967516
DE,DE40G,40915571
DE,DE407,40897953
FR,FR253,40504301
UK,UKF11,40500157
FR,FR625,40282332
DE,DE93A,40173986
DE,DE80G,40159780
DE,DEF09,40028969
DE,DE936,39888848
IE,IE022,39751641
FR,FR722,39731208
UK,UKL24,39597819
BE,BE325,39276034
DE,DEA47,39206237
HR,HR046,39100934
BE,BE310,38908555
DE,DEA15,38817394
BE,BE234,38680802
DE,DEA46,38534202
UK,UKL11,38212547
DE,DE235,37967959
NL,NL121,37839894
DK,DK022,37694146
UK,UKG23,37446295
FR,FR825,37323560
AT,AT125,37281604
UK,UKF12,37100268
IT,ITG2A,37036460
UK,UKD71,36452471
IT,ITC31,36410453
DE,DEA1F,36353931
DE,DE911,36254399
AT,AT315,36092083
DE,DEA5C,35779396
DE,DE808,35645089
DE,DE724,35210554
IT,ITC42,35203612
AT,AT314,35101629
IT,ITH51,35097708
DK,DK021,34957373
UK,UKH33,34892005
UK,UKK15,34662439
DE,DEA2C,34580733
FR,FR433,34447015
DE,DEA54,34177537
IT,ITC12,34115580
UK,UKJ11,34033103
FR,FR624,33948822
DE,DEA17,33936611
UK,UKM50,33858104
FR,FR243,33818184
DE,DEA1C,33796594
BE,BE221,33632260
UK,UKF22,33582441
IT,ITH37,33574491
HR,HR042,33332319
IT,ITC13,33274959
NL,NL333,33243296
UK,UKE21,33055825
DE,DE239,32921027
UK,UKF30,32668051
AT,AT333,32614872
DE,DE719,32566618
IT,ITH57,32554026
IT,ITC17,32499110
IT,ITH59,32392968
FR,FR632,32227269
DE,DEA57,32226709
HR,HR034,31970261
DE,DEB32,31947487
DE,DEA27,31881143
NL,NL132,31814343
DE,DE80I,31614897
DE,DE735,31184740
DE,DEF06,30983943
NL,NL131,30664520
UK,UKD12,30581253
IE,IE011,30503542
UK,UKG32,30450521
IT,ITI34,30267868
IT,ITH58,29980091
DE,DE21N,29812750
DE,DEB35,29663218
DE,DEA5B,29642119
IT,ITH52,29522135
DE,DEF04,29396098
UK,UKK12,29292233
DE,DEA16,29267605
FR,FR412,29095782
IT,ITI42,28995873
IT,ITH33,28864841
IT,ITC48,28762689
AT,AT335,28660097
DE,DE224,28511289
UK,UKD74,28444591
ES,ES706,28364354
AT,AT212,27810666
DE,DEA56,27555371
DE,DE228,27475318
UK,UKJ14,27124023
BE,BE335,27073639
NL,NL337,27031714
UK,UKK11,27010489
DE,DE732,27006680
UK,UKG24,26954823
UK,UKJ23,26946745
DE,DE71E,26764171
IT,ITC4B,26759575
UK,UKH13,26641750
UK,UKE12,26608142
DE,DE134,26595181
IT,ITC4A,26358790
DE,DEC04,26326420
AT,AT313,26198468
HR,HR035,26154172
DE,DEF0F,26105932
DE,DEA2A,25783599
UK,UKF15,25492648
DE,DE213,25076593
DE,DE237,24827565
DE,DEA37,24697984
DE,DEA14,24674906
NL,NL33A,24452056
UK,UKD62,24427115
FR,FR822,24343955
DE,DE722,24271867
DE,DE734,24064479
AT,AT226,23941960
NL,NL413,23868797
IT,ITC14,23761846
AT,AT322,23735384
LU,LU000,23622777
SE,SE213,23509088
BE,BE241,23502665
UK,UKG38,23360910
DE,DEA5A,23319879
UK,UKM22,23292461
IT,ITH56,23130528
NL,NL411,23037073
DE,DEA45,22999759
DE,DE736,22987863
NL,NL211,22981851
DE,DE717,22786193
DE,DE11D,22525564
IT,ITI35,22454490
DE,DE114,22408330
UK,UKG37,22398468
UK,UKE13,22086568
UK,UKG36,22040341
DE,DE737,21980474
NL,NL225,21727658
IE,IE012,21683527
GR,EL643,21265631
NL,NL414,21252840
AT,AT222,21080165
DE,DE71A,20991376
AT,AT341,20925465
SE,SE123,20646916
DE,DEA34,20529810
NL,NL342,20521757
UK,UKM33,20471003
DE,DE241,20378437
SE,SE124,20255951
DE,DE229,20245109
DE,DE231,20142100
DE,DE244,20008048
DK,DK041,19903780
SE,SE212,19803115
UK,UKM36,19709658
BE,BE326,19698992
DE,DEA31,19685362
FR,FR814,19670211
DE,DE141,19279256
DE,DE733,19017456
FR,FR821,18957520
DE,DEF0A,18948931
DE,DE71C,18898309
DE,DE122,18836389
DE,DE24D,18795074
DE,DEA1D,18650886
NL,NL421,18550646
SE,SE211,18547327
DE,DE918,18538660
UK,UKD63,18521984
DE,DE71D,18367239
DE,DE24B,18235479
SE,SE221,18233283
DE,DE225,18220273
DE,DEB1B,18173852
HR,HR033,18162016
UK,UKD42,18062777
DE,DE221,18037052
UK,UKK41,17916492
BE,BE242,17916486
IT,ITC43,17892725
DE,DE265,17835762
DE,DE94B,17737967
UK,UKM21,17598057
UK,UKC23,17565114
BE,BE344,17529085
UK,UKE45,17513085
DE,DE24A,17414482
DE,DE126,17167138
IT,ITH43,16840533
DE,DE131,16833608
SE,SE125,16822703
ES,ES703,16736227
DE,DEA38,16715782
UK,UKM38,16703823
DE,DE129,16680033
DE,DEB13,16527192
AT,AT334,16447685
HR,HR032,16430646
DE,DEB34,16377486
DE,DE123,16272003
DE,DE256,16254273
HR,HR044,16156644
UK,UKK43,16089506
UK,UKJ33,16021241
DK,DK014,15893105
DE,DEC05,15744724
DE,DE21H,15615347
HR,HR04D,15610973
DE,DEC03,15604962
DE,DE925,15574896
DE,DE715,15485887
BE,BE351,15465854
DE,DE725,15416285
DE,DE723,15367275
SE,SE231,15367089
UK,UKM61,15344567
HR,HR048,15151217
DE,DE276,15116046
IT,ITC49,15061450
DE,DEC02,14893012
UK,UKM35,14652914
DE,DE117,14592869
SE,SE122,14455892
UK,UKM27,14433075
BE,BE254,14308403
UK,UKD11,14306688
UK,UKJ22,14187272
UK,UKG12,14127636
DE,DEA42,14089385
UK,UKK23,14011714
DE,DEA55,13969707
DE,DEA2B,13916874
DE,DE115,13844996
DE,DE249,13838722
BE,BE213,13810849
BE,BE341,13783237
DE,DEA19,13676850
DE,DE261,13595040
NL,NL412,13547435
UK,UKH24,13516029
DE,DE279,13326181
DE,DE247,13311402
BE,BE222,13188097
UK,UKD73,13174132
DE,DEA24,13154245
DE,DEB21,13075677
SE,SE121,12951442
HR,HR045,12680447
BE,BE324,12631419
HR,HR047,12616195
BE,BE251,12609572
HR,HR049,12538786
DE,DE253,12265436
NL,NL321,12236268
UK,UKF16,12235323
DE,DE266,12234691
DE,DEB11,12212690
DE,DE136,12149381
UK,UKF13,11999257
AT,AT112,11956067
DE,DE118,11890593
UK,UKF24,11631635
DE,DE916,11610896
DE,DE116,11532052
DE,DE11C,11512320
DE,DEB25,11452664
DE,DEA53,11422646
BE,BE223,11413560
DE,DEC06,11331274
DE,DE245,11252463
DE,DEB18,11237588
DE,DE112,11203648
DE,DE138,11108200
DE,DEA35,10992821
AT,AT113,10957177
UK,UKC11,10882777
DE,DEB17,10765649
DE,DE144,10746959
UK,UKG13,10647799
NL,NL324,10634902
DE,DEA44,10533231
DE,DE223,10516193
DE,DEA1E,10487017
DE,DE273,10482757
DE,DE267,10317480
UK,UKK13,10279653
DE,DE128,10199367
DE,DE143,9927753
HR,HR043,9891548
NL,NL341,9876033
DK,DK013,9812097
UK,UKM28,9762311
DE,DEB19,9649705
NL,NL325,9617575
BE,BE331,9478766
BE,BE212,9470876
DE,DEB22,9413530
DE,DEA18,9412098
DE,DE233,9360460
DE,DEB3G,9292018
DE,DEB1A,9277020
DE,DEA29,9236787
DE,DE139,9087811
UK,UKJ21,9079721
DE,DE718,9059368
DE,DE148,9017865
DE,DE142,9015774
BE,BE256,8934792
UK,UKH14,8897388
DE,DE27D,8882353
UK,UKM65,8874008
IT,ITC44,8829165
NL,NL123,8710931
DE,DE236,8623365
DE,DE21M,8527292
DE,DE22B,8490900
DE,DE21K,8398362
DE,DE269,8313022
UK,UKG21,8304634
DE,DE915,8249353
UK,UKK21,8246271
NL,NL327,8195803
DE,DEB14,8101141
DE,DE22A,8083697
DE,DE137,8079361
DE,DE25B,8009750
SE,SE214,7978797
BE,BE321,7975701
NL,NL322,7955897
NL,NL212,7922887
HR,HR037,7824396
DE,DEB3F,7802851
BE,BE231,7776960
DE,DE149,7647125
DE,DE71B,7638430
UK,UKG22,7461260
DE,DE132,7457303
DE,DEA43,7441543
DE,DEB23,7409865
DE,DE716,7404232
DE,DEB3K,7387823
DE,DE246,7380311
UK,UKC12,7372353
DE,DE12B,7119567
DE,DE26C,7066409
DE,DEB3C,7056234
DE,DEB3J,7048449
DE,DEB15,7040692
DE,DE125,6946307
DE,DE127,6792360
NL,NL133,6746326
DK,DK012,6739824
DE,DE27C,6611670
UK,UKH21,6581907
NL,NL422,6552843
DE,DE214,6543163
DE,DEA1B,6539934
DE,DEB3E,6524621
DE,DE13A,6503420
DE,DE119,6424610
DE,DE243,6305855
DE,DE26B,6236140
UK,UKJ13,6230607
DE,DE914,6222101
DE,DE26A,6196899
DE,DE11A,6158546
NL,NL111,6146497
NL,NL224,6134489
DE,DE22C,6123132
BE,BE343,6112189
DE,DEB36,6094599
DE,DE94E,5994358
BE,BE236,5965082
DE,DEB37,5939408
UK,UKD41,5912899
BE,BE255,5867517
BE,BE353,5864194
DE,DE226,5828749
DE,DE27A,5795958
BE,BE336,5777334
DE,DE21L,5770246
UK,UKH25,5756817
BE,BE334,5681779
DE,DEB3D,5666915
DE,DEB12,5633455
DE,DE251,5611999
UK,UKJ31,5576670
UK,UKM31,5548080
DE,DE268,5391474
DE,DE124,5365361
DE,DE145,5336312
DE,DEB3H,5327152
DE,DE147,5326659
DE,DE94C,5239151
DE,DE133,5204725
DE,DE264,5193611
UK,UKM66,5183068
UK,UKC13,5116240
DE,DE135,4937512
DE,DE211,4932143
