Bénéficiaires,Portefeuilles,Projets,Date de la dernière décision du GW,Coût total décidées,Feder décidées,Part wallonne décidées,Autres décidées,Coût total payées,Feder payées,Part wallonne payées,Autres payées,Date de clôture
SPI,Extension LIEGE science park,Extension LIEGE science park,15/05/2014,"14.273.262,46","5.428.978,11","7.415.984,09","727.483,07","14.034.545,48","5.338.179,70","7.291.953,51","715.316,08",
SPI,GIGA2 BioIndustry Support,ACCUEIL ENTREPRISES,12/06/2014,"4.585.150,00","1.695.588,47","2.431.049,98","112.332,73","4.349.846,88","1.739.938,75","2.174.923,44","434.984,69",
SPI,Requalification des terrains entourant la gare de Bressoux à Liège,Equipement,10/12/2015,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",
SPI,SPI - INTERVAPEUR - ABATTOIR,Equipement,22/10/2015,"1.088.354,71","395.682,24","583.829,14","9.694,21","1.088.354,71","395.682,24","583.829,14","9.694,21",12/11/2014
SPW - DG01,Requalification urbaine de la vallée sérésienne,V5.2 : BVDU - Travaux,19/11/2015,"7.837.784,14","3.135.113,66","4.702.670,48","0,00","7.204.247,72","2.881.699,09","4.322.548,63","0,00",
SPW - DG01,Requalification urbaine de la vallée sérésienne,V8.2 : BVDU derrière les Ateliers centraux-Travaux,19/11/2015,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",
SPW - DG01,"Amélioration de l'accessibilité de la ville de Vielsalm et du pôle d'activité économique ""bois"" luxembourgeois de Burtonville",voirie régionale,08/10/2015,"2.193.303,00","877.321,20","1.315.981,80","0,00","1.920.871,89","768.348,76","1.152.523,13","0,00",
SPW - DG01,Sambreville - Pôle de développement de la Basse- Sambre,Giratoire Sainte-Eugénie,03/12/2015,"873.898,99","349.559,60","524.339,39","0,00","873.898,99","349.559,60","524.339,39","0,00",04/09/2013
SPW - DG02,Plate-forme multimodale de Liège Trilogiport,1 Etude de caractérisation,17/09/2015,"239.923,91","95.969,56","143.954,35","0,00","144.181,34","57.672,54","86.508,80","0,00",
SPW - DG02,Plate-forme multimodale de Liège Trilogiport,12 Acquisition de terrains pour le nouveau pont,17/09/2015,"2.240.500,00","896.200,00","1.344.300,00","0,00","2.240.500,00","896.200,00","1.344.300,00","0,00",18/01/2013
SPW - DG02,Plate-forme multimodale de Liège Trilogiport,13 Voirie de liaison avec le pont - Réalisation,17/09/2015,"4.834.577,28","1.933.830,91","2.900.746,37","0,00","4.621.296,45","1.848.518,58","2.772.777,87","0,00",
SPW - DG02,Plate-forme multimodale de Liège Trilogiport,14 Etude du nouveau pont et de ses raccordements,17/09/2015,"1.706.335,63","682.534,25","1.023.801,38","0,00","1.657.988,72","663.195,50","994.793,22","0,00",
SPW - DG02,Plate-forme multimodale de Liège Trilogiport,15 Réalisation du nouveau pont (et raccordements),17/09/2015,"10.485.761,48","4.194.304,59","6.291.456,89","0,00","10.485.761,48","4.194.304,59","6.291.456,89","0,00",11/12/2014
SPW - DG02,Plate-forme multimodale de Liège Trilogiport,4 Mesures d'accompagnement et d'intégration,17/09/2015,"1.936.066,13","774.426,45","1.161.639,68","0,00","1.411.576,30","564.630,53","846.945,77","0,00",
SPW - DG02,Plate-forme multimodale de Liège Trilogiport,6 Mesures d'accompagnement - Marché de Service,17/09/2015,"954.254,40","381.701,76","572.552,64","0,00","819.177,57","327.671,03","491.506,54","0,00",
SPW - DG02,Plate-forme multimodale de Liège Trilogiport,7b Etude technique des voies ferrées,17/09/2015,"15.421,45","6.168,58","9.252,87","0,00","6.473,88","2.589,55","3.884,33","0,00",07/06/2012
SPW - DG02,Plate-forme multimodale de Liège Trilogiport,9b Installation des voies ferrées,17/09/2015,"568.855,62","227.542,25","341.313,37","0,00","270.354,12","108.141,65","162.212,47","0,00",
SPW - DG02,Sambreville - Pôle de développement de la Basse- Sambre,Equipement de la zone portuaire de Saint-Gobain - Acquisition et infrastructures portuaires,03/12/2015,"3.382.699,31","1.353.079,72","2.029.619,59","0,00","1.324.878,74","529.951,50","794.927,24","0,00",
Ville de Seraing,Requalification urbaine de la vallée sérésienne,V5.1 : BVDU - Etudes et acquisitions,19/11/2015,"1.484.584,82","593.833,93","742.292,41","148.458,48","1.484.584,82","593.833,91","742.292,42","148.458,49",24/06/2015
Ville de Seraing,Requalification urbaine de la vallée sérésienne,V7 : place du parc LD,19/11/2015,"50.426,75","20.170,70","25.213,37","5.042,68","46.385,34","18.554,12","23.192,68","4.638,54",
Ville de Seraing,Requalification urbaine de la vallée sérésienne,V8.1 : BVDU derrière les Ateliers centraux-Etudes,19/11/2015,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",
