Bénéficiaires,Portefeuille,Projets,Date de la dernière décision du GW,Coût total décidées,Feder décidées,Part wallonne décidées,Autres décidées,Coût total payées,Feder payées,Part wallonne payées,Autres payées,Date de clôture
CSTC,SIMBA - Simulation Multi- physique du Bâtiment,CSTC - Recherche,23/04/2009,"117.000,00","46.800,00","40.950,00","29.250,00","54.665,43","21.866,17","19.132,90","13.666,36",
CSTC,SIMBA - Simulation Multi- physique du Bâtiment,CSTC - Valorisation,23/04/2009,"66.000,00","26.400,00","39.600,00","0,00","24.759,76","9.903,90","14.855,86","0,00",
CSTC,"T-REX : pôle Technologique, de REcherche et d'EXpertise en matériaux inorganiques",Recherche en Partenariat - MORECAR,04/02/2016,"546.043,00","185.394,70","223.564,18","136.319,65","505.190,51","171.524,27","206.838,14","126.120,84",
CER,GIGA2 BioIndustry Support,GLYCO-CER,17/12/2015,"789.960,06","315.984,03","276.486,02","197.490,01","789.960,06","315.984,02","276.486,03","197.490,01",30/09/2014
CER,Portefeuille WALEXTRACT,INGRENAT - antimicrobien,18/02/2016,"355.658,85","85.358,12","181.386,00","88.914,73","355.658,85","85.358,11","181.386,01","88.914,73",30/09/2014
CER,Immunomarqueurs,Partenariat entre centres de recherches - Biomarqueurs des infections bactériennes sévères du nourisson,15/05/2008,"120.826,80","37.456,31","53.163,79","30.206,70","119.371,41","37.005,13","52.523,42","29.842,86",
CER,Immunomarqueurs,Partenariat centres de recherche - CMV (biomarqueurs de la transmission mère-enfant du cytomegalovirus),15/05/2008,"119.454,80","37.030,99","52.560,11","29.863,70","112.655,00","34.923,05","49.568,20","28.163,75",
CER,Immunomarqueurs,Partenariat centres de recherche (ThB) - Biomarqueurs des lymphocytes ThB,15/05/2008,"234.381,80","75.002,18","100.784,17","58.595,45","216.045,36","69.134,49","92.899,51","54.011,36",
CEWAC,Implantation d'une Plate-forme MICRO-SOUDAGE en Wallonie,Diffusion et transfert technologique vers entreprises,10/12/2015,"449.266,75","179.706,70","269.560,05","0,00","449.266,75","179.706,70","269.560,05","0,00",23/12/2014
CEWAC,Implantation d'une Plate-forme MICRO-SOUDAGE en Wallonie,"MICROSOUD-Acquisition matériel exceptionnel, création plate-forme technologique et contrôle qualité",10/12/2015,"3.142.111,65","1.256.090,56","1.884.135,82","0,00","3.139.545,15","1.255.064,57","1.882.596,86","0,00",
CEWAC,Implantation d'une Plate-forme MICRO-SOUDAGE en Wallonie,NDT LASER - Recherches collectives sur le process de micro-soudage laser et plasma,10/12/2015,"393.707,25","157.482,90","137.797,54","98.426,81","393.707,25","157.482,88","137.797,54","98.426,83",30/06/2013
CEWAC,Piμi (Plateforme d'Intégration en Microsystèmes Intelligents),MEDIPUMP - Réalisation étude et mise en œuvre de nouvelles gammes de pompes médicales,18/07/2013,"491.557,00","152.382,67","216.285,08","122.889,25","490.208,87","151.964,73","215.691,90","122.552,24",
CEWAC,TipTopLam (Rapid Manufacturing laser de pièces en Titane),FGM (Functionnaly Graded Materials) Non Destruc - Contrôle de qualité interne et de surface par essais non destructifs,13/06/2013,"67.125,00","21.480,00","28.863,75","16.781,25","67.070,75","21.462,64","28.840,42","16.767,69",30/06/2014
CoRI,ClearZinc,ClearZinc_ (CoRI) Coatings Research Institute,08/10/2015,"736.433,00","220.929,90","331.394,85","184.108,25","325.236,96","97.571,07","146.356,64","81.309,25",
CoRI,ClearZinc,ClearZinc_EB,08/10/2015,"255.955,00","102.382,00","153.573,00","0,00","215.327,50","86.131,00","129.196,50","0,00",
CRM,ClearZinc,CASTL - ligne de traitement de surface,08/10/2015,"418.003,00","167.201,20","250.801,80","0,00","396.778,28","158.711,31","238.066,97","0,00",
CRM,ClearZinc,Recherches par le Centre de Recherches Metallurgiques,08/10/2015,"1.777.645,00","533.293,50","799.940,25","444.411,25","1.306.878,23","392.063,45","588.095,20","326.719,58",
CRM,ClearZinc,SEMFEG - microscope électronique,08/10/2015,"863.763,00","345.505,20","518.257,80","0,00","802.339,54","320.935,81","481.403,73","0,00",
CRM,TipTopLam (Rapid Manufacturing laser de pièces en Titane),FGM (Functionnaly Graded Materials) Caract - Caractérisation de métaux non ferreux et compétence au niveau des choix de matériaux,13/06/2013,"141.134,00","45.162,88","60.687,62","35.283,50","87.756,31","28.081,99","37.735,23","21.939,09",
CRM,TipTopLam (Rapid Manufacturing laser de pièces en Titane),Diffusion - Intégration des résultats du projet dans le groupe GoFactoLite,13/06/2013,"108.237,00","43.294,80","64.942,20","0,00","73.097,74","29.239,09","43.858,65","0,00",
Centre spatial de Liège - CSL,TipTopLam (Rapid Manufacturing laser de pièces en Titane),Process control,13/06/2013,"152.411,03","60.964,41","91.446,62","0,00","152.411,03","60.964,41","91.446,62","0,00",28/12/2010
Centre spatial de Liège - CSL,TipTopLam (Rapid Manufacturing laser de pièces en Titane),FGM (Functionnaly Gradent Materials) Process control,13/06/2013,"341.413,32","136.565,33","204.847,99","0,00","338.249,18","135.299,66","202.949,52","0,00",
FUNDP Namur,Les TIC au service des patients,FUNDP/Recherche_eHealth,23/04/2009,"351.559,75","140.623,89","210.935,86","0,00","231.740,34","92.696,13","139.044,21","0,00",
FUNDP Namur,Portefeuille TIC,FUNDP/Recherche_TIC,15/05/2008,"1.183.688,22","473.475,29","710.212,93","0,00","889.805,28","355.922,11","533.883,17","0,00",
IBS - branche Wallonie,Implantation d'une Plate-forme MICRO-SOUDAGE en Wallonie,MICROSOUD- (IBS) Institut Belge de la Soudure Wallonie,10/12/2015,"451.414,86","180.277,04","270.415,56","0,00","451.817,25","180.437,73","270.656,62","0,00",30/06/2013
SIRRIS,CILAB - Composite Innovation Laboratory,Sirris - Recherche,12/07/2012,"665.176,00","266.070,40","232.811,60","166.294,00","560.072,30","224.028,91","196.025,31","140.018,08",
SIRRIS,CILAB - Composite Innovation Laboratory,Sirris - Valorisation,12/07/2012,"43.571,89","17.428,76","26.143,13","0,00","42.685,85","17.074,34","25.611,51","0,00",
SIRRIS,MEDIATIC,OPTIMEDIA,08/11/2012,"196.400,00","78.560,00","117.840,00","0,00","168.991,30","67.596,52","101.394,78","0,00",
SIRRIS,MEDIATIC,Plateforme1_TRANSMEDIA,08/11/2012,"944.475,00","321.121,50","387.234,75","236.118,75","865.684,66","294.332,77","354.930,72","216.421,17",
SIRRIS,"MINATIS - micro et nanofabrication, caractérisation et fiabilité de composants miniaturisés",Recherche et Développement1 : Micro-Manipulation,17/12/2015,"853.018,54","298.556,49","341.207,41","213.254,64","785.826,46","275.039,25","314.330,58","196.456,63",
SIRRIS,Piμi (Plateforme d'Intégration en Microsystèmes Intelligents),MEDIPUMP.SIRRIS,18/07/2013,"455.846,00","141.312,26","200.572,24","113.961,50","313.024,39","97.037,56","137.730,73","78.256,10",
SIRRIS,Piμi (Plateforme d'Intégration en Microsystèmes Intelligents),MIFADEMA,18/07/2013,"1.155.532,78","447.792,06","671.688,09","0,00","1.134.619,43","439.687,72","659.531,58","0,00",
SIRRIS,Piμi (Plateforme d'Intégration en Microsystèmes Intelligents),REMANOS.SIRRIS,18/07/2013,"344.314,00","137.725,60","120.509,90","86.078,50","304.873,46","121.949,36","106.705,72","76.218,38",
SIRRIS,SINUS: Simulation Numérique Haute Performance,Recherche,17/12/2015,"594.400,00","178.320,00","267.480,00","148.600,00","540.283,00","162.084,89","243.127,36","135.070,75",
SIRRIS,TipTopLam (Rapid Manufacturing laser de pièces en Titane),Cladding,13/06/2013,"2.038.861,04","798.417,99","1.197.626,96","0,00","1.976.584,15","774.030,35","1.161.045,52","0,00",
SIRRIS,TipTopLam (Rapid Manufacturing laser de pièces en Titane),FGM (Functionnaly Gradent Materials),13/06/2013,"785.025,00","251.208,00","337.560,75","196.256,25","519.643,64","166.285,96","223.446,77","129.910,91",
SIRRIS,TipTopLam (Rapid Manufacturing laser de pièces en Titane),Diffusion GT,13/06/2013,"213.119,00","85.247,60","127.871,40","0,00","118.423,23","47.369,29","71.053,94","0,00",
SIRRIS,"T-REX : pôle Technologique, de REcherche et d'EXpertise en matériaux inorganiques",Recherche en Partenariat - CERAPIDE,04/02/2016,"606.383,77","206.170,47","248.617,35","151.595,95","482.244,80","163.963,23","197.720,38","120.561,19",
UCL,MEDIATIC,Plateforme 5_3DMEDIA,08/11/2012,"774.820,00","309.928,00","464.892,00","0,00","742.226,27","296.890,50","445.335,77","0,00",
UCL,Les TIC au service des patients,UCL/Recherche_eHealth,23/04/2009,"341.950,20","136.780,08","205.170,12","0,00","309.536,45","123.814,58","185.721,87","0,00",
UCL,"MINATIS - micro et nanofabrication, caractérisation et fiabilité de composants miniaturisés",Equipement-1 : Micro-usinage et structuration RF,17/12/2015,"1.756.199,34","702.479,74","1.053.719,60","0,00","1.746.921,77","698.768,69","1.048.153,08","0,00",
