Bénéficiaires,Date de la demande,Montant total des chèques technologiques,Feder décidées,Part wallonne décidées,Montants cofinancés décidées,Feder payées,Part wallonne payées,Montants cofinancés payées,Date de clôture,project
RFIDEA,10/09/2009,3500,1050,1575,2625,1050,1575,2625,25/07/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
AQUATIC SCIENCE,02/09/2009,1500,450,675,1125,450,675,1125,30/10/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
LAKSA,02/09/2009,2000,600,900,1500,600,900,1500,16/10/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
SLICING PACKING FUN,08/09/2009,7000,2100,3150,5250,2100,3150,5250,15/06/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
KESSLER FRERES,09/09/2009,8000,2400,3600,6000,2400,3600,6000,18/01/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
GLOBAL DESIGN TECHNOLOGY,11/09/2009,7500,2250,3375,5625,2250,3375,5625,22/02/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
Professional Computing Solutions,16/09/2009,6500,1950,2925,4875,1950,2925,4875,05/02/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
Professional Computing Solutions,16/09/2009,8500,2550,3825,6375,2550,3825,6375,19/08/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
BEAL INTERNATIONAL,18/09/2009,19000,5700,8550,14250,5700,8550,14250,03/05/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
DIAGENODE,18/09/2009,15500,4650,6975,11625,4650,6975,11625,22/03/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
UTERON PHARMA,18/09/2009,11500,3450,5175,8625,1350,2025,3375,18/01/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
CARROSSERIE DIVOY MICHAEL,23/10/2009,18000,5400,8100,13500,5400,8100,13500,25/01/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
CONCEPT ET FORME,5/11/2009,2500,750,1125,1875,750,1125,1875,15/06/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
CE+T - CONSTRUCTIONS ELECTRONIQUES + TELECOMMUNICATIONS,22/9/2009,2000,600,900,1500,600,900,1500,09/07/2014,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
CAPTEL,5/10/2009,8000,2400,3600,6000,2400,3600,6000,15/06/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
PLASTIFLAC-LEJEUNE,6/10/2009,8500,2550,3825,6375,2550,3825,6375,15/12/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
NEWMECA,19/10/2009,20000,6000,9000,15000,6000,9000,15000,03/05/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
