Bénéficiaires,Date de la demande,Montant total des chèques technologiques,Feder décidées,Part wallonne décidées,Montants cofinancés décidées,Feder payées,Part wallonne payées,Montants cofinancés payées,Date de clôture,project
RUNLITE,02/03/2012,9000,2700,4050,6750,2700,4050,6750,03/07/2013,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
Grando,28/06/2012,500,150,225,375,150,225,375,30/08/2012,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
Stûv,07/03/2012,8000,2400,3600,6000,2400,3600,6000,5/11/2013,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
ORTIS,12/03/2012,2500,750,1125,1875,750,1125,1875,24/07/2012,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
SOCIETE BELGE DE MATERIAUX COMPOSITES,20/04/2012,5500,1650,2475,4125,1650,2475,4125,08/09/2014,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
FOOD IMPACT,15/03/2012,3000,900,1350,2250,900,1350,2250,07/06/2012,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
4 Mobility Urban Security Traffic (4MUST) ,24/08/2012,500,150,225,375,150,225,375,09/07/2014,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
PSYCHOMED.COM,11/09/2012,4000,1200,1800,3000,1200,1800,3000,19/09/2014,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
MEURENS NATURAL,22/03/2012,2500,750,1125,1875,750,1125,1875,09/05/2012,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
ROSCIC STIPAN,27/03/2012,15000,4500,6750,11250,4500,6750,11250,05/02/2013,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
FLOWTRONIC SA en abrégé FLOW-TRONIC,23/04/2012,3500,1050,1575,2625,1050,1575,2625,30/11/2012,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
FLOWTRONIC SA en abrégé FLOW-TRONIC,23/04/2012,2500,750,1125,1875,750,1125,1875,12/12/2012,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
NEW LACHAUSSEE,02/04/2012,6000,1800,2700,4500,1800,2700,4500,28/06/2012,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
SEREL INDUSTRIE,28/03/2012,10500,3150,4725,7875,3150,4725,7875,20/11/2012,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
S.A. Ets. R. HEINEN N.V.,04/04/2012,16000,4800,7200,12000,4800,7200,12000,21/12/2012,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
Lambiotte et Compagnie,05/04/2012,4500,1350,2025,3375,1350,2025,3375,16/05/2014,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
Insulco,13/04/2012,7500,2250,3375,5625,2250,3375,5625,30/11/2012,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
BATTYBOIS,19/04/2012,3000,900,1350,2250,900,1350,2250,28/05/2014,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
HYMETEC,19/04/2012,8500,2550,3825,6375,2550,3825,6375,12/12/2012,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
UNISENSOR,08/05/2012,11500,3450,5175,8625,3450,5175,8625,5/12/2012,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
DOTHEE,02/05/2012,5000,1500,2250,3750,1500,2250,3750,31/10/2012,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
BE. WAN,31/05/2012,10500,3150,4725,7875,3150,4725,7875,30/08/2012,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
Colin-Desreumaux,15/06/2012,2000,600,900,1500,600,900,1500,22/10/2012,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
FACYBEL,13/06/2012,1500,450,675,1125,450,675,1125,23/08/2012,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
MeterBuy,29/05/2012,16500,4950,7425,12375,4950,7425,12375,23/08/2012,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
ICOMS DETECTIONS,07/06/2012,6000,1800,2700,4500,1800,2700,4500,09/07/2014,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
FIB BELGIUM SA,30/05/2012,12000,3600,5400,9000,3600,5400,9000,22/10/2012,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
Alvénat,17/07/2012,2000,600,900,1500,600,900,1500,30/08/2012,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
KITOZYME,03/09/2012,11500,3450,5175,8625,3450,5175,8625,18/10/2012,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
Franz Jost,19/06/2012,4000,1200,1800,3000,1200,1800,3000,14/07/2014,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
FOOD IMPACT,05/07/2012,13500,4050,6075,10125,4050,6075,10125,12/12/2012,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
HERITAGE 1466,11/06/2012,12500,3750,5625,9375,3750,5625,9375,13/06/2013,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
Advanced Developments in Electronics and Software,12/06/2012,10500,3150,4725,7875,3150,4725,7875,20/11/2012,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
DefIMedia,12/06/2012,4500,1350,2025,3375,1350,2025,3375,19/07/2012,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
HERBALGEM,25/06/2012,4500,1350,2025,3375,1350,2025,3375,30/08/2012,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
HERBALGEM,25/06/2012,1000,300,450,750,300,450,750,23/08/2012,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
ISOMATEX,26/06/2012,2500,750,1125,1875,750,1125,1875,08/03/2013,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
MECHANICAL ENGINEERING,25/06/2012,500,150,225,375,150,225,375,04/07/2014,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
CARDIATIS,21/06/2012,5000,1500,2250,3750,1500,2250,3750,03/09/2013,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
POOL COVER,28/08/2012,1000,300,450,750,300,450,750,04/07/2014,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
ORILAM DESIGN,06/07/2012,1000,300,450,750,300,450,750,04/07/2014,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
GREEN PROPULSION,05/09/2012,1000,300,450,750,300,450,750,04/07/2014,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
Société civile d'architectes helium3 SCRL,21/08/2012,500,150,225,375,150,225,375,19/09/2014,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
SGF DISTRIBUTION,29/06/2012,1000,300,450,750,300,450,750,04/07/2014,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
LESCAV,29/06/2012,500,150,225,375,150,225,375,6/11/2013,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
LESCAV,29/06/2012,1000,300,450,750,300,450,750,6/11/2013,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
LESCAV,31/07/2012,1000,300,450,750,300,450,750,6/11/2013,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
ALAN _ Co,04/07/2012,1500,450,675,1125,450,675,1125,30/04/2013,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
Technique Moderne du Plastic,24/08/2012,5500,1650,2475,4125,1650,2475,4125,16/04/2013,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
LESCAV,31/07/2012,2000,600,900,1500,600,900,1500,6/11/2013,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
LESCAV,31/07/2012,1000,300,450,750,300,450,750,6/11/2013,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
POOL COVER,28/08/2012,500,150,225,375,150,225,375,09/07/2014,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
GRAPHIL,27/08/2012,500,150,225,375,150,225,375,04/07/2014,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
BE FUN,06/09/2012,1000,300,450,750,300,450,750,09/07/2014,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
LESCAV,31/07/2012,1500,450,675,1125,450,675,1125,6/11/2013,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
SYREG,10/09/2012,2000,600,900,1500,600,900,1500,19/09/2014,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
SYREG,10/09/2012,4000,1200,1800,3000,1200,1800,3000,09/07/2014,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
POLYMAR,11/09/2012,1000,300,450,750,300,450,750,08/09/2014,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
POLYMAR,15/11/2012,500,150,225,375,150,225,375,19/09/2014,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
LASERSPEC,17/08/2012,20000,6000,9000,15000,6000,9000,15000,20/12/2012,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
SAGITA,11/09/2012,3500,1050,1575,2625,1050,1575,2625,21/08/2013,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
PAUMELLES LIEGEOISES,17/08/2012,12000,3600,5400,9000,3600,5400,9000,14/07/2014,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
GREEN PROPULSION,05/09/2012,1500,450,675,1125,450,675,1125,09/07/2014,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
GREEN PROPULSION,05/09/2012,1000,300,450,750,300,450,750,27/07/2015,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
GREEN PROPULSION,05/09/2012,500,150,225,375,150,225,375,27/07/2015,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
ARSALIS,21/08/2012,7500,2250,3375,5625,2250,3375,5625,27/07/2015,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
TOOLTECH,12/11/2012,5500,1650,2475,4125,1650,2475,4125,27/07/2015,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
NOMICS,31/07/2012,500,150,225,375,150,225,375,19/09/2014,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
NEOVECTIS,23/07/2012,20000,6000,9000,15000,6000,9000,15000,11/02/2013,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
RESPECT-IT,20/07/2012,13000,3900,5850,9750,3900,5850,9750,14/09/2012,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
PROFISH TECHNOLOGY,10/09/2012,15000,4500,6750,11250,4500,6750,11250,24/09/2013,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
HURBZ,16/11/2012,3500,1050,1575,2625,1050,1575,2625,27/07/2015,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
NANOCYL,10/08/2012,6000,1800,2700,4500,1800,2700,4500,22/10/2012,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
DIAGENODE,18/09/2012,7500,2250,3375,5625,2250,3375,5625,25/01/2013,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
LESCAV,03/09/2012,500,150,225,375,150,225,375,6/11/2013,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
Société civile d'architectes helium3 SCRL,06/09/2012,500,150,225,375,150,225,375,19/09/2014,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
MATHY-BY-BOLS,22/08/2012,10500,3150,4725,7875,3150,4725,7875,11/10/2013,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
Mithra Pharmaceuticals,23/10/2012,1000,300,450,750,300,450,750,19/09/2014,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
Mithra Pharmaceuticals,23/10/2012,500,150,225,375,150,225,375,19/09/2014,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
BiiON,24/08/2012,5500,1650,2475,4125,1650,2475,4125,10/10/2012,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
OTORINO,30/08/2012,1500,450,675,1125,450,675,1125,31/05/2013,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
ICOMS DETECTIONS,29/08/2012,4000,1200,1800,3000,1200,1800,3000,27/07/2015,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
TECONEX sa,18/09/2012,500,150,225,375,150,225,375,09/07/2014,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
DESSERT FACTORY,14/09/2012,3500,1050,1575,2625,1050,1575,2625,18/04/2013,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
ELIACE,10/09/2012,8500,2550,3825,6375,2550,3825,6375,27/07/2015,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
ELIACE,10/09/2012,3500,1050,1575,2625,1050,1575,2625,27/07/2015,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
JASPAR Valves and Maintenance,06/09/2012,4500,1350,2025,3375,1350,2025,3375,10/10/2012,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
S.A. Ets. R. HEINEN N.V.,14/09/2012,4000,1200,1800,3000,1200,1800,3000,25/06/2013,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
LESCAV,17/09/2012,1000,300,450,750,300,450,750,30/05/2013,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
DEFITEC,17/09/2012,13000,3900,5850,9750,3900,5850,9750,31/12/2013,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
FACYBEL,5/10/2012,3000,900,1350,2250,900,1350,2250,5/12/2012,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
TARADON LABORATORY,17/09/2012,13500,4050,6075,10125,4050,6075,10125,20/12/2012,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
MARC LESEUR,28/09/2012,2500,750,1125,1875,750,1125,1875,20/11/2012,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
MEDI - LINE,25/09/2012,20000,6000,9000,15000,6000,9000,15000,21/08/2013,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
DEOM TURBO,1/10/2012,12000,3600,5400,9000,3600,5400,9000,5/11/2013,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
THE GREAT CIRCLE,20/09/2012,20000,6000,9000,15000,3150,4725,7875,13/11/2015,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
3-GSP,26/09/2012,3500,1050,1575,2625,1050,1575,2625,27/03/2013,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
EURO HEAT PIPES,11/10/2012,19000,5700,8550,14250,5700,8550,14250,10/12/2013,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
SYREG,9/11/2012,500,150,225,375,150,225,375,21/05/2013,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
ETABLISSEMENTS PAULY - ANDIANNE,9/11/2012,1000,300,450,750,300,450,750,17/05/2013,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
ETABLISSEMENTS PAULY - ANDIANNE,9/11/2012,1000,300,450,750,300,450,750,17/05/2013,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
Alvénat,12/10/2012,2500,750,1125,1875,750,1125,1875,19/11/2013,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
PLASTIFLAC-LEJEUNE,9/10/2012,9000,2700,4050,6750,2700,4050,6750,20/12/2013,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
RESPECT-IT,1/10/2012,7000,2100,3150,5250,2100,3150,5250,25/01/2013,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
ATELIER DE CONSTRUCTION METALLIQUE,9/10/2012,8500,2550,3825,6375,2550,3825,6375,12/12/2012,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
SYREG,14/11/2012,500,150,225,375,150,225,375,21/05/2013,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
BUREAU D'ETUDES LEMAIRE,16/10/2012,13500,4050,6075,10125,4050,6075,10125,22/02/2013,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
GREENWATT,15/10/2012,13500,4050,6075,10125,4050,6075,10125,25/07/2013,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
Premium Cellulose Insulation Manufacturer,15/10/2012,4000,1200,1800,3000,1200,1800,3000,25/01/2013,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
Mahusaca,19/10/2012,18500,5550,8325,13875,5550,8325,13875,20/12/2012,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
HERBALGEM,25/10/2012,2000,600,900,1500,600,900,1500,08/03/2013,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
LESCAV,18/10/2012,500,150,225,375,150,225,375,30/05/2013,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
ELOY PREFAB,16/11/2012,3000,900,1350,2250,900,1350,2250,14/07/2014,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
POOL COVER,22/10/2012,500,150,225,375,150,225,375,09/07/2014,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
COLASSE SOFTWARE,25/10/2012,9000,2700,4050,6750,2700,4050,6750,18/06/2013,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
COLASSE SOFTWARE,25/10/2012,11000,3300,4950,8250,3300,4950,8250,31/05/2013,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
OVOGENICS,26/10/2012,1000,300,450,750,300,450,750,30/11/2012,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
IsoHemp,13/02/2013,3000,900,1350,2250,900,1350,2250,31/05/2013,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
NANOCYL,26/10/2012,6500,1950,2925,4875,1950,2925,4875,11/02/2013,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
NOMICS,5/11/2012,5000,1500,2250,3750,1500,2250,3750,22/02/2013,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
MEURENS NATURAL,26/10/2012,3000,900,1350,2250,900,1350,2250,31/05/2013,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
MICROMEGA - DYNAMICS,12/11/2012,3000,900,1350,2250,900,1350,2250,31/05/2013,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
HERITAGE 1466,20/12/2012,1500,450,675,1125,450,675,1125,13/06/2013,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
KITOZYME,13/11/2012,1500,450,675,1125,450,675,1125,27/03/2013,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
PROGENOSIS,28/11/2012,20000,6000,9000,15000,6000,9000,15000,20/02/2015,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
OVOGENICS,7/11/2012,4000,1200,1800,3000,1200,1800,3000,05/02/2013,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
PROMETHERA BIOSCIENCES,11/01/2013,20000,6000,9000,15000,6000,9000,15000,14/02/2014,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
FIB BELGIUM SA,21/11/2012,2000,600,900,1500,600,900,1500,20/12/2013,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
VECTURIS,19/11/2012,20000,6000,9000,15000,6000,9000,15000,07/05/2013,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
MARC LESEUR,08/05/2013,8000,2400,3600,6000,2400,3600,6000,03/09/2013,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
LESCAV,22/11/2012,3000,900,1350,2250,900,1350,2250,30/05/2013,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
GREEN PROPULSION,29/05/2013,500,150,225,375,150,225,375,07/09/2015,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
PROSOPON EDITIONS,29/11/2012,20000,6000,9000,15000,6000,9000,15000,03/09/2013,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
ILLUBEL,19/12/2012,10000,3000,4500,7500,3000,4500,7500,31/05/2013,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
LESCAV,7/12/2012,2500,750,1125,1875,750,1125,1875,30/05/2013,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
GARNIMETAL,19/12/2012,10000,3000,4500,7500,3000,4500,7500,08/09/2014,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
ICOMS DETECTIONS,7/12/2012,10000,3000,4500,7500,3000,4500,7500,07/06/2013,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
MATRIO - GROUP,7/12/2012,500,150,225,375,150,225,375,07/05/2013,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
EVOLVE,12/12/2012,20000,6000,9000,15000,6000,9000,15000,27/07/2015,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
CRITERE,11/01/2013,2000,600,900,1500,600,900,1500,27/07/2015,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
OVOGENICS,13/12/2012,500,150,225,375,150,225,375,25/06/2013,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
FILAME BRUSSELS,21/12/2012,9000,2700,4050,6750,2700,4050,6750,21/06/2013,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
S & D Tech.,17/12/2012,20000,6000,9000,15000,6000,9000,15000,27/07/2015,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
ILLUBEL,20/12/2012,10000,3000,4500,7500,3000,4500,7500,20/12/2013,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
PAROBEL INTERNATIONAL,03/01/2013,2500,750,1125,1875,750,1125,1875,17/05/2013,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
Stûv,17/01/2013,12000,3600,5400,9000,3600,5400,9000,20/02/2015,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
CHACON,20/12/2012,20000,6000,9000,15000,3000,4500,7500,8/11/2013,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
OTORINO,21/12/2012,3500,1050,1575,2625,1050,1575,2625,16/07/2013,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
ISOMATEX,27/03/2013,17000,5100,7650,12750,5100,7650,12750,10/12/2013,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
ARTIALIS,18/12/2012,10000,3000,4500,7500,3000,4500,7500,23/08/2013,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
THE GREEN KOW Company,18/12/2012,18000,5400,8100,13500,5400,8100,13500,21/05/2013,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
EVOLVE POWERTRAINS,17/01/2013,8000,2400,3600,6000,2400,3600,6000,27/07/2015,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
