Bénéficiaires,Portefeuilles,Projets,Date de la dernière décision du GW,Coût total décidées,Feder décidées,Part wallonne décidées,Autres décidées,Coût total payées,Feder payées,Part wallonne payées,Autres payées,Date de clôture
BEPN,"Projet CITW Attractivité touristique Namur, Liège, Luxembourg",Projet n°3 : Accompagnement ingénierie opérationnelle- BEPN,12/06/2014,"274.107,00","109.642,80","137.053,50","27.410,70","274.107,00","109.642,79","137.053,51","27.410,70",31/12/2014
CITW,"Projet CITW Attractivité touristique Namur, Liège, Luxembourg",projet n°2 : Coordination et ingénierie opérationnelle,12/06/2014,"3.120.643,00","1.248.257,20","1.872.385,80","0,00","2.671.367,59","1.068.547,05","1.602.820,54","0,00",
Commissariat Général au Tourisme,"Projet CITW Attractivité touristique Namur, Liège, Luxembourg",projet n°1: Qualité,12/06/2014,"499.250,00","199.700,00","299.550,00","0,00","326.255,13","130.502,05","195.753,08","0,00",
Commissariat Général au Tourisme,Structuration-qualification et promotion des filières touristiques de Wallonie,Filière MICE: Base de données tourisme d'affaires,26/11/2015,"65.192,53","26.077,01","39.115,52","0,00","59.371,53","23.748,61","35.622,92","0,00",
Commune d'Ans,Ans en actions,AMELIORATION DE LA RUE ET DE LA PLACE DU CIMETIERE,24/07/2008,"1.939.040,75","775.616,30","969.520,38","193.904,07","1.225.853,07","490.341,22","612.926,54","122.585,31",
Commune d'Ans,Ans en actions,Liaisons RAVeL-Quartiers dont parc d'aff. Magnée,24/07/2008,"181.494,21","72.597,69","90.747,10","18.149,42","6.557,83","2.623,13","3.278,92","655,78",
Commune d'Ans,Ans en actions,PARC PUBLIC MONFORT,24/07/2008,"405.259,51","162.103,80","202.629,76","40.525,95","148.559,98","59.423,99","74.279,99","14.856,00",
Commune d'Ans,Ans en actions,REAMENAGEMENT DE LA PLACE BRIGNOUL,24/07/2008,"1.944.470,05","777.788,01","972.235,03","194.447,01","71.831,93","28.732,77","35.915,97","7.183,19",
Commune d'Ans,Ans en actions,"REALISATION D'UN PARC PUBLIC "" DES COTEAUX """,24/07/2008,"1.458.352,54","583.341,01","729.176,28","145.835,25","863.800,15","345.520,06","431.900,08","86.380,01",
Commune de Bouillon,Dynamisation des pôles touristiques majeurs de la province de Luxembourg,Bouillon - Parc des Sépulchrines,15/07/2010,"1.153.296,83","461.318,73","576.648,42","115.329,68","1.141.882,05","456.752,81","570.941,03","114.188,21",
Commune de Ciney,Aménagement de pôles urbains,Aménagement pôle urbain Ciney,28/06/2012,"2.520.752,96","1.008.301,19","1.260.376,47","252.075,30","2.520.752,96","1.008.301,18","1.260.376,48","252.075,30",28/08/2014
Commune de DISON,VERDI,P 2.2. Citadelle-Montagne,27/02/2014,"500.251,18","200.100,46","250.125,60","50.025,12","500.151,68","200.060,66","250.075,85","50.015,17",09/08/2010
Commune de Herstal,Redynamisation urbaine du centre de Herstal,JAURES,15/05/2014,"6.893.723,60","2.757.489,44","3.446.861,80","689.372,36","6.893.723,60","2.757.489,41","3.446.861,82","689.372,37",21/10/2013
Commune de Herstal,Redynamisation urbaine du centre de Herstal,JAURES - Energie,15/05/2014,"38.780,81","15.512,32","19.390,41","3.878,08","38.780,81","15.512,32","19.390,41","3.878,08",11/09/2015
Commune de Herstal,Redynamisation urbaine du centre de Herstal,MAREXHE - GARE,15/05/2014,"11.001.146,79","4.400.458,71","5.500.573,40","1.100.114,68","7.618.914,48","3.047.565,79","3.809.457,25","761.891,44",
Commune de Herstal,Redynamisation urbaine du centre de Herstal,MAREXHE -GARE - Parc,15/05/2014,"415.862,96","166.345,19","207.931,47","41.586,30","413.647,95","165.459,17","206.823,98","41.364,80",
Commune de Philippeville,Aménagement de pôles urbains,Aménagement pôle urbain Philippeville (DGATLP),28/06/2012,"1.469.520,37","587.808,15","734.760,18","146.952,04","1.465.452,35","586.180,92","732.726,19","146.545,24",
Commune de Philippeville,Aménagement de pôles urbains,Aménagement pôle urbain Philippeville (partie CGT),28/06/2012,"484.760,18","193.904,07","242.380,09","48.476,02","484.760,18","193.904,06","242.380,10","48.476,02",16/02/2015
Commune de Philippeville,Aménagement de pôles urbains,Aménagement pôle urbain Philippeville(partie CF),28/06/2012,"484.760,18","193.904,07","242.380,09","48.476,02","484.760,18","193.904,06","242.380,10","48.476,02",16/02/2015
Commune d'ENGIS,"ENGIS, PORTE OUEST DU BASSIN LIEGEOIS",AMENAGEMENT DES QUAIS DE MEUSE,22/10/2015,"461.510,00","184.604,00","230.755,00","46.151,00","339.257,93","135.703,16","169.628,98","33.925,79",
Commune d'ENGIS,"ENGIS, PORTE OUEST DU BASSIN LIEGEOIS",MISE EN VALEUR PONT D'ENGIS - Liaison cyclo,22/10/2015,"1.026.524,65","410.609,86","513.262,32","102.652,47","589.783,71","235.913,48","294.891,86","58.978,37",
Commune d'ENGIS,"ENGIS, PORTE OUEST DU BASSIN LIEGEOIS",MISE EN VALEUR PONT D'ENGIS -Liaison Engihoul/Pont,22/10/2015,"70.400,00","28.160,00","35.200,00","7.040,00","35.866,47","14.346,57","17.933,25","3.586,65",
Fédération du Tourisme de la Province de Namur,Structuration-qualification et promotion des filières touristiques de Wallonie,Filière MICE: Cellule MICE namuroise,26/11/2015,"488.974,08","195.589,63","244.487,04","48.897,41","486.609,90","194.643,95","243.304,96","48.660,99",
Fédération du Tourisme de la province du Luxembourg belge,Structuration-qualification et promotion des filières touristiques de Wallonie,Filière MICE: Cellule Green MICE luxembourgeoise,26/11/2015,"835.441,86","334.176,74","417.720,93","83.544,19","830.506,66","332.202,64","415.253,35","83.050,67",
Idelux,Pleine nature en Ourthe et Aisne,Parc CHLOROPHYLLE,10/12/2015,"1.313.251,24","525.300,49","656.625,63","131.325,12","1.098.509,24","439.403,68","549.254,63","109.850,93",
Idelux,"Projet CITW Attractivité touristique Namur, Liège, Luxembourg",projet n°4 : Accompagnement ingénierie opérationnelle - IDELUX,12/06/2014,"233.000,00","93.200,00","116.500,00","23.300,00","233.000,00","93.199,98","116.500,02","23.300,00",30/06/2015
Idelux,Voie de la Liberté,Centre de Mémoire de la 2e Guerre Mondiale,10/12/2015,"5.586.109,99","2.234.444,00","2.793.054,99","558.611,00","4.706.103,01","1.882.441,17","2.353.051,52","470.610,32",
IPW,Plan de développement de l'abbaye de Villers-la-Ville,1. Moulin abbatial: restauration (P1),08/10/2015,"4.228.601,63","1.686.873,76","2.530.310,64","0,00","3.719.420,07","1.483.751,05","2.225.626,58","0,00",
IPW,Plan de développement de l'abbaye de Villers-la-Ville,7.Buanderie et porte de la ferme:restauration (P4),08/10/2015,"391.253,81","156.078,96","234.118,46","0,00","391.253,77","156.078,96","234.118,42","0,00",23/12/2011
Les Lacs de l'Eau d'Heure,De Cerfontaine au Ri Jaune,Falemprise,10/12/2015,"500.999,05","200.399,62","300.599,43","0,00","484.742,25","193.896,90","290.845,35","0,00",25/06/2014
Les Lacs de l'Eau d'Heure,Infrastructures générales,Sécurisation générale du site et signalétique,10/12/2015,"235.100,14","94.040,06","141.060,08","0,00","213.414,06","85.365,62","128.048,44","0,00",
Office de Promotion du Tourisme de Wallonie et de Bruxelles ASBL,Structuration-qualification et promotion des filières touristiques de Wallonie,Promotion fédérée des filières touristiques,26/11/2015,"268.629,40","107.451,76","161.177,64","0,00","239.738,85","95.895,54","143.843,31","0,00",
Province de Namur,Tourisme Découverte: vitrine de projets innovants,Dév. projets - Domaine de Chevetogne,04/09/2008,"3.102.465,00","1.138.852,85","1.427.267,34","281.011,94","2.620.883,92","962.074,07","1.205.719,33","237.391,78",
Société de développement de Liège Guillemins (SDLG),Développement du quartier de la gare TGV de Liège,Aménagements place,03/12/2015,"9.565.683,32","3.826.273,33","4.782.841,66","956.568,33","7.603.950,35","3.041.580,13","3.801.975,18","760.395,04",
SPI,"Projet CITW Attractivité touristique Namur, Liège, Luxembourg",projet n°5 : accompagnement ingénierie opérationnelle - SPI +,12/06/2014,"233.000,00","93.200,00","116.500,00","23.300,00","233.000,00","93.199,99","116.500,02","23.299,99",31/03/2013
SPW - DGO1,Développement du quartier de la gare TGV de Liège,Aménagement des quais,03/12/2015,"26.575.742,49","10.630.297,00","15.945.445,49","0,00","18.211.443,73","7.284.577,50","10.926.866,23","0,00",
SPW - DGO1,Requalification urbaine de la vallée sérésienne,V1 : rue Cockerill,19/11/2015,"0,00","0,00","0,00","0,00","4.228.760,72","1.691.504,29","2.537.256,43","0,00",
SPW - DGO1,Requalification urbaine de la vallée sérésienne,V3.2 : Liaison Janson Charbonnage - Travaux,19/11/2015,"8.308.090,23","3.323.236,09","4.984.854,14","0,00","0,00","0,00","0,00","0,00",
SPW - DGO1,Requalification urbaine de la vallée sérésienne,V9 : N90 Ivoz Ramet,19/11/2015,"140.708,23","56.283,29","84.424,94","0,00","140.708,23","56.283,29","84.424,94","0,00",25/03/2014
SPW - DGO1,Renforcement du pôle de Marche-en-Famenne comme moteur du Nord de la province de Luxembourg,Aménagement du boulevard urbain,23/04/2015,"5.334.900,00","2.133.960,00","3.200.940,00","0,00","5.334.900,00","2.133.960,00","3.200.940,00","0,00",23/09/2013
SPW - DGO2,Développement du quartier de la gare TGV de Liège,Construction de la passerelle,03/12/2015,"8.366.568,54","3.346.627,42","5.019.941,12","0,00","3.658.948,62","1.463.579,45","2.195.369,17","0,00",
SPW - DGO2,Plan de développement de l'abbaye de Villers-la-Ville,"9. Ferme: restauration, rénovation, réaffectation (P5)",08/10/2015,"2.441.933,86","974.136,25","1.461.204,39","0,00","2.441.933,00","974.135,91","1.461.203,87","0,00",7/12/2012
SRWT (Société Régionale Wallonne des Transports),Requalification urbaine de la vallée sérésienne,V2 : TCSP rue Cockerill,19/11/2015,"1.856.463,22","742.585,30","1.113.877,92","0,00","0,00","0,00","0,00","0,00",
Ville de Liège,Développement innovant de l'attractivité culturelle urbaine de Liège,Centre International d'Art et de culture - Honoraires,03/12/2015,"3.485.088,70","1.394.035,48","1.742.544,34","348.508,88","2.900.980,44","1.160.392,16","1.450.490,24","290.098,04",
Ville de Liège,Développement innovant de l'attractivité culturelle urbaine de Liège,Rénovation et transformation de l'Opéra,03/12/2015,"33.507.281,75","13.402.912,71","16.753.640,86","3.350.728,18","30.825.545,96","12.330.218,35","15.412.773,00","3.082.554,61",
Ville de Liège,Développement innovant de l'attractivité culturelle urbaine de Liège,Centre International d'Art et de culture - Travaux,03/12/2015,"20.504.891,00","8.201.956,40","10.252.445,50","2.050.489,10","15.207.573,58","6.083.029,42","7.603.786,80","1.520.757,36",
Ville de Seraing,Requalification urbaine de la vallée sérésienne,V3.1 : Liaison Janson Charbonnage - Etudes,19/11/2015,"10.664,72","4.265,88","5.332,36","1.066,48","10.455,93","4.182,37","5.227,97","1.045,59",
Ville de Seraing,Requalification urbaine de la vallée sérésienne,V4 : passage sous voies,19/11/2015,"3.171.103,81","1.268.441,52","1.585.551,91","317.110,38","3.171.103,81","1.268.441,52","1.585.551,91","317.110,38",21/12/2012
Ville de Seraing,Requalification urbaine de la vallée sérésienne,V6 : place du centre culturel,19/11/2015,"851.493,24","340.597,29","425.746,62","85.149,33","589.998,95","235.999,57","294.999,48","58.999,90",
Ville de Verviers,VERDI,P1.1.a. Revitalisation urbaine Spintay - Partie A,27/02/2014,"8.327.199,60","3.330.879,84","4.163.599,80","832.719,96","7.699.741,77","3.079.896,68","3.849.870,90","769.974,19",
Ville de Verviers,VERDI,P1.2. Revitalisation urbaine Spintay - Partie B,27/02/2014,"3.325.400,00","1.330.160,00","1.662.700,00","332.540,00","1.627.712,07","651.084,81","813.856,05","162.771,21",
Ville de Verviers,VERDI,P1.3 Réfection du Chemin des Hautes Mézelles et rond-point Martyr - Marteau - Pont des Récollets,27/02/2014,"999.088,00","399.635,20","499.544,00","99.908,80","879.573,99","351.829,56","439.787,02","87.957,41",
Administration communale d'AMAY,"CP - 31 Communes au soleil, projet de sensibilisation à la technologie photovoltaïque - 31 Communes au Soleil",AMAY,29/11/2012,"64.637,73","21.245,13","31.867,69","0,00","60.166,78","19.775,62","29.663,42","0,00",
Administration communale d'ANTHISNE,"CP - 31 Communes au soleil, projet de sensibilisation à la technologie photovoltaïque - 31 Communes au Soleil",ANTHISNE,29/11/2012,"51.955,20","17.076,64","25.614,95","0,00","29.017,71","9.537,54","14.306,31","0,00",
Administration communale de BERLOZ,"CP - 31 Communes au soleil, projet de sensibilisation à la technologie photovoltaïque - 31 Communes au Soleil",BERLOZ,29/11/2012,"50.302,02","16.533,27","24.799,90","0,00","49.346,12","16.219,08","24.328,63","0,00",
Administration communale de BRAIVES,"CP - 31 Communes au soleil, projet de sensibilisation à la technologie photovoltaïque - 31 Communes au Soleil",BRAIVES,29/11/2012,"102.603,67","33.723,78","50.585,66","0,00","100.691,85","33.095,39","49.643,10","0,00",
Administration communale de BURDINNE,"CP - 31 Communes au soleil, projet de sensibilisation à la technologie photovoltaïque - 31 Communes au Soleil",BURDINNE,29/11/2012,"50.351,37","16.549,49","24.824,23","0,00","27.291,76","8.970,26","13.455,38","0,00",
Administration communale de CLAVIER,"CP - 31 Communes au soleil, projet de sensibilisation à la technologie photovoltaïque - 31 Communes au Soleil",CLAVIER,29/11/2012,"98.654,79","32.425,86","48.638,78","0,00","52.777,63","17.346,95","26.020,43","0,00",
Administration communale de CRISNEE,"CP - 31 Communes au soleil, projet de sensibilisation à la technologie photovoltaïque - 31 Communes au Soleil",CRISNEE,29/11/2012,"50.326,70","16.541,38","24.812,07","0,00","49.364,75","16.225,22","24.337,80","0,00",
Administration communale de DONCEEL,"CP - 31 Communes au soleil, projet de sensibilisation à la technologie photovoltaïque - 31 Communes au Soleil",DONCEEL,29/11/2012,"96.730,20","31.793,28","47.689,93","0,00","50.308,45","16.535,38","24.803,07","0,00",
Administration communale de FAIMES,"CP - 31 Communes au soleil, projet de sensibilisation à la technologie photovoltaïque - 31 Communes au Soleil",FAIMES,29/11/2012,"51.313,67","16.865,78","25.298,66","0,00","50.109,72","16.470,06","24.705,10","0,00",
Administration communale de FERRIERES,"CP - 31 Communes au soleil, projet de sensibilisation à la technologie photovoltaïque - 31 Communes au Soleil",FERRIERES,29/11/2012,"52.646,07","17.303,71","25.955,57","0,00","51.115,42","16.800,61","25.200,93","0,00",
Administration communale de FEXHE-LE-HAUT- CLOCHER,"CP - 31 Communes au soleil, projet de sensibilisation à la technologie photovoltaïque - 31 Communes au Soleil",FEXHE-LE-HAUT-CLOCHER,29/11/2012,"50.647,46","16.646,81","24.970,21","0,00","49.606,85","16.304,78","24.457,17","0,00",
Administration communale de GEER,"CP - 31 Communes au soleil, projet de sensibilisation à la technologie photovoltaïque - 31 Communes au Soleil",GEER,29/11/2012,"96.902,92","31.850,05","47.775,08","0,00","95.898,62","31.519,96","47.279,94","0,00",
Administration communale de HAMOIR,"CP - 31 Communes au soleil, projet de sensibilisation à la technologie photovoltaïque - 31 Communes au Soleil",HAMOIR,29/11/2012,"51.412,36","16.898,22","25.347,32","0,00","50.184,20","16.494,54","24.741,82","0,00",
Administration communale de HERON,"CP - 31 Communes au soleil, projet de sensibilisation à la technologie photovoltaïque - 31 Communes au Soleil",HERON,29/11/2012,"99.098,92","32.571,83","48.857,75","0,00","54.184,31","17.809,30","26.713,95","0,00",
Administration communale de LINCENT,"CP - 31 Communes au soleil, projet de sensibilisation à la technologie photovoltaïque - 31 Communes au Soleil",LINCENT,29/11/2012,"50.647,46","16.646,81","24.970,21","0,00","49.606,85","16.304,78","24.457,17","0,00",
Administration communale de MARCHIN,"CP - 31 Communes au soleil, projet de sensibilisation à la technologie photovoltaïque - 31 Communes au Soleil",MARCHIN,29/11/2012,"99.937,84","32.847,57","49.271,35","0,00","98.189,39","32.272,89","48.409,33","0,00",
Administration communale de MODAVE,"CP - 31 Communes au soleil, projet de sensibilisation à la technologie photovoltaïque - 31 Communes au Soleil",MODAVE,29/11/2012,"97.963,91","32.198,78","48.298,16","0,00","96.699,45","31.783,18","47.674,75","0,00",
Administration communale de NANDRIN,"CP - 31 Communes au soleil, projet de sensibilisation à la technologie photovoltaïque - 31 Communes au Soleil",NANDRIN,29/11/2012,"54.249,90","17.830,86","26.746,28","0,00","52.326,00","17.198,51","25.797,76","0,00",
Administration communale de REMICOURT,"CP - 31 Communes au soleil, projet de sensibilisation à la technologie photovoltaïque - 31 Communes au Soleil",REMICOURT,29/11/2012,"99.937,84","32.847,57","49.271,35","0,00","53.760,36","17.669,96","26.504,93","0,00",
Administration communale de SAINT-GEORGES-SUR- MEUSE,"CP - 31 Communes au soleil, projet de sensibilisation à la technologie photovoltaïque - 31 Communes au Soleil",SAINT-GEORGES-SUR- MEUSE,29/11/2012,"55.508,28","18.244,46","27.366,69","0,00","53.275,82","17.510,70","26.266,04","0,00",
Administration communale de TINLOT,"CP - 31 Communes au soleil, projet de sensibilisation à la technologie photovoltaïque - 31 Communes au Soleil",TINLOT,29/11/2012,"49.685,17","16.330,52","24.495,78","0,00","48.880,51","16.066,05","24.099,06","0,00",
Administration communale de VERLAINE,"CP - 31 Communes au soleil, projet de sensibilisation à la technologie photovoltaïque - 31 Communes au Soleil",VERLAINE,29/11/2012,"51.412,36","16.898,22","25.347,32","0,00","50.184,20","16.494,55","24.741,81","0,00",
Administration communale de VILLERS-LE-BOUILLET,"CP - 31 Communes au soleil, projet de sensibilisation à la technologie photovoltaïque - 31 Communes au Soleil",VILLERS-LE-BOUILLET,29/11/2012,"101.294,92","33.293,62","49.940,42","0,00","99.213,72","32.609,56","48.914,35","0,00",
Administration communale de WANZE,"CP - 31 Communes au soleil, projet de sensibilisation à la technologie photovoltaïque - 31 Communes au Soleil",WANZE,29/11/2012,"110.572,42","36.342,94","54.514,42","0,00","106.216,42","34.911,21","52.366,82","0,00",
Administration communale de WAREMME,"CP - 31 Communes au soleil, projet de sensibilisation à la technologie photovoltaïque - 31 Communes au Soleil",WAREMME,29/11/2012,"66.093,51","21.723,62","32.585,42","0,00","61.265,59","20.136,77","30.205,16","0,00",
Administration communale de WASSEIGES,"CP - 31 Communes au soleil, projet de sensibilisation à la technologie photovoltaïque - 31 Communes au Soleil",WASSEIGES,29/11/2012,"49.981,26","16.427,84","24.641,76","0,00","49.104,00","16.139,50","24.209,26","0,00",
Administration communale d'ENGIS,"CP - 31 Communes au soleil, projet de sensibilisation à la technologie photovoltaïque - 31 Communes au Soleil",ENGIS,29/11/2012,"54.323,92","17.855,19","26.782,78","0,00","52.381,87","17.216,87","25.825,32","0,00",
Administration communale d'OREYE,"CP - 31 Communes au soleil, projet de sensibilisation à la technologie photovoltaïque - 31 Communes au Soleil",OREYE,29/11/2012,"97.618,47","32.085,24","48.127,86","0,00","96.438,72","31.697,49","47.546,21","0,00",
Administration communale d'OUFFET,"CP - 31 Communes au soleil, projet de sensibilisation à la technologie photovoltaïque - 31 Communes au Soleil",OUFFET,29/11/2012,"49.931,91","16.411,62","24.617,43","0,00","49.066,74","16.127,25","24.190,89","0,00",
CPAS de HUY,"CP - 31 Communes au soleil, projet de sensibilisation à la technologie photovoltaïque - 31 Communes au Soleil",CPAS de HUY,29/11/2012,"46.403,50","15.251,90","22.877,86","0,00","46.403,50","15.251,90","22.877,85","0,00",31/08/2015
Ville de HANNUT,"CP - 31 Communes au soleil, projet de sensibilisation à la technologie photovoltaïque - 31 Communes au Soleil",HANNUT,29/11/2012,"112.867,12","37.097,16","55.645,75","0,00","107.948,45","35.480,49","53.220,75","0,00",
Ville de HUY,"CP - 31 Communes au soleil, projet de sensibilisation à la technologie photovoltaïque - 31 Communes au Soleil",HUY,29/11/2012,"74.482,74","24.480,99","36.721,48","0,00","67.597,83","22.218,05","33.327,08","0,00",
