"query_country_code","lau2_code","sum"
PT,PT114_131211,146290134
ES,ES618_41038,146021004
DE,DEA52_05913000,145228899
PL,PL215_212226201,144892068
PL,PL614_604076201,144551803
FI,FI1D2_297,144101384
SK,SK010_529397,143693254
LT,LT00A_1306,143538339
FR,FR301_59350,143466692
FR,FR940_97409,142959153
IT,ITF31_061022,142684985
GR,EL531_14020401,142430092
CZ,CZ041_554961,142285417
GR,EL513_01030101,142057503
DE,DEF02_01002000,141948042
AT,AT221_60101,141355151
ES,ES618_41004,141153683
HU,HU0503,140412987
IT,ITG14_084001,139743042
SK,SK042_598224,139666704
DE,DE929_03241001,139375773
PL,PL325_318351611,139103882
ES,ES300_28006,138460341
SK,SK032_518549,138392819
ES,ES211_01059,138270940
DE,DE932_03352011,136978001
PL,PL116_110181901,136843738
IT,ITF62_101010,136698223
IT,ITH35_027042,136384538
ES,ES612_11015,136276749
PL,PL623_628550501,136027111
FI,FI1D3_167,135838060
PL,PL121_114250201,135606351
FI,FI1D6_564,135299703
RO,RO115_136483,135197810
RO,RO413_109773,134565977
ES,ES612_11027,133266500
IT,ITG19_089017,132979903
PL,PL631_622416301,132568085
PL,PL418_430612116,132452272
GR,EL522_07060304,131862972
PL,PL326_318360301,131820644
ES,ES521_03065,131729166
PL,PL22B_224500101,131445987
LV,LV009_0090000,131057284
SI,SI024_050,130270621
FR,FR930_97302,130023508
PT,PT163_101001,129062994
PL,PL325_318351612,128158338
HU,HU1707,127264487
ES,ES618_41039,127264061
PL,PL517_502032109,127152550
HU,HU0352,127128862
ES,ES612_11031,126920512
ES,ES611_04902,126779723
ES,ES431_06083,126652792
DE,DE271_09761000,125791404
FR,FR940_97407,124980962
IT,ITG15_085004,124961553
LT,LT00A_1314,124939576
PT,PT181_151301,124926834
IT,ITG13_083049,124791583
HU,HU1316,124614779
ES,ES111_15036,124551764
BG,BG323_63427,123528457
UK,UKF14_E05001838,123193625
GR,EL307_51010100,122685774
SK,SK021_506745,122645218
ES,ES212_20069,122607784
RO,RO312_92569,122499992
ES,ES413_24089,121642837
LT,LT00A_1312,121482906
DE,DEA22_05314000,121280300
ES,ES616_23055,121199097
PL,PL22A_224486301,120857684
SI,SI017_085,120771399
ES,ES708_35004,120390326
LT,LT001_11,120029331
LV,LV007_0130000,119768398
RO,RO316_131620,119603371
FR,FR824_13055,119537987
RO,RO412_77812,119322702
LT,LT00A_1319,119000434
PT,PT114_131204,118583602
SK,SK031_557935,118478010
DE,DEG0F_16070029,118154246
CZ,CZ042_567027,118038428
IT,ITF61_078102,117698316
ES,ES617_29084,117680011
CZ,CZ071_523704,117651544
ES,ES432_10148,117638465
CZ,CZ042_562971,117412172
UK,UKC21_E05008060,116805886
LV,LV003_0270000,116804563
ES,ES120_33004,116732446
PL,PL323_318336101,116556999
MT,MT001_MT01101,116114940
BG,BG342_67338,115803040
IT,ITF47_072029,115566004
GR,EL421_69010101,114891908
LT,LT00A_1309,114856386
FR,FR511_44109,114721551
ES,ES424_19130,114313257
ES,ES705_35026,113577220
HU,HU3205,113518633
PT,PT300_310304,113376129
ES,ES618_41081,112803154
BG,BG343_87374,112267146
DE,DE731_06611000,112093954
GR,EL651_41010101,112025630
ES,ES630_51001,111599476
PL,PL416_430576101,111207875
HU,HU3093,110990477
HU,HU1544,110947552
RO,RO214_120726,110896191
PL,PL214_212200611,110877633
DE,DEA51_05911000,110684307
ES,ES300_28005,110307353
BG,BG322_14218,109994033
RO,RO113_55259,109753477
PL,PL228_224457101,109665574
IT,ITG25_090064,108853463
HU,HU0478,108753351
HU,HU2230,108558885
HU,HU3098,108411035
PL,PL122_114266401,107913487
HU,HU1452,107830828
UK,UKL18_W05000546,107643987
IT,ITF33_063034,107519175
ES,ES511_08279,107384922
FR,FR716_69123,107216159
CZ,CZ042_562335,107087875
CZ,CZ063_590266,106972885
PL,PL515_502016101,106716226
PL,PL518_502041303,106709345
FR,FR940_97418,105916596
SI,SI022_052,105577691
CY,CY000_5000,104892925
PL,PL324_318346201,103975400
CZ,CZ020_531057,103870137
ES,ES617_29094,103857701
ES,ES640_52001,103745367
PL,PL615_604080701,103605817
CZ,CZ031_553271,103602520
GR,EL525_11010101,103339675
PL,PL344_320386201,102775416
GR,EL522_07060201,102712256
GR,EL543_18010201,102681386
FR,FR523_35238,102295673
ES,ES511_08015,101914504
UK,UKN01_95GG39,101860500
ES,ES431_06011,101737307
PL,PL115_110170101,101679904
SK,SK010_529346,101605265
PL,PL114_110150802,101578206
PL,PL22A_224487201,101402333
DE,DE713_06413000,101343702
CZ,CZ042_563340,101115753
ES,ES617_29054,101063493
PL,PL326_318361801,100952386
SK,SK022_505820,100718543
DE,DEA12_05112000,100699964
IT,ITF33_063059,100680219
ES,ES422_13034,100395893
PL,PL516_502026201,100377154
GR,EL522_07060102,100291181
GR,EL623_35010101,100096445
MT,MT001_MT01134,100034121
ES,ES613_14038,99813034
HU,HU0831,99789918
PL,PL521_516310705,99594398
DE,DED2C_14625020,99370203
ES,ES220_31201,99257657
PL,PL621_628541501,99198299
ES,ES300_28074,98973405
PL,PL633_622436401,98859207
PT,PT300_310307,98793183
PT,PT114_130806,98760047
RO,RO124_83320,98566292
HU,HU1343,98292658
CZ,CZ020_513458,98078905
GR,EL532_16010101,97851291
ES,ES511_08187,97450107
MT,MT001_MT01241,97272414
IT,ITF61_078029,97038791
PT,PT114_131202,96982073
DE,DEA33_05515000,96594806
PL,PL311_306096101,96488831
NL,NL113_0014,96354574
PT,PT116_011601,96202993
ES,ES431_06044,96194400
PL,PL414_430580301,95966636
GR,EL631_38030102,95603924
HU,HU2578,94767000
HU,HU1820,94534050
ES,ES300_28092,94434214
UK,UKG31_E05001193,94271065
PL,PL331_326520701,94182341
IT,ITF64_102047,93758752
SK,SK031_509451,93486393
ES,ES511_08101,93469441
LT,LT00A_1315,93285579
HU,HU0311,93098568
FR,FR920_97213,92896131
SI,SI023_084,92894288
CZ,CZ032_559717,92759925
CY,CY000_1000,92480074
PL,PL129_114291702,92320994
RO,RO126_143619,92276807
GR,EL513_01030302,92067729
LT,LT002_1908,92021464
LV,LV003_0880200,91996443
HU,HU2117,91706992
PT,PT171_110628,91622110
SK,SK042_599824,91548341
ES,ES612_11022,91401960
PL,PL116_110181709,91024982
DE,DE801_13001000,91023005
HU,HU0735,90983327
UK,UKH12_E05002801,90926408
PL,PL227_224497901,90706834
IT,ITF35_065037,90701986
CZ,CZ064_586021,90684394
DE,DE232_09362000,90483464
PL,PL325_318351602,90454179
PL,PL217_212241609,90450940
PL,PL422_432630801,90112889
IT,ITF46_071029,89901136
ES,ES612_11032,89892496
SK,SK031_512036,89372768
FR,FR940_97410,89292784
PL,PL621_628540701,89121823
SI,SI014_011,89073250
LT,LT00A_1310,88894274
MT,MT001_MT01145,88866365
IT,ITF47_072020,88799841
ES,ES709_38006,88377977
GR,EL433_73040000,88279119
PT,PT114_131206,88261125
PL,PL522_516320301,88208571
ES,ES617_29051,88098972
HU,HU1449,88087769
PL,PL129_114290801,87862819
DE,DEG06_16061115,87842740
PL,PL325_318351614,87803038
PT,PT171_110608,87756650
DE,DEC01_10041100,87571646
PL,PL414_430586201,87505369
CZ,CZ020_535419,87367910
ES,ES300_28065,87346513
SK,SK031_512681,87333772
HU,HU2012,87228039
DE,DE809_13053031,87068131
PL,PL418_430612110,87062125
CZ,CZ080_555088,87052036
PL,PL115_110176201,87030947
GR,EL612_22060101,86841676
PL,PL121_114251301,86831660
SK,SK041_523542,86823099
CZ,CZ080_598917,86714434
PT,PT114_131212,86357204
IT,ITI21_054039,86299208
LT,LT00A_1302,86134872
PL,PL418_430612101,85950104
GR,EL514_02010101,85945227
DE,DE939_03359038,85903861
BG,BG314_56722,85761093
PL,PL325_318351609,85612225
RO,RO322_179481,85314297
PT,PT183_070518,85289351
PT,PT300_310305,85289236
UK,UKD61_E05001609,85186014
PL,PL114_110152003,85172617
ES,ES514_43148,85049934
GR,EL434_74010101,85015986
PL,PL214_212200606,84866386
UK,UKM25_S31000244,84713408
CZ,CZ064_593711,84560686
HU,HU3243,84483701
IT,ITF33_063084,84313968
PL,PL214_212201905,84254201
ES,ES617_29070,84164056
HR,HR041_01333,84066216
AT,AT211_20101,84040635
SK,SK041_523381,84021699
GR,EL512_06010101,83888642
PL,PL12A_114303801,83698238
IT,ITF48_110002,83629665
DE,DE406_12061540,83619914
CZ,CZ080_598933,83536187
FR,FR724_63113,83334736
CZ,CZ072_541630,83287525
LT,LT002_1911,83264685
PL,PL518_502042003,83070040
PT,PT169_050205,83022160
GR,EL522_07060302,83001285
PL,PL115_110171601,82932355
SI,SI014_133,82709655
HU,HU0523,82641081
IT,ITF47_072011,82591267
IT,ITH36_028060,82387796
ES,ES620_30024,82247077
LT,LT00A_1305,82149069
FR,FR940_97414,82074987
PL,PL635_622421401,81970024
PL,PL116_110180302,81753018
PL,PL326_318366401,81277430
PL,PL12A_114302102,81227452
ES,ES617_29025,81209295
IT,ITI17_050026,81155078
FR,FR633_87085,81066031
FI,FI1B1_091,81023487
CZ,CZ053_575429,80829489
PL,PL22B_224500102,80733862
FR,FR910_97103,80529653
DE,DE802_13002000,80316366
PL,PL12A_114303206,80151591
PL,PL229_224470501,80136005
IT,ITH31_023091,80075202
SK,SK032_518158,79995932
PL,PL227_224496701,79952696
LV,LV007_0740202,79872193
IT,ITF52_077014,79673972
FI,FI1D1_491,79413525
ES,ES617_29901,79409025
ES,ES612_11033,79344400
DE,DED45_14524330,79229850
EE,EE007_0322,79061416
CZ,CZ020_539911,78964940
ES,ES300_28058,78958898
ES,ES114_36024,78949842
ES,ES431_06153,78755926
PL,PL418_430612104,78720277
PL,PL12A_114303205,78609580
PL,PL225_224440204,78549267
PL,PL122_114266101,78264905
