Date,Price,Open,High,Low,Change %
"Nov 22, 2012",8.6092,8.6147,8.6415,8.5855,-0.14%
"Nov 21, 2012",8.6214,8.6654,8.6805,8.6064,-0.56%
"Nov 20, 2012",8.6696,8.6138,8.6859,8.6024,0.59%
"Nov 19, 2012",8.6191,8.6392,8.6706,8.6042,-0.39%
"Nov 16, 2012",8.653,8.6401,8.6693,8.6192,0.04%
"Nov 15, 2012",8.6499,8.6352,8.6741,8.6203,0.07%
"Nov 14, 2012",8.6438,8.624,8.651,8.6032,0.22%
"Nov 13, 2012",8.6248,8.5852,8.6274,8.5719,0.47%
"Nov 12, 2012",8.5848,8.5628,8.5976,8.5568,0.18%
"Nov 09, 2012",8.5692,8.5012,8.5832,8.4917,0.72%
"Nov 08, 2012",8.5082,8.5364,8.5563,8.4916,-0.38%
"Nov 07, 2012",8.5404,8.5559,8.5921,8.5192,-0.28%
"Nov 06, 2012",8.5646,8.5538,8.5843,8.5297,0.01%
"Nov 05, 2012",8.5638,8.5998,8.6134,8.5424,-0.39%
"Nov 02, 2012",8.5976,8.5995,8.6397,8.5806,-0.16%
"Nov 01, 2012",8.6113,8.5875,8.6482,8.575,0.15%
"Oct 31, 2012",8.5987,8.6138,8.6296,8.5723,-0.08%
"Oct 30, 2012",8.6058,8.6162,8.6427,8.5796,-0.21%
"Oct 29, 2012",8.6235,8.6574,8.6897,8.5986,-0.50%
"Oct 26, 2012",8.6665,8.6778,8.7248,8.6404,-0.11%
"Oct 25, 2012",8.6761,8.6636,8.705,8.6205,0.06%
"Oct 24, 2012",8.6708,8.6258,8.6846,8.6109,0.47%
"Oct 23, 2012",8.63,8.604,8.6423,8.5859,0.21%
"Oct 22, 2012",8.6121,8.5618,8.6368,8.5517,0.47%
"Oct 19, 2012",8.5721,8.5682,8.5946,8.5377,-0.07%
"Oct 18, 2012",8.5779,8.6379,8.6506,8.5561,-0.77%
"Oct 17, 2012",8.6441,8.6253,8.6755,8.6174,0.17%
