"Date","Price","Open","High","Low","Change %"
"May 31, 2010","7.2624","7.2555","7.2767","7.2469","-0.03%"
"May 28, 2010","7.2649","7.2618","7.2795","7.2370","0.00%"
"May 27, 2010","7.2649","7.2682","7.2801","7.2347","-0.11%"
"May 26, 2010","7.2731","7.2631","7.2790","7.2452","-0.01%"
"May 25, 2010","7.2735","7.2631","7.2840","7.2476","0.01%"
"May 24, 2010","7.2730","7.2366","7.2775","7.2234","-0.01%"
"May 21, 2010","7.2736","7.2626","7.2844","7.2389","0.13%"
"May 20, 2010","7.2638","7.2580","7.2973","7.2425","-0.01%"
"May 19, 2010","7.2647","7.2487","7.2782","7.2144","0.07%"
"May 18, 2010","7.2597","7.2493","7.2652","7.2259","0.10%"
"May 17, 2010","7.2527","7.2512","7.2657","7.2076","-0.06%"
"May 14, 2010","7.2573","7.2502","7.2724","7.2304","0.04%"
"May 13, 2010","7.2546","7.2513","7.2676","7.2303","-0.02%"
"May 12, 2010","7.2562","7.2599","7.2730","7.2370","-0.10%"
"May 11, 2010","7.2634","7.2599","7.2766","7.2250","-0.00%"
"May 10, 2010","7.2635","7.2645","7.2843","7.2321","-0.04%"
"May 07, 2010","7.2661","7.2561","7.2964","7.2355","0.06%"
"May 06, 2010","7.2616","7.2537","7.2874","7.2338","0.12%"
"May 05, 2010","7.2532","7.2509","7.2744","7.2324","-0.02%"
"May 04, 2010","7.2545","7.2589","7.2809","7.2376","-0.14%"
"May 03, 2010","7.2646","7.2524","7.2797","7.2389","0.04%"
"Apr 30, 2010","7.2620","7.2443","7.2802","7.2333","0.19%"
"Apr 29, 2010","7.2481","7.2460","7.2565","7.2251","-0.03%"
"Apr 28, 2010","7.2506","7.2468","7.2676","7.2144","-0.03%"
"Apr 27, 2010","7.2529","7.2518","7.2672","7.2173","-0.06%"
"Apr 26, 2010","7.2575","7.2295","7.2666","7.2212","-0.04%"
"Apr 23, 2010","7.2602","7.2495","7.2713","7.2290","0.04%"
"Apr 22, 2010","7.2576","7.2469","7.2685","7.2285","0.03%"
"Apr 21, 2010","7.2557","7.2503","7.2637","7.2257","0.01%"
"Apr 20, 2010","7.2547","7.2358","7.2737","7.2268","0.18%"
"Apr 19, 2010","7.2420","7.2548","7.2673","7.2251","-0.20%"
"Apr 16, 2010","7.2565","7.2534","7.2683","7.2440","-0.03%"
"Apr 15, 2010","7.2588","7.2539","7.2672","7.2307","0.00%"
"Apr 14, 2010","7.2585","7.2554","7.2661","7.2425","0.02%"
"Apr 13, 2010","7.2567","7.2690","7.2771","7.2419","-0.14%"
"Apr 12, 2010","7.2668","7.3135","7.3560","7.2368","0.04%"
"Apr 09, 2010","7.2642","7.2694","7.2797","7.2324","-0.12%"
"Apr 08, 2010","7.2728","7.2684","7.2765","7.2559","0.03%"
"Apr 07, 2010","7.2709","7.2664","7.2788","7.2457","-0.02%"
"Apr 06, 2010","7.2725","7.2534","7.2785","7.2126","0.22%"
"Apr 05, 2010","7.2568","7.2622","7.2776","7.2417","-0.23%"
"Apr 02, 2010","7.2736","7.2600","7.2836","7.2420","0.13%"
"Apr 01, 2010","7.2638","7.2562","7.2834","7.2420","-0.01%"
"Mar 31, 2010","7.2645","7.2578","7.2826","7.2485","0.01%"
"Mar 30, 2010","7.2635","7.2601","7.2692","7.2502","0.01%"
"Mar 29, 2010","7.2626","7.2579","7.2687","7.2471","-0.01%"
"Mar 26, 2010","7.2633","7.2599","7.2714","7.2480","0.02%"
"Mar 25, 2010","7.2622","7.2593","7.2722","7.2476","-0.01%"
"Mar 24, 2010","7.2631","7.2563","7.2729","7.2457","0.01%"
"Mar 23, 2010","7.2622","7.2532","7.2739","7.2489","0.01%"
"Mar 22, 2010","7.2613","7.2566","7.2676","7.2459","-0.01%"
"Mar 19, 2010","7.2618","7.2565","7.2671","7.2449","0.04%"
"Mar 18, 2010","7.2591","7.2491","7.2627","7.2434","0.06%"
"Mar 17, 2010","7.2544","7.2494","7.2669","7.2429","0.01%"
"Mar 16, 2010","7.2538","7.2462","7.2805","7.2388","0.04%"
"Mar 15, 2010","7.2511","7.2625","7.2701","7.2390","-0.22%"
"Mar 12, 2010","7.2674","7.2641","7.2710","7.2491","0.10%"
"Mar 11, 2010","7.2599","7.2624","7.2700","7.2478","-0.07%"
"Mar 10, 2010","7.2652","7.2620","7.2757","7.2451","0.00%"
"Mar 09, 2010","7.2650","7.2564","7.2699","7.2511","0.05%"
"Mar 08, 2010","7.2616","7.2625","7.3343","7.2488","-0.04%"
"Mar 05, 2010","7.2647","7.2574","7.2728","7.2352","0.01%"
"Mar 04, 2010","7.2637","7.2618","7.2802","7.2479","-0.08%"
"Mar 03, 2010","7.2693","7.2590","7.2782","7.2425","0.08%"
"Mar 02, 2010","7.2636","7.2525","7.2750","7.2346","0.08%"
"Mar 01, 2010","7.2578","7.2785","7.2965","7.2420","-0.36%"
"Feb 26, 2010","7.2838","7.2594","7.3142","7.2498","0.26%"
"Feb 25, 2010","7.2647","7.2684","7.2802","7.2481","-0.10%"
"Feb 24, 2010","7.2722","7.2799","7.2963","7.2569","-0.18%"
"Feb 23, 2010","7.2850","7.2773","7.2978","7.2680","-0.00%"
"Feb 22, 2010","7.2852","7.2838","7.3010","7.2727","-0.19%"
"Feb 19, 2010","7.2990","7.2827","7.3012","7.2758","0.12%"
"Feb 18, 2010","7.2901","7.2894","7.3023","7.2766","-0.07%"
"Feb 17, 2010","7.2949","7.2879","7.3013","7.2799","-0.02%"
"Feb 16, 2010","7.2964","7.2934","7.3217","7.2789","0.00%"
"Feb 15, 2010","7.2964","7.3068","7.3249","7.2788","-0.24%"
"Feb 12, 2010","7.3137","7.3107","7.3338","7.2863","-0.02%"
"Feb 11, 2010","7.3148","7.3164","7.3380","7.3002","-0.11%"
"Feb 10, 2010","7.3230","7.3143","7.3374","7.3015","0.01%"
"Feb 09, 2010","7.3220","7.3153","7.3400","7.2801","-0.01%"
"Feb 08, 2010","7.3225","7.3190","7.3346","7.3084","-0.01%"
"Feb 05, 2010","7.3233","7.3179","7.3392","7.2999","0.01%"
"Feb 04, 2010","7.3228","7.3140","7.3333","7.3014","0.08%"
"Feb 03, 2010","7.3172","7.3079","7.3238","7.3005","0.03%"
"Feb 02, 2010","7.3150","7.3119","7.3289","7.2986","-0.04%"
"Feb 01, 2010","7.3180","7.3060","7.3363","7.2991","0.16%"
"Jan 29, 2010","7.3064","7.3055","7.3271","7.2881","-0.03%"
"Jan 28, 2010","7.3089","7.3130","7.3326","7.2890","-0.11%"
"Jan 27, 2010","7.3168","7.2910","7.3257","7.2804","0.32%"
"Jan 26, 2010","7.2937","7.2870","7.3339","7.2778","-0.02%"
"Jan 25, 2010","7.2948","7.2910","7.3397","7.2760","0.02%"
"Jan 22, 2010","7.2933","7.2939","7.3430","7.2733","-0.06%"
"Jan 21, 2010","7.2974","7.2921","7.3392","7.2647","0.04%"
"Jan 20, 2010","7.2943","7.2674","7.3357","7.2383","0.29%"
"Jan 19, 2010","7.2730","7.2570","7.2998","7.2449","-0.15%"
"Jan 18, 2010","7.2837","7.2619","7.2980","7.2438","0.17%"
"Jan 15, 2010","7.2717","7.2854","7.2947","7.2440","-0.20%"
"Jan 14, 2010","7.2860","7.2910","7.3057","7.2442","-0.11%"
