NUTS_3_2013_CODE;NUTS_3_2010_CODE;LAU1_NAT_CODE;LAU2_NAT_CODE;CHANGE;NAME_1;NAME_2_LAT;POP;AREA;DEGURBA;;
DE114;DE114;081175005;08117053;no;Wäschenbeuren;Wäschenbeuren;3884;12952600;2;;
DE114;DE114;081175005;08117055;no;Wangen;Wangen;3084;9677600;2;;
DE114;DE114;081175006;08117015;no;Donzdorf, Stadt;Donzdorf, Stadt;10750;39824400;2;;
DE114;DE114;081175006;08117025;no;Gingen an der Fils;Gingen an der Fils;4368;10012100;2;;
DE114;DE114;081175006;08117049;no;Süßen, Stadt;Süßen, Stadt;9700;12787200;2;;
DE114;DE114;081175006;08117061;no;Lauterstein, Stadt;Lauterstein, Stadt;2545;23324500;3;;
DE114;DE114;081175007;08117016;no;Drackenstein;Drackenstein;417;5687300;3;;
DE114;DE114;081175007;08117028;no;Gruibingen;Gruibingen;2091;23051700;3;;
DE114;DE114;081175007;08117031;no;Hohenstadt;Hohenstadt;716;11638100;3;;
DE114;DE114;081175007;08117035;no;Mühlhausen im Täle;Mühlhausen im Täle;1019;6332600;3;;
DE114;DE114;081175007;08117058;no;Wiesensteig, Stadt;Wiesensteig, Stadt;2013;23397300;3;;
DE114;DE114;081175008;08117001;no;Adelberg;Adelberg;1962;9485600;3;;
DE114;DE114;081175008;08117009;no;Birenbach;Birenbach;1864;2500000;2;;
DE114;DE114;081175008;08117011;no;Börtlingen;Börtlingen;1690;8257600;3;;
DE114;DE114;081175008;08117038;no;Rechberghausen;Rechberghausen;5307;6400400;2;;
DE114;DE114;081175009;08117002;no;Aichelberg;Aichelberg;1269;4013900;2;;
DE114;DE114;081175009;08117012;no;Bad Boll;Bad Boll;5054;10953500;3;;
DE114;DE114;081175009;08117017;no;Dürnau;Dürnau;2079;5373200;2;;
DE114;DE114;081175009;08117023;no;Gammelshausen;Gammelshausen;1440;3305500;2;;
DE114;DE114;081175009;08117029;no;Hattenhofen;Hattenhofen;2901;7642300;2;;
DE114;DE114;081175009;08117060;no;Zell unter Aichelberg;Zell unter Aichelberg;3011;6392100;2;;
DE114;DE114;081175010;08117003;no;Albershausen;Albershausen;4233;6499200;2;;
DE114;DE114;081175010;08117051;no;Uhingen, Stadt;Uhingen, Stadt;13875;24790100;2;;
DE114;DE114;081175011;08117020;no;Eschenbach;Eschenbach;2133;4797900;2;;
DE114;DE114;081175011;08117030;no;Heiningen;Heiningen;5022;12447900;2;;
DE114;DE114;n.a.;08117010;no;Böhmenkirch;Böhmenkirch;5520;51085700;3;;
DE115;DE115;081185001;08118007;no;Besigheim, Stadt;Besigheim, Stadt;11787;16831000;2;;
DE115;DE115;081185001;08118016;no;Freudental;Freudental;2396;3073500;3;;
DE115;DE115;081185001;08118018;no;Gemmrigheim;Gemmrigheim;3873;8233700;2;;
DE115;DE115;081185001;08118028;no;Hessigheim;Hessigheim;2313;5026400;3;;
DE115;DE115;081185001;08118047;no;Löchgau;Löchgau;5491;10947600;2;;
DE115;DE115;081185001;08118053;no;Mundelsheim;Mundelsheim;3226;10199400;3;;
DE115;DE115;081185001;08118074;no;Walheim;Walheim;3038;6135400;2;;
DE115;DE115;081185002;08118071;no;Tamm;Tamm;12467;8781700;2;;
DE115;DE115;081185002;08118077;no;Ingersheim;Ingersheim;6132;11548500;2;;
DE115;DE115;081185002;08118079;no;Bietigheim-Bissingen, Stadt;Bietigheim-Bissingen, Stadt;41961;31288900;2;;
DE115;DE115;081185003;08118010;no;Bönnigheim, Stadt;Bönnigheim, Stadt;7214;20135400;2;;
DE115;DE115;081185003;08118015;no;Erligheim;Erligheim;2710;6193000;2;;
DE115;DE115;081185003;08118040;no;Kirchheim am Neckar;Kirchheim am Neckar;5348;8525600;2;;
DE115;DE115;081185004;08118063;no;Pleidelsheim;Pleidelsheim;6219;10183200;2;;
DE115;DE115;081185004;08118078;no;Freiberg am Neckar, Stadt;Freiberg am Neckar, Stadt;15508;13142000;2;;
DE115;DE115;081185005;08118001;no;Affalterbach;Affalterbach;4439;10150200;2;;
DE115;DE115;081185005;08118006;no;Benningen am Neckar;Benningen am Neckar;5942;4873900;2;;
DE115;DE115;081185005;08118014;no;Erdmannhausen;Erdmannhausen;4795;8706100;2;;
DE115;DE115;081185005;08118049;no;Marbach am Neckar, Stadt;Marbach am Neckar, Stadt;15298;18056700;2;;
DE115;DE115;081185006;08118027;no;Hemmingen;Hemmingen;7270;12342000;2;;
DE115;DE115;081185006;08118067;no;Schwieberdingen;Schwieberdingen;11236;14845300;2;;
DE115;DE115;081185007;08118054;no;Murr;Murr;6214;7794100;2;;
DE115;DE115;081185007;08118070;no;Steinheim an der Murr, Stadt;Steinheim an der Murr, Stadt;11937;23180100;2;;
DE115;DE115;081185008;08118012;no;Eberdingen;Eberdingen;6494;26192600;3;;
