Date,Price,Open,High,Low,Change %
"Apr 28, 2009",293.31,293.74,297.8,291.97,-0.52%
"Apr 27, 2009",294.835,291.82,297.085,291.52,0.30%
"Apr 24, 2009",293.945,296.62,300.105,291.45,-1.52%
"Apr 23, 2009",298.475,296.61,301.165,295.59,0.37%
"Apr 22, 2009",297.365,297.14,300.365,294.81,-0.03%
"Apr 21, 2009",297.455,298.24,302.325,296.15,-0.64%
"Apr 20, 2009",299.37,294.46,300.82,294.35,1.28%
"Apr 17, 2009",295.575,291.55,298.195,290.82,1.03%
"Apr 16, 2009",292.555,289.01,295.125,287.78,1.10%
"Apr 15, 2009",289.385,288.96,292.035,286.62,-0.07%
"Apr 14, 2009",289.585,287.76,292.405,286.39,0.32%
"Apr 13, 2009",288.67,289.26,290.4,287.89,-0.58%
"Apr 10, 2009",290.365,287.51,292.545,286.33,0.71%
"Apr 09, 2009",288.315,290.63,294.615,286.84,-1.70%
"Apr 08, 2009",293.295,295.33,300.695,290.74,-1.03%
"Apr 07, 2009",296.355,293.89,299.765,292.96,0.31%
"Apr 06, 2009",295.43,295.14,297.87,291.6,-0.21%
"Apr 03, 2009",296.06,291.85,298.13,291.74,0.55%
"Apr 02, 2009",294.445,302.13,303.885,291.84,-2.62%
"Apr 01, 2009",302.375,306.94,309.345,300.19,-1.93%
"Mar 31, 2009",308.31,307.91,311.19,305.71,-0.54%
"Mar 30, 2009",309.995,303.97,314.645,303.9,1.51%
"Mar 27, 2009",305.395,300.99,306.735,299.98,1.24%
"Mar 26, 2009",301.645,300.93,304.765,298.82,0.01%
"Mar 25, 2009",301.61,298.45,304.31,297.73,0.72%
"Mar 24, 2009",299.465,299.97,304.205,297.05,-0.79%
"Mar 23, 2009",301.845,302.56,309.735,299.12,0.25%
"Mar 20, 2009",301.08,299.69,305.17,296.78,-0.34%
"Mar 19, 2009",302.105,296.35,304.505,295.5,1.38%
"Mar 18, 2009",297.985,296.63,304.485,295,0.14%
"Mar 17, 2009",297.575,294.5,303.915,293.67,0.65%
"Mar 16, 2009",295.645,295.82,300.405,293.76,-0.21%
"Mar 13, 2009",296.275,293.44,300.965,292.06,0.67%
"Mar 12, 2009",294.305,300.98,309.685,293.11,-2.52%
"Mar 11, 2009",301.915,303.23,305.945,297.96,-0.59%
"Mar 10, 2009",303.715,310.24,311.175,302.5,-2.14%
"Mar 09, 2009",310.355,308.24,313.465,305.39,-1.03%
"Mar 06, 2009",313.6,316.28,318.51,310.63,-0.93%
"Mar 05, 2009",316.54,307.05,316.77,305.49,3.11%
"Mar 04, 2009",307,306.72,312.61,305.54,-0.34%
"Mar 03, 2009",308.05,305.93,309.76,303.31,0.22%
"Mar 02, 2009",307.375,299.77,309.655,299.19,2.72%
"Feb 27, 2009",299.24,301.2,303.7,294.92,-0.77%
"Feb 26, 2009",301.555,301.14,304.395,298.13,-0.10%
"Feb 25, 2009",301.87,299.98,304.92,295.69,0.55%
"Feb 24, 2009",300.23,297.03,304.43,294.36,0.59%
"Feb 23, 2009",298.46,302.18,305.19,292.3,-1.78%
