beneficiary,city
Kállósemjén Nagyközségi Önkormányzat,Kállósemjén
Bucsa Község Önkormányzata,Bucsa
Egyházasharaszti Körzeti Általános  Iskola Intézményi Társulás nevében eljáró  Alsószentmárton Község Önkormányzat,"Alsószentmárton, Egyházasharaszti"
Sátoraljaújhely Városi Önkormányzat,Sátoraljaújhely
"Nagyoroszi - Borsosberény - Horpács Községek Közoktatási Intézményi Társulása nevében eljáró Nagyoroszi Község Önkormányzata, mint gesztor","Nagyoroszi, Borsosberény, Horpács"
Novajidrány Község Önkormányzata,Novajidrány
Fertőszéplak Község Önkormányzata,Fertőszéplak
Nyírcsászári-Bátorliget-Terem Községek Közoktatási Intézményfenntartó Társulás nevében eljáró Nyírcsászári Község Önkormányzata,"Terem, Bátorliget, Nyírcsászári"
"Nyírbéltek Nagyközség Önkormányzat Képviselő-testülete és Ömböly Község Önkormányzata Képviselő-testülete Intézményfenntartó társulása nevében eljáró Nyírbéltek Nagyközség Önkormányzata, mint Gesztor","Nyírbéltek, Ömböly"
Mezőlak Község Önkormányzata,Mezőlak
Kecskemét Megyei Jogú Város Önkormányzata,Kecskemét
Dombrád Város Önkormányzat,Dombrád
KÖZSÉGI ÖNKORMÁNYZAT TÉNYŐ,Tényő
Szomód-Dunaszentmiklós községek Közoktatási Intézményi Társulása nevében eljáró Szomód Község Önkormányzata,"Szomód, Dunaszentmiklós"
Farád Község Önkormányzata,Farád
Felsővadász Községi Önkormányzat,Felsővadász
Aggtelek Község Önkormányzata,Aggtelek
Buj Község Önkormányzata,Buj
Tiszafüred Város Önkormányzat,Tiszafüred
"Dusnok-Fajsz Társult Általános Művelődési Központ nevében Dusnok Község Önkormányzata, mint gesztor","Dusnok, Fajsz"
"Balatonkeresztúr, Balatonmáriafürdő és Balatonújlak Községek Általános Iskolai Intézményfenntartói Társulása nevében Balatonkeresztúr Község Önkormányzata","Balatonmáriafürdő, Balatonújlak, Balatonkeresztúr"
Balaton- Mikófalva-Bekölce- Borsodszentgyörgy Községek Intézményfenntartó Mikro társulása nevében eljáró gesztor Balaton község Önkormányzata,"Balaton, Borsodszentgyörgy, Mikófalva, Bekölce"
Szentkirály Község Önkormányzata,Szentkirály
Harsány Község Önkormányzata,Harsány
"TOLNA, FADD, FÁCÁNKERT, BOGYISZLÓ, DUNASZENTGYÖRGY, GERJEN TELEPÜLÉSEK SZENNYVÍZTISZTÍTÓ-TELEP FEJLESZTÉSE TÁRGYÚ PÁLYÁZAT MEGVELÓSÍTÁSÁRA LÉTREHOZOTT ÖNKORMÁNYZATI TÁRSULÁSA","Bogyiszló, Dunaszentgyörgy, Fácánkert, Fadd, Gerjen, Tolna"
Kölked Község Önkormányzata,Kölked
Györtelek Községi Önkormányzat,Győrtelek
Pér Község Önkormányzata,Pér
Darnózseli Dunaremete Kisbodak Közs. Int.fennt.társ. nevében Darnózseli Község Önkormányzata,"Darnózseli, Dunaremete, Kisbodak"
Tiszavasvári Város Önkormányzata,Tiszavasvári
Mosonszentmiklós Község Önkormányzat,Mosonszentmiklós
