beneficiary,city
Községi Önkormányzat Nőtincs,Nőtincs
Nemesvámos Község Önkormányzata,Nemesvámos
"Dunaföldvár, Bölcske, Madocsa Intézményfenntartó Társulás nevében Dunaföldvár Város Önkormányzata mint gesztor","Bölcske, Dunaföldvár, Madocsa"
Tarpa Nagyközség Önkormányzat,Tarpa
Szajol Község Önkormányzata,Szajol
Újszász Város Önkormányzata,Újszász
Gesztely Község Önkormányzata,Gesztely
"Sárbogárd Város-Nagylók Közoktatási Intézményfenntartó Társulás nevében eljáró Sárbogárd Város Önkormányzata mint gesztor,valamint saját nevében eljáró Sárbogárd Város Önkormányzata","Nagylók, Sárbogárd"
"Somogysámson, Somogyzsitva és Csákány Alapfokú Oktatási Intézményfenntartó Társulása nevében Somogysámson Község Önkormányzata mint gesztor","Csákány, Somogysámson"
Petneháza Község Önkormányzata,Petneháza
Mezőberény Város Önkormányzat Képviselő-testülete,Mezőberény
"Zalabér - Zalavég Községek Intézményfenntartó Társulása a Zalabéri Általános Iskola és Művészetoktatási Intézmény, Óvoda közös működtetésére Zalabér Község Önkormányzata","Zalavég, Zalabér"
Tiszakóród-Tiszacsécse-Milota Községi Önkormányzatok Közoktatási Intézményfenntartó Társulása nevében eljáró Tiszakóród Község Önkormányzata mint gesztor,"Milota, Tiszakóród, Tiszacsécse"
Községi Önkormányzat Szendrőlád,Szendrőlád
Rozsály Nagyközség Önkormányzata,Rozsály
Kelebia Község Önkormányzata,Kelebia
Tiszadob Nagyközség Önkormányzata,Tiszadob
Pátroha Község Önkormányzata,Pátroha
Pereszteg Község Ökormányzata,Pereszteg
"Csenger Mikrotérségi Közoktatái Intézményfenntartó Társulás nevében Csenger Város Önkormányzata, mint gesztor",Csenger
Települési Önkormányzat Zalahaláp,Zalahaláp
Bogyiszló-Fácánkert Közoktatási Intézményi Társulás nevében Bogyiszló Község Önkormányzata,"Bogyiszló, Fácánkert"
Pusztakovácsi és Környéke Mikrotérségi Közoktatási Intézményi Társulás nevében Pusztakovácsi Községi Önkormányzat mint gesztor,Pusztakovácsi
Táp Község Önkormányzata,Táp
Pusztaszabolcs Város Önkormányzata,Pusztaszabolcs
Mezőlak Község Önkormányzata mint gesztorönkormányzat (Mihályháza),"Mezőlak, Mihályháza"
Mezőberény Város Önkormányzata,Mezőberény
Mány Község Önkormányzata,Mány
Mosonszolnok Önkormányzata,Mosonszolnok
Szentpéterfa község önkormányzata,Szentpéterfa
Nagyrábé Nagyközség Önkormányzata,Nagyrábé
Rohod Község Önkormányzata,Rohod
Zalakomár Község Önkormányzata,Zalakomár
"Kesznyéten - Nagycsécs Községek Általános Iskolai Intézményfenntartó Társulása nevében  Kesznyéten Község Önkormányzata, mint gesztor","Nagycsécs, Kesznyéten"
Kisláng Község Önkormányzata,Kisláng
Fábiánháza Község Önkormányzata,Fábiánháza
Tamási Városkörnyéki Önkormányzatok Közoktatási Társulása nevében eljáró Tamási Város Önkormányzata,Tamási
Gyöngyös-Pálosvörösmart Intézményfenntartó Társulás nevében eljáró Gyöngyös Város Önkormányzata,"Pálosvörösmart, Gyöngyös"
Berekfürdő Községi Önkormányzata,Berekfürdő
Mocsa Község Önkormányzata,Mocsa
Jászalsószentgyörgy Községi Önkormányzat,Jászalsószentgyörgy
Községi Önkormányzat Nagyesztergár,Nagyesztergár
Székesfehérvári Református Egyházközség,Székesfehérvár
"Általános Iskola és Óvoda Intézményi Társulás nevében eljáró Nagykapornak Község Önkormányzata, mint gesztor",Nagykapornak
Iskolafenntartó Társulás nevében eljáró Egyházasrádóc Község Önkormányzata,Egyházasrádóc
Nyírbogdány Község Önkormányzata,Nyírbogdány
Berente Község Önkormányzata,Berente
Pécs Megye Jogú Város Önkormányzata,Pécs
Gönci Közoktatási Intézményfenntartó Társulás nevében Városi Önkormányzat Gönc,Gönc
Nyíracsád Községi Önkormányzat,Nyíracsád
"Lenti Város és Mikekarácsonyfa Község Önkormányzati Általános Iskolai Intézményfenntartó Társulása, valamint Közoktatási Intézményfenntartó Társulás nevében Lenti Város Önkormányzata","Mikekarácsonyfa, Lenti"
Töltéstava Község Önkormányzata,Töltéstava
Mohács Város Önkormányzata,Mohács
Térségi Intézményi Társulás nevében eljáró Kistelek Város Önkormányzat,Kistelek
MISKOLC MEGYEI JOGÚ VÁROS ÖNKORMÁNYZATA,Miskolc
Máriapócs Város Önkormányzat,Máriapócs
Piricse Község Önkormányzata,Piricse
Alsópáhok község Önkormányzata,Alsópáhok
"Tiszapalkonya, Oszlár és Hejőkürt Közoktatási Intézményi Társulás nevében eljáró Tiszapalkonya Község Önkormányzata","Tiszapalkonya, Oszlár, Hejőkürt"
"Általános és Alapfokú Művészeti Iskola Gyenesidás- Várvölgy Közös Fenntartású Nevelési-Oktatási Intézmény nevében Gyenesidás Nagyközség Önkormányzata, mint gesztor",Várvölgy
Harka Községi Önkormányzat Polgármesteri Hivatala,Harka
"Általános Iskola,Óvoda Zalaapáti Intézményi Társulás nevében eljáró Zalaapáti Község Önkormányzata mint gesztor",Zalaapáti
Általános Iskolai Intézményi Társulás nevében eljáró Gersekarát Község Önkormányzata mint gesztor,Gersekarát
Bagod Község Önkormányzata,Bagod
Abda-Börcs-Ikrény Községek Közoktatási Intézményi Társulás nevében eljáró Abda Község Önkormányzata,"Abda, Ikrény, Börcs"
"Rudabánya, Felsőtelekes, Alsótelekes és Kánó települések Közoktatási-Óvodai Intézményfenntartó Társulás nevében eljáró Rudabánya Város Önkormányzata mint gesztor","Felsőtelekes, Alsótelekes, Rudabánya, Kánó"
"Mezőkövesd, Bükkzsérc, Cserépfalu, Cserépváralja, és Tard települések Közoktatási Intézményfenntartói Társulása nevében Mezőkövesd Város Önkormányzata mint gesztor","Bükkzsérc, Tard, Cserépfalu, Mezőkövesd, Cserépváralja"
Kaposvári Református Egyházközség,Kaposvár
Székkutas Község Önkormányzata,Székkutas
"Vaszar, Gecse, Takácsi Önkormányzatok Általános Iskolai Intézményi Társulása nevében Vaszar Község Önkormányzata mint gesztor","Takácsi, Vaszar, Gecse"
"Tiszafüredi Mikrotérségi Közoktatási Intézményi Társulás nevében Tiszafüred Város Önkormányzata, mint gesztor",Tiszafüred
Nyírmeggyes Község Önkormányzata,Nyírmeggyes
Siklós - Máriagyűd Református Társegyházközség,Siklós
TISZTA VÍZ IVÓVÍZMINŐSÉG-JAVÍTÓ ÖNKORMÁNYZATI TÁRSULÁS,
Endrefalva-Szécsényfelfalu-Piliny Közoktatási Intézményfenntartói Társulás nevében eljáró Endrefalva Községi Önkormányzat,"Szécsényfelfalu, Endrefalva, Piliny"
Vác Város Önkormányzata,Vác
Községi Önkormányzat Bodrogolaszi,Bodrogolaszi
Csengersima Község Önkormányzat,Csengersima
Csele-völgye Közoktatási Intézményfenntartó Társulás nevében eljáró Somberek Község Önkormányzata mint Gesztor,Somberek
Dél-borsodi Alapfokú Iskola-fenntartó Társulás nevében eljáró Szentistván Nagyközség Önkormányzata,Szentistván
Pogányvölgyi Többcélú Kistérségi Társulás nevében eljáró Öreglak Község Önkormányzata,Öreglak
Okány-Sarkadkeresztúr Közoktatási Intézményi Társulás nevében Okány Község Önkormányzata,"Okány, Sarkadkeresztúr"
Jászkisér Város Önkormányzata,Jászkisér
Intézményfenntartói Társulás nevében eljáró Litér Község Önkormányzata - Gesztor önkormányzat,Litér
"Majs-Udvar Közoktatási Intézményfenntartó Társulás nevében eljáró Majs Község Önkormányzata, mint gesztor","Majs, Udvar"
"Jánossomorja, Újrónafő, Várbalog Települések Intézményfenntartó Társulása nevében Jánossomorja Város Önkormányzata mint gesztor","Újrónafő, Várbalog, Jánossomorja"
Lippó Község Önkormányzata,Lippó
Tarnaörs - Boconád Általános Művelődési Központ Intézményfenntartó Társulás nevében Tarnaörs Község Önkormányzata mint gesztor.,"Boconád, Tarnaörs"
Szalkszentmárton Község Önkormányzata,Szalkszentmárton
Mohács-Sátorhely-Székelyszabar-Homorúd-Bár Közoktatási Intézményfenntartó Társulás nevében Mohács Város Önkormányzata mint gesztor,"Székelyszabar, Mohács, Homorúd, Sátorhely, Bár"
Intézményfenntartó Társulás nevében eljáró Települési Önkormányzat Gógánfa,Gógánfa
Szirmabesenyő Nagyközség Önkormányzat,Szirmabesenyő
Söjtör és Pusztaszentlászló Községek Önkormányzati Közoktatási Intézményi Társulása nevében eljáró Söjtör Község Önkormányzata,"Pusztaszentlászló, Söjtör"
Etes Község Önkormányzata,Etes
Pápateszér Község Önkormányzata,Pápateszér
"Általános Iskolai Közoktatási Társulás nevében eljáró Hernádvécse Község Önkormányzat, mint gesztor",Hernádvécse
Martonvásár-Kajászó Közoktatási Intézményi Társulás nevében eljáró Martonvásár Város Önkormányzata mint gesztor,"Martonvásár, Kajászó"
"Mezőcsát, Tiszatarján és Tiszakeszi Települések Közoktatási Intézményfenntartó Társulása nevében eljáró Mezőcsát Város Önkormányzata, mint gesztor","Tiszakeszi, Mezőcsát, Tiszatarján"
Kompolt - Nagyút Intézményfenntartó Mikrotársulás nevében Kompolt Község Önkormányzata mint gesztor,"Kompolt, Nagyút"
"SIOK Siófok-Nagyberény-Balatonendréd-Ádánd Közoktatási Intézményi Társulás nevében eljáró Siófok Város Önkormányzata, mint gesztor","Balatonendréd, Ádánd, Siófok, Nagyberény"
Borzavár Községi Önkormányzat,Borzavár
Berhida Város Önkormányzata,Berhida
"Hajós-Miske-Drágszél Általános Iskola, Óvoda és Könyvtár Közoktatási Intézményfenntartó Társulás nevében Hajós Város Önkormányzata","Miske, Drágszél, Hajós"
Gyöngyöstarján Község Önkormányzata,Gyöngyöstarján
Pápai Evangélikus Egyházközség,Pápa
Derecske és Környéke Általános Iskolai és AMI Társulás képviseletében gesztor önkormányzat: Derecske Város Önkormányzat,Derecske
Tiszakanyár és Újdombrád települések Közoktatási Társulása nevében Tiszakanyár Község Önkormányzata mint gesztor,"Tiszakanyár, Újdombrád"
Maroslele Község Önkormányzata,Maroslele
"Zirc és Környéke Közoktatási Iskolatársulás nevében eljáró Zirc Városi Önkormányzat, mint gesztor",Zirc
Dég Község Önkormányzata,Dég
Vasszécseny Község Önkormányzata,Vasszécseny
Gyöngyösoroszi Község Önkormányzata,Gyöngyösoroszi
Csécse és Szarvasgede Községek Önkormányzatainak Általános Iskolai Intézményfenntartói Társulása nevében eljáró Csécse Község Önkormányzata,"Szarvasgede, Csécse"
Recsk Nagyközség Önkormányzata,Recsk
Mórágy Község Önkormányzata,Mórágy
Bócsa Község Önkormányzata,Bócsa
Püspökmolnári-Rábahídvég Általános Művelődési Központ Intézményfenntartó Társulása nevében eljáró Püspökmolnári Község Önkormányzata mint gesztor,"Püspökmolnári, Rábahídvég"
"Pápakovácsi Környéki Települések Közoktatási Intézményi Társulása nevében eljáró Pápakovácsi Község Önkormányzata, mint gesztor",Pápakovácsi
