query_country_code,lau,sum
PT,PT162_060517,2405074.4649124405496
PT,PT185_141506,275538.6531963725786
PT,PT183_070412,1308913.4408418514343
PT,PT116_011304,7016166.460547234311
PT,PT111_160738,210536.88632704308246
PT,PT112_031314,1522567.0175745066399
PT,PT168_090415,707263.3794362667891
PT,PT115_030503,1915470.3629691502543
PT,PT112_030101,1559100.1884647300041
PT,PT200_430203,662255.526368313784
PT,PT117_171014,692491.7416899225946
PT,PT116_011906,20840632.62003857714
PT,PT118_171303,7140929.922153948207
PT,PT118_171214,204366.06963988770153
PT,PT113_031218,1565832.7959777166164
PT,PT117_180105,93208.00032768617941
PT,PT184_020903,948450.1899003242588
PT,PT115_030513,461378.5135150663267
PT,PT185_140606,2265524.414886296333
PT,PT113_031111,477035.1333676309475
PT,PT150_080506,12230365.068186682763
PT,PT118_170602,189563.84500039463408
PT,PT184_020102,12309293.7764336099955
PT,PT165_181010,615493.9842565059744
PT,PT118_040248,715680.3413629829436
PT,PT168_091316,437299.3841273212996
PT,PT300_310205,4362913.250546936194
PT,PT114_131708,4754585.459494632555
PT,PT200_480102,3147533.20285718
PT,PT113_030716,1357384.8691519996905
PT,PT113_031228,1424284.3380023909312
PT,PT169_050224,771355.091387846705
PT,PT116_010403,13016581.778094080191
PT,PT200_420325,21347535.697258125903
PT,PT182_121201,3398577.1525235061499
PT,PT185_140303,8417432.093605487466
PT,PT111_160429,433642.9033417528578
PT,PT117_171004,422802.7468106545358
PT,PT16A_050328,1464503.600282696145
PT,PT164_061201,840677.0193429631365
PT,PT114_131603,1246178.483038456919
PT,PT184_020207,1042538.7728667230527
PT,PT168_090737,397613.81043322589075
PT,PT182_120905,1580946.83475000975
PT,PT168_091010,980154.2142104662917
PT,PT118_171229,938698.3876683386756
PT,PT114_131611,2925839.832983628798
PT,PT16C_141910,10146545.432329060637
PT,PT165_180807,1689976.7508133641702
PT,PT115_180403,18131701.062638502441
PT,PT112_030270,636512.1394044428025
PT,PT168_090204,261707.6570046345965
PT,PT118_040709,760495.0718158583437
PT,PT166_050606,225846.6321709302795
PT,PT16B_100607,1260424.3454861643102
PT,PT113_131429,2208163.8812267617845
PT,PT165_180809,752797.7760673742762
PT,PT165_180317,1022267.2623149061219
PT,PT112_030335,1674762.031109992773
PT,PT184_020511,53628704.868624904797
PT,PT112_030322,1496736.1459135243278
PT,PT165_182121,298258.86862368856061
PT,PT172_150306,7354572.091674916549
PT,PT113_030871,12977002.429954748411
PT,PT164_060102,20744632.465621356025
PT,PT183_071101,2302083.7665603332027
PT,PT165_180319,973032.5906186584481
PT,PT165_182126,1062783.1837665598125
PT,PT115_131136,2679980.201265978014
PT,PT16B_101406,3105765.35192958364
PT,PT118_040727,556270.0525305078407
PT,PT118_040718,760495.0718158583437
PT,PT185_140701,11815580.270895638541
PT,PT171_110703,4877371.978963606509
PT,PT165_181409,350323.5605590456962
PT,PT162_060501,8683041.821553358487
PT,PT300_310303,9929123.861254742694
PT,PT117_180517,3002985.93033099447
PT,PT115_030508,856131.9709270667321
PT,PT115_130323,630218.5181676749771
PT,PT183_070303,4853584.189669071716
PT,PT118_171211,639076.9465858078405
PT,PT118_170610,138835.49211295108229
PT,PT117_180508,1418791.394256481707
PT,PT165_182330,8781132.322274262067
PT,PT113_131424,5619972.647791292173
PT,PT16A_050324,10947575.853882369737
PT,PT171_110714,4075315.04287475762
PT,PT118_040533,301112.7024815484969
PT,PT115_030406,1550473.3186853408302
PT,PT114_131304,2169548.951425007508
PT,PT165_182312,1448590.1895254379496
PT,PT117_171419,23338972.850179572655
PT,PT165_182203,665787.2121370289716
PT,PT112_030235,3006575.548262536027
PT,PT163_100916,5822164.968464173935
PT,PT111_160412,197802.0260858308405
PT,PT115_131118,711757.4291693582419
PT,PT171_110716,1037679.120195652791
PT,PT117_171414,8229805.716932100133
PT,PT113_030865,12290449.084650070757
PT,PT164_061403,1313646.5852303472369
PT,PT150_081304,1312263.862625010942
PT,PT118_040527,60408.41253489474762
PT,PT118_040247,630725.4806973732655
PT,PT115_130501,1116043.2885951225119
PT,PT117_180111,347680.6361425598286
PT,PT113_030862,2203824.9045661779485
PT,PT113_131412,2293503.5481338043254
PT,PT113_031116,311957.5804038287989
PT,PT171_110619,1492221.323160124031454
PT,PT116_010407,2764117.3307543696245
PT,PT118_040606,227022.6820958672945
PT,PT113_030857,4477471.474035566427
PT,PT115_130315,3284713.195255901873
PT,PT112_031339,659195.6819384163532
PT,PT164_100202,4759340.128861244098
PT,PT117_171401,897721.518311007614
PT,PT16B_110409,2018992.9142150637507
PT,PT115_130902,14061603.695292569048
PT,PT111_160432,441250.6735760907546
PT,PT162_060315,9330411.038758021102
PT,PT118_170629,451215.3493669464389
PT,PT118_040827,173751.47830968905964
PT,PT171_110648,22590176.518596394806
PT,PT115_130126,290017.3120184360468
PT,PT184_020203,1429916.0226358019321
PT,PT162_061311,917362.3967941808111
PT,PT171_111121,2526432.247403804542
PT,PT116_011309,33689366.038207451455
PT,PT16B_111203,3436485.353412568934
PT,PT165_180907,1370267.2912686009619
PT,PT111_160143,377575.4226174205552
PT,PT171_110612,0
PT,PT112_030253,1865314.6210414222857
PT,PT150_081103,37874390.70658036834
PT,PT113_030822,1008684.8720273249862
PT,PT117_041008,199687.2298700444915
PT,PT200_420103,8214074.088393425871
PT,PT161_011805,5344217.07978028838
PT,PT112_031015,933754.649893779087
PT,PT16A_050319,23559454.61509375698
PT,PT161_011406,8007153.464134570249
PT,PT114_131602,5443307.62241251306
PT,PT184_021008,3666515.1538107091364
PT,PT200_460102,13231612.874289733207
PT,PT185_141606,3450563.234398800291
PT,PT16C_141916,1932774.2160588926313
PT,PT117_180717,238832.3692520947304
PT,PT163_101604,1558522.1693434297624
PT,PT168_091018,551138.9785476565914
PT,PT16C_141704,357427.3350400097878
PT,PT184_021307,10456813.6468829399513
PT,PT200_420503,5469711.6635732839946
PT,PT163_101514,3608448.601388076863
PT,PT118_170631,273666.1142610499757
PT,PT115_130510,2722926.254484619221
PT,PT114_131616,3979609.907618026674
PT,PT184_020907,1622489.2293509997066
PT,PT115_130717,5721181.4140617200945
PT,PT117_181916,296041.03163260336681
PT,PT162_061502,339896.1931699834415
PT,PT16A_050422,1284886.1021563400714
PT,PT113_031209,2630752.783049512627
PT,PT111_160611,2106147.1252895421481
PT,PT115_130112,3251479.536239069029
PT,PT165_181608,919831.0418209053394
PT,PT113_031224,17434607.824956255733
PT,PT16C_140803,10578941.348347130003
PT,PT118_041211,265553.4406365852438
PT,PT168_091120,395229.9626263949802
PT,PT162_060306,3076457.4112114068253
PT,PT200_470102,10400664.6263614575316
PT,PT200_480202,4225566.2925
PT,PT161_010302,1565761.3534413236848
PT,PT16C_141803,1253148.3453368371765
PT,PT16B_111304,1577742.2686442236386
PT,PT168_090703,741007.5558074588027
PT,PT183_070413,3564326.7186522212281
PT,PT115_130516,732146.3342872645187
PT,PT171_111004,14479304.14433230653
PT,PT172_151102,2594458.288836466561
PT,PT115_130211,1414704.4444443435298
PT,PT184_020507,2198156.0825346244247
PT,PT182_120701,291754.27843189589272
PT,PT117_041016,306623.5606202247116
PT,PT111_161003,1320777.407833973917
PT,PT115_180401,207290.1646841909911
PT,PT166_050602,130167.76336945357266
PT,PT171_110642,36095957.92744125548
PT,PT165_180310,1019675.9638044886489
PT,PT115_130117,2279451.859759060745
PT,PT118_040706,579610.0547344286573
PT,PT169_051103,5357661.5952515660138
PT,PT167_090503,430124.30484631900824
PT,PT183_071002,21006095.776999860912
PT,PT184_020202,1011340.6051002459505
PT,PT171_110505,8984397.00543978105
PT,PT118_040225,347542.61181272015113
PT,PT200_470103,7933353.6748555953282
PT,PT162_061001,2242190.176735308554
PT,PT117_040901,1094462.0840195499024
PT,PT169_050222,2465269.3952613693384
PT,PT183_070907,1187795.7884522942088
PT,PT117_181816,9225363.7051647187722
PT,PT168_090217,540576.4718455648599
PT,PT112_031307,605526.6529667647714
PT,PT115_130134,910374.4965137749581
PT,PT112_030604,793306.1402159980798
PT,PT171_111506,25043171.67803675129
PT,PT16B_100609,3653448.943116880132
PT,PT163_100904,4118446.038332851726
PT,PT113_030722,2096831.513182639913
PT,PT165_182328,11055852.454161922168
PT,PT111_160921,1234564.5708385245171
PT,PT114_130616,9274964.527953169676
PT,PT111_160710,1388914.9814413455998
PT,PT115_010601,3551437.080366359642
